page 1	總裁制與委員制
page 2	敵增援路線悉被我破壞
page 2	我機飛魯東轟炸敵援軍
page 2	我南進部隊克復兩下店
page 2	敵蔑視公法使用毒瓦斯
page 2	我游擊隊在泗涇活躍消滅敵巡邏隊敵軍遷怒村民盡焚附近村莊村民扶老攜幼避難慘不忍睹
page 2	上海日軍禁攜港報入口
page 2	滬杭我軍節節勝利滬市可聞清晰砲聲敵大恐慌現加緊構築工事攻杭州富陽我軍取得聯絡
page 2	敵在杭州不能苟安
page 2	克新僑向富陽挺進
page 2	敵在硤石自相殘殺
page 2	敵艇追擊餘姚難船
page 2	敵機侵襲宜昌
page 2	日兵強暴不可理喻又有英人被辱發生地點虹口日兵營
page 2	商震表示以黃河作墳墓決不放棄此最後生命線敵十六師團由關外開邢台圖謀鞏固在黃河所佔各地
page 2	津浦南段敵軍在和縣登陸遭我猛擊全椒敵遭我壯丁隊圍攻
page 2	余吳昨日電擁護臨全代會決議案
page 2	日侵華遭遇空前打擊陸相杉出召開師團長會議主要題目為應付我國長期抗戰辦法敵經濟困狀畢露特別預算盡充軍費
page 2	台兒莊之敵十餘聯隊被包圍
page 2	我游擊隊逼近蚌埠
page 2	台兒莊混戰局面將有新發展
page 2	漢奸陳群私宅發現炸彈謀炸叛逆惜未爆炸
page 2	我軍在台兒莊以北發揮威力繼續殲殘敵我由魯西南進部隊克復兩下店
page 3	財委會通過時情形
page 3	急進社會黨員贊成
page 3	法工商界表示反對
page 3	陳誠講述一週來各戰區戰況敵侵華縱再增三十師團亦於事無濟佔晉敵被牽制至不能動彈可為　證
page 3	一魯南及津浦南段
page 3	平漢線方面
page 3	晉西晉南方面
page 3	晉北綏遠方面
page 3	五江南方面
page 3	六結言
page 3	英下議院否決工黨彈劾外交案張伯倫辛克萊均有激烈辯論演說
page 3	去月失蹤之滬公共租界副總董傳被日兵殺害英總領事館現在謁力調查該案
page 3	英政府機關報推論英意協定難成障礙乃意軍在西戰之活動
page 3	臨全代會宣言全文四
page 3	蘇聯助我日抗議被李維諾夫痛斥蘇聯對中國有自由行動權供給軍械於中國絕對合法
page 3	漢口大公報著論闡述中英交誼英朝野竭力助我乃我患難中良友
page 3	德粵合併後法外部召駐各國使回國檢討中歐局勢與捷克國問題
page 3	華北水災嚴重
page 3	反戰日人助我宣傳抗戰現在軍委會政治部受職
page 3	滬工部局從權接收商電
page 3	開灤礦因敵煽惑工潮迄難解決唐山區工人亦參加罷工
page 3	法政府財政法案經獲眾院財委會通過預料眾院可通過參院將加否決現急進社會黨贊成工商界反對
page 4	全港乒乓界召開委員會議
page 4	今夕普籃賽鐘聲戰青年會當有好看頭
page 4	中西乒乓友誼賽協會隊戰西青
page 4	小足球賽籌賑訊
page 4	即日公開網球賽徐煒培獲準決賽權芬渣努力爭扎徐氏勝來不易今日單打一場徐潤培對夏仙
page 5	敵一度佔我冬瓜島對壯丁婦女之昨四日已退返敵艦
page 5	粵省各團體賀蔣汪任正副總裁電
page 5	桂省當局加緊訓練補充兵員各區團分別開征兵會議梧龍柳各區經先後舉行
page 5	改革兵役弊端征兵實行抽簽
page 5	廣州各行業請免征轉口稅之要訊紗綢業奉部令後再集議故衣業呈部之五項理由
page 5	紗綢業
page 5	故衣業
page 5	慰勞傷兵委員會訂定代傷兵寫信辦法須交陪慰人員詳為檢閱飭範洩漏軍事等之弊端
page 5	桂餉捐會議已在梧州舉行
page 5	梧縣設遞步哨增加行政效率
page 5	市　會請求改善征集壯丁經過
page 5	蔗晨貸仍舉辦總額定一百萬元
page 5	市立小學下學期可恢復劉石心之談話
page 5	廣州昨禁止市民赴郊外掃墓敵機兩次向郊外投彈掠過北郊以機槍向省墓人掃射救護隊馳赴救援中有兩人被傷
page 6	舶來奢侈品加稅期
page 6	失地貨物運入略減
page 6	四路軍官佐昨日致祭先烈
page 6	健全救護組織救護會定期討論
page 6	各商店銷債辦法已詳細決定
page 6	廣州勞資糾紛近訊
page 6	裝船業
page 6	搾油業
page 6	清明日之廣州
page 6	三灶島我游擊隊活躍敵屢受重創後現勢極倡促傷兵不敢返台運登大岡島
page 6	處理各縣私發紙票財廳昨呈省府察核
page 6	追悼陣亡將士
page 6	加緊組軍運隊
page 6	公祭陣亡將士
page 6	陽春召開保甲會議
page 6	帆船爆炸傷人
page 6	敵機在各屬肆虐近誌
page 6	奢侈品加稅十五實行失地貨物運粵已減奢侈品加稅數目已擬定集中有用之財用於抗戰
page 7	許世英昨飛漢
page 7	法使今晨抵港
page 7	恐愛子被徵入伍日人夫婦剖腹自殺日人厭戰心理之表露
page 7	華商總會值理月會議決限兩日內繳齊年鑑費反對水務局取銷免費供給
page 7	報告事項
page 7	臨時提議
page 7	荷新輪昨到港東請各界到船參觀
page 7	國醫會賀蔣電
page 7	江亢虎昨返港
page 7	屋租調委會報告書行政局將開會審查
page 7	香港之清明節掃墓的掃墓觀光的觀光寂寞墓園竟成熱鬧場所
page 7	報界視察團昨已由省出發
page 7	敵艦又劫貨艇
page 7	中國紅十字會將恢復野戰救護隊前方戰事激烈救護工作甚忙希望各界隨時予以經濟援助
page 8	由汕來港自認夫婦
page 8	被告認因貧困自殺
page 8	婦呼救命男亦投海
page 8	特惠稅　限制英國原料百份率表商廠遵表製貨始獲證書
page 8	陽江廣海漁船被扣留港漁會派員晉省呼籲請鹽卡予以無條件釋放並豁免漁船承銷鹽限額
page 8	救債分會昨報告兩週間銷債八萬餘元財部將發還收據與捐票人學賑會定期舉行音樂大會
page 8	校際遊戲賽今日頒發獎品
page 8	海軍醫院遷址
page 8	捐贈雨衣
page 8	鶴山商會
page 8	音樂大會
page 8	三犯獲准減刑
page 8	身懷偽幣被捕
page 8	兩商行年會紀德忌利士公司
page 8	蹈海獲救之男子被控推妻下海同舟婦人述行兇情形被告認夫妻因貧自殺
page 10	遠東英艦動向
page 10	巨騙案仍押候
page 10	抗戰影片展覽
page 10	保護兒童會賣花得四千元
page 10	李鳳公教授國畫
page 10	士蔑西報評論我國確已團結一致蔣介石任總裁將戶負抗敵全責我雖未得外援但統一足以致勝
page 11	擁護政府一致對外
page 11	八百壯士死守閘北
page 11	東京秩序已難維持
page 11	威脅日本退出中國
page 11	黔省今後之重要性
page 11	我別動隊在上海附近活躍青浦一度克復日本人赫然震怒重譴漢奸委員長李促文傳已被鎗斃
page 11	抗日必勝之新證例及黔省之重要性曾琦昨在省府紀念週報告
