page 1	蘇芬談判決裂將如何
page 2	六中全會舉行二次大會孔院長報告行政王寵惠報告外交
page 2	蘇大使宴孔院長
page 2	日偽裝他國商標向世界市場傾銷日貨經濟部長翁文灝談話
page 2	西園寺憂傷時局擬召首相阿部到其別墅晤談
page 2	英輪沙丹拿誤觸水雷沉沒
page 2	美大使今日乘機來港
page 2	利用郵包私運紙幣出口當局宣佈發覺則予沒收
page 2	德轟炸機被法機所擊落
page 2	達賴候選人共有三人將由拈鬮決定
page 2	日改變侵華政策作安撫進攻希圖誘騙列強出任斡旋和局利用歐戰機會獲取商務利益
page 2	反納粹電台又作反德廣播
page 2	亞洲美艦隊司令將乘艦赴菲
page 2	佛教訪問團昨日啟程出發
page 2	段祺瑞夫人在滬因病逝世
page 2	滬一小漢奸邵範九被暗殺
page 2	重慶大查日貨再犯奸商治以死刑
page 2	宋子文將赴美洲一行係因財政上任務
page 2	英國勞工失業增加係受戰時影響
page 2	黃浦江過江輪渡被日汽船撞沉被溺斃五六十名
page 2	上海淪陷兩週年紀念各地繁盛地點發現愛國標語
page 2	日蘇外交糾紛將開談判解決邊界問題
page 2	湘北我軍攻入臨湘城鄂中仙桃日軍受控制晉西我軍圍攻鄉寧已直迫城郊
page 3	華北英軍職務將由美軍代替英法美均有堅決表示對遠對政策絕不變更
page 3	晉東南日特務機關的破獲及其內幕一
page 3	二一道真言從此入殼
page 3	萊茵河一帶大軍雙方集中完畢現正等待進攻之命令德取憤怒態度以對法
page 3	英驅逐艦誤觸水雷沉沒
page 3	張伯倫病有起色
page 3	德國潛艇政策已經失敗已有三千艘英商輪軍艦保護安然航行
page 3	戰爭若繼續下去美工業必發料美所得戰時純利可達到八萬萬金員
page 3	德政府準備正式答覆荷比答覆內容避免直接拒絕之意而將拒絕之責諉諸英法方面
page 3	英國在野名流討論英國之遠東政策願與美國採取同一立場切實遵守九國公約義務
page 3	蘇對芬蘭態度堅決貫澈領土要求蘇報暗示蘇有對芬用兵可能蘇對芬蘭軍略必用中央突擊
page 5	日艦一艘轟大鰲沙
page 5	江會戰事暫似沉寂
page 5	睦洲日軍調回廣州
page 5	侵佔江會日軍企圖擴大傀儡組織籌設偽縣署與偽縣長之逐鹿新開路我克大梅山
page 5	容良公路日官兵被殺沙頭等鄉之焚殺慘狀日艦發炮轟擊報復焚燬民居共百餘家難民逃避哭聲震天
page 5	中山擒獲大批土匪
page 5	一區主任經已派定
page 5	各區政訓半獨立性
page 5	改組各區游擊隊重新劃定各區地界中山五區捕獲大批土匪
page 5	各區地界多數更改
page 5	第九戰區糧管處獎勵辦運湘米粵省府公佈辦法
page 5	南洋潮僑救鄉運動深入鄉村各鄉村組先後成立分函贊助募捐救鄉
page 5	與破壞公路同一重要乾涸田土須即鋤翻
page 5	新兵入營時通知壯丁家屬軍管區昨通令週知
page 5	澳門三埠輪渡又在　沙被劫訊並槍傷搭客十餘人
page 5	台山振濟會擬定救濟漁民辦法呈省振會察核施行
page 5	中山緝私分處易人
page 5	粵南海面日艦調動忙碌行蹤飄忽無定沿岸窺擾我軍民加緊合作使日無隙可乘
page 5	國民兵團次第成立
page 5	英飛機被迫降情形
page 5	轟炸欽縣狂襲桂省
page 5	日機昨再炸沙魚涌傷來往客商五人南頭日偽之動態
page 5	中山當局電促吳飛返縣主持一區軍事江會各線戰事最近暫似沉寂增到睦洲日軍昨又調回廣州
page 7	廣東文化展覽會決于明年二月舉行聘王秋湄等為籌備委員今日下午召開首次會議
page 7	立法局明日繼續開會討論明年政費預算案
page 7	華民司指示救濟難民辦法
page 7	生豬來源短少豬肉價格暴漲
page 7	張發奎促黃質文赴韶
page 7	中青救護團組織第九分隊派赴一七九醫院服務
page 7	本港的新紀元保險銷貨場
page 7	政記輪船公司上訴案昨辯論終結聽候宣判辯論要點在該公司法律管轄問題總行已被解散分行實無存在理由
page 8	銅鑼灣紅丸案四疑犯詳臬定讞
page 8	帝航機兩機師已獲釋昨由日機送回本港
page 8	肺癆症之可怖十個月內死三千餘人
page 8	美大使詹森今日到港中美文化協會定明日公讌
page 8	澳門榮華酒店昨發生謀殺案一女客被兇徒刺傷
page 8	學界籃球賽保罷兄弟告捷華大輕取中南今有輕取中南今有四場舉行
page 8	協會今開會商討督憲杯賽人選
page 8	淩風社舉辦乒乓團體比賽
page 8	記者陸運大會泰山公司報效全場獎品
page 8	今夕公開籃球賽南華南逢勵行關光迎戰藍鷹南華對康元
page 8	旅行消息彙誌記者會明日往沙田華人會辦荃灣旅行
page 8	小告山奴下週返港將為聖隊效力對雛鳳之戰將出任左內鋒
page 8	醫藥研究會對改良公立醫院意見各醫院病床太少應從速增設肺癆病最易傳染宜另闢病房
