page 1	希特勒演詞之分析
page 2	我反攻杭州部隊迭克重要據點滬杭路交通斷絕殲Ｘ計達兩中隊
page 2	蘇北我軍夜擊豐縣殺Ｘ百餘人
page 2	瑞武路之Ｘ肆意焚殺我軍破壞南潯路
page 2	抗Ｘ老英雄王德林病逝義軍宿將又弱一人
page 2	Ｘ籐野中將抵石家莊接替梅津職務
page 2	晉省全面抗戰晉東克復平松晉中克復沙窩里
page 2	綏省偽軍犯東大社受創
page 2	武漢四圍常有我軍襲Ｘ
page 2	冀西淶源
page 2	晉中霍縣
page 2	在青島被扣英輪獲釋由英艦護送離青
page 2	委員長重慶行營奉令辦理結束在成都設行轅賀國光任主任張群暢談五中全會團結情況
page 2	晉南運城
page 2	Ｘ國鐵荒嚴重迫偽組織獻鐵
page 2	中央軍務局將於今日成立施行全國征兵工作
page 2	沙面宣佈准許華人出入不需攜帶通行證
page 2	日貨輸至法屬地須由法領發出口貨單日工商省與外務省共商應付
page 2	蘇聯政府軍三次五年計劃規模之大創歷史新紀錄
page 2	重慶新疆間無線電話通話昨日開幕新主席試談聲音清亮請張代表向林主席蔣委長致敬
page 2	渝蘭電話著手籌辦
page 2	美國東部風雨為災芝加哥城街道已為大雪掩沒
page 2	滬Ｘ海陸軍轉運華南補充
page 2	東非愛國會反對割讓國土
page 2	英向美購機首批業已運到
page 2	鄂中戰事又復緊張京皂公路集結Ｘ軍數千人漢宜公路之Ｘ與我軍激戰
page 3	兼併奧國
page 3	舊殖民地
page 3	德國的國民性
page 3	日駐歐使節大會主張德意日締結軍事同盟認如此可使中日戰事早日結束柏林羅馬亦將舉行相似之會議
page 3	擁護意國
page 3	減軍問題
page 3	對希特勒演說歐洲各國批評各方我認希氏態度尚屬溫和倫敦各種證券市價均有起色
page 3	英駐俄新大使呈遞國書
page 3	奇極瑞典議員竟主張以和平獎金贈希特勒
page 3	日政友會議員河野抨擊平沼內閣謂為有史以來最不孚眾望之內閣議會與內閣政黨與平沼摩擦甚烈
page 3	近衛聲明
page 3	不孚人望
page 3	起而攻擊
page 3	意報發表意見必達領土願望科西嘉與都尼斯之名乃意人心目中之靈魂
page 3	巨額軍費
page 3	共同防共
page 3	毫無誠意
page 3	英方各界關念回教徒之利益對巴力斯坦會議極為注意
page 3	暹羅國王解釋政變謠傳
