page 2	為設民產保證局事答孑遺君
page 3	趙恒惕有任豫督理訊
page 3	高淩霨擬今日四日上辭呈閣員將總辭職惟料曹錕必慰留
page 3	某要人電洛吳以國會內訌示意解散吳覆謂國會係內部事疆吏不宜過問閣員總辭職實原於此
page 3	何東在漢病愈二日見客語人云信得中國和平一年內必實現困黷武人物已有和平傾向
page 3	沈鴻英部一二六三旅已抵藍山
page 3	廈訊黃大偉由汕回漳王獻臣在海澄佈防廈商會請臧致
page 3	除苛捐願激餉十二萬臧尚不肯
page 3	三日王克敏赴幣制局就督辦兼職並與該局總裁議定權限又訊撥查辦張英華故張未到局
page 3	吳景濂緩發議事日程請中立派調停牟琳等仍主同意案暫推臨時主席先行開議至常會時再決議長問題但吳擬與未來參議院長合抗反對派孫寶琦語某記者謂吳為一不祥之人物
page 3	王克敏因金佛郎案定六日七日宴中外銀業界並要求墊撥一千五百萬
page 3	黃郛因王克敏籌款無把握仍擬辭職
page 3	吳毓麟把持路警權唐在禮
page 3	以督辦權過狹未允就職
page 3	航空署籌劃西北航線以迪化為終點擬不再借外債
page 3	匯理銀行將由放鹽餘百二十萬維持京銅元
page 3	朱慶瀾四日晚偕大連日民政長來哈
page 3	呂調元將免職以馬聯甲兼皖長
page 3	喜峰口奉軍已撤兩營
page 3	楊森一日電稱三十克培州
page 3	趙恒惕電京鹽務處擬備鹽斤為流通軍券準備指定米捐籌還與勒借異軍券未行此題暫緩
page 3	趙恒惕電京請准湘鑄銅元救濟以一年為限
page 3	閩垣定四日開辦煙燈捐
page 3	東江兩軍最近防守情形
page 3	商業洋行西人失蹤之所聞
page 3	廣九路受軍事影響
page 3	公莊地方被擾情狀之補述
page 3	北江軍事之近訊
