page 1	中央銳意開發海南島
page 2	大美晚報列舉中日談判經過
page 2	日外務省又發中日交涉談話
page 2	英國當局重視遠東一切事件
page 2	路透電社不滿被日政府岐視
page 2	廣田首相覲奏中日交涉問題
page 2	宋部軍士愛國心切態度激昂
page 2	字林西報評論中日交涉問題
page 2	時局危險日傳我寧滬駐重兵
page 2	中日關係已至最後關頭日本軍事領袖在北海道會議準備必要時訴諸武力反對第三國參加調解中日糾紛訓令川樾要求我國對日之主要原則須有根本改變中日交涉已到最困難之關頭我國態度強硬日方頗感不安時局突趨嚴重英海軍已準備令長江各地英僑婦孺離境
page 3	中山秀雄案已宣判楊葉兩犯處死刑周社榮無罪釋放
page 3	綏東形勢緊張日偽準備就緒隨時可以動作
page 3	剌汪案要犯余立奎移送首都地院
page 3	國民政府命令任命桂省府各委員四廳長任命亦同時發表
page 3	中航公司減低滬漢票價
page 3	粵省府決議案
page 3	褚民誼談國大會場設備約本月底可　完成
page 3	虹口女科醫院雙屍案之真相女因打胎破宮殞命男被注射麻藥勒斃
page 3	吳自芳任粵地政局長粵省府昨會議通過全省土地整理計劃
page 3	川省夷族呈請參加　選總所批覆一視同仁
page 3	津浦路撞車發生後路軌全部修竣昨已恢復通車
page 3	存款利息所得稅展期明年開征
page 3	貨幣法案圓滿解決法國政局復趨安定
page 3	西班牙眾院開幕議長慷慨陳詞寧願挺身而死不願屈膝而生
page 3	網球名手許承基準本月底返國
page 3	隴西剿匪勝利斃匪師長賀某
page 3	川陝交通孔道漢寧公路完成全長一四零公里
page 3	美國政府努力非戰運動擬成中立公約草案徵詢美洲各國意見
page 3	英俄海軍條約尚待德國參加蘇俄側重遠東造艦
page 3	西國左派黨人拒降舉火自殺
page 3	美船主與工團新合同談判已告決裂太平洋沿海航業有全體停工之虞
page 3	意奧匈三國召集奧京會議齊亞諾飛往出席
page 3	虹口緊　空氣未減日軍無故淩辱外僑英僑一名被拘至司令部美僑一名被扣押二小時
page 4	東方會對香港會
page 4	黃紀良並非退隱
page 4	　滬埠際木球賽港選手昨日北上
page 4	鐘聲社職員交代今晚在游泳場舉行
page 4	馬來亞網球會擬組港馬埠際網球賽
page 4	志誠體育會小球隊出師廣州今日下午五時對傑志隊於何文田十月九日晚出發十二日班師回港
page 4	李惠堂參加世運歐遊雜感一
page 4	一復興的德意志
page 4	南華會友籃球賽今日二時半開幕計分九隊今日有三場初賽
page 4	友誼小球賽彙誌華僑出戰中南團結
page 4	尋常杯足球第二週兩華會皆對外作戰南華華可勝九龍東方香港有惡鬥華塞斯聖約瑟及奧斯德可得勝利
page 4	東方會對香港會
page 4	其他三場
page 5	熊式輝派員來粵磋商贛米銷粵之結果決定官商合辦集股本五十萬
page 5	東區軍事佈置近誌除曾李兩師分防外加派紅惕生部協防
page 5	一五五師行將抵汕
page 5	防空會之實行改組
page 5	練惕生部亦將開潮
page 5	整頓計劃
page 5	改設蔗場
page 5	廣東省營糖廠積極計劃整頓各糖廠蔗農貸款辦法改善詳細計劃在草擬中糖業統制存廢問題之會議
page 5	統制存廢問題
page 5	一五八師佈告韻語
page 5	該廠組織
page 5	省行增加紙幣準備金已由三行先交三百萬
page 5	某人在汕破壞賭禁聞擬闢大煙賭窟
page 5	廣州國選定期五日舉行
page 5	鄒魯請繼續撥款完成中大建設
page 5	總部綏署決賽行混合辦公原為節省經費起見所需經費昨電軍委會核撥各區綏靖署之撤銷俟行政專署成立即實行
page 6	軍事要聞另誌
page 6	煙民登記由警察局辦理仁愛醫院改戒煙院
page 6	商界競選之形勢
page 6	取締市內武館訊
page 6	鹽商聯呈請蔣委長革除規費並請制止徵收附加費
page 6	中央分行之籌備鍾鍔之談話
page 6	唐萱定期接兼鹽運使職
page 6	建廳之完成公路全省分五區辦理
page 6	佈告賭具處罰法
page 6	撥款闢黃埔埠訊
page 6	廣西綏靖主任李宗仁
page 6	國府審計部審計謝瀛洲
page 6	行政公署定期成立各專員雙十就職綏靖署奉令結束
page 6	靖海分局段內一德路第三百六十五號安發奏海味店
page 6	十月十四日為世界動物節
page 7	港中某巨米商談省方米商皆辦蕪湖米洋米入口絕少港米商受影響蕪湖米成本比較洋米大相宜
page 7	進行步驟
page 7	議決要案
page 7	募捐成績
page 7	金銀貿易
page 7	伍宜蓀之演說詞
page 7	討論組織募捐隊
page 7	勸捐弁言
page 7	即席踴躍認捐
page 7	工界方面
page 7	熱心報國不讓弦高本港工商界獻機祝壽之踴躍銀業商人又擬自獻香港銀業號客棧行捐萬元其他團體在募集中
page 8	吳醫供詞
page 8	石煥章供
page 8	警探供詞
page 8	星洲富妾挈兩童投海被拘邂逅少年相棲一夜往尼庵求剃度被拒
page 8	紀念英故皇港府撥地建花園香港九龍各一所
page 8	僑教會昨開常會捐款購機慶祝雙十
page 8	對華報檢查問題華民司致函四華人代表政府已極力減少檢查麻煩手續如再有改良善法可以隨時獻議
page 8	英兵剌傷四婦昨日正式提審
page 8	國大選舉港工界所持態度
page 8	勷大考察團南返
page 8	粵撤銷糖業專賣仍未正式批示
page 8	擸　車輾斃小童
page 8	馬師曾之護喉談
page 8	三男子被控藏有紅丸案詳臬
page 8	副布政司昨回港
page 8	何醫供詞
page 8	駕車不慎撞傷老翁
page 8	校長強姦女童疑案被告人昨判無罪首釋無物證按律不能判罪
page 10	告羅士打酒店跳舞廳今晚開幕
page 10	山頂發現一男屍
page 10	帝航機被焚港郵件救回一包
page 10	新亞酒店血案警司昨縣紅緝兇
page 10	港澳電線日內修復
page 10	圖運銀條出口被罰
page 10	藏紅丸案繳保候審
page 10	竊匪被捕入獄六月
page 10	文藝中學國語演講
page 10	本港人口九十餘萬
page 10	三院新總理將產生
page 10	男子服毒自殺遇救
page 10	信差盜書簽保了事
page 10	九龍關佈告停發領事簽證單
page 11	東江匪徒圖炸輪渡幸為漁人發覺綱得炸彈投報石龍分局
page 11	駐石龍警隊另編
page 11	中國銀行派員組台山分行
page 11	天寶圍鴨寮被匪劫
page 11	汕頭實施新生活運動由十月一日起全市氣象一新
page 11	西江各輪渡之防匪
page 11	發現匪幫圖佔村鄉
page 11	沿河鄉民疏濬河道
page 11	歹徒收輪渡費敗露
page 11	輪渡搜查私糖風波
page 11	匪幫劫糖販之激戰
page 11	事前籌備
page 11	住戶狀態
page 11	中山紀中學潮要訊縣府派警將學生帶案再發出處理學潮通告
page 14	眼線告密
page 14	捕獲兇犯
page 14	訊問一斑
page 14	西班牙內戰剖視
page 14	全案結論
page 14	政治
page 14	經濟
page 14	社會
page 14	四結論
page 14	滬市公安局發表破獲萱生案之經過全案已解送地院發落
page 14	槍彈檢驗
page 15	著名歐美的中國女才子鄺如絲女士下原籍是廣東卻生長於澳洲在英國曾拒絕主演大地她和朱桂芳學了舞劍明年五月再回中國來
page 15	國府委員周震麟由政治革命轉到種族革命十歲起習字數十年如一日
