page 2	評公路處
page 3	顏惠慶十二日起程赴美由劉式訓代理部務已得同意
page 3	陸榮廷電稱現在鎮南關堅守
page 3	葡公使因澳事提出抗議閣議以現未統一對此安辦法決主緩　
page 3	吳佩孚蕭耀南對川湘保案五十三名均加級或給予勳位
page 3	靳雲鵬假期已滿但仍未到院潘復堅持與靳同進退不能單獨辭職
page 3	顏惠慶聘定葉恭綽為太平洋會籌備處高等顧問
page 3	靳雲鵬以孫文倡議北伐力主明令南征徐世昌以太平洋會任伍朝樞為代表方示外交團以統一不允歧異
page 3	川省有再派第二師繼續援鄂說
page 3	日皇病篤
page 3	國務院令蘇督助餉八十萬子彈七千萬接濟吳佩孚
page 3	日駐韓總督齋藤挈眷遊金
page 3	剛山暴卒傳係被判
page 3	閣議決郵電航附捐由　日起
page 3	徐世昌撥醇王妃喪費萬元
page 3	國務院准魯派代表　人赴美專備魯案顧問他省不得援以為　
page 3	保定會議責成閻錫山派兵混成旅援　
page 3	劉存厚乘川軍失敗招集舊部在川起事餉械概由直軍接洽
page 3	湘省各團電吳佩孚請尊重民意率軍迅退吳置不覆
page 3	粵漢鐵路準先辦株衡段年內開工
page 3	徐世昌對赦免禍首謂曾要求外交團引渡若用特赦人將笑我兒戲
page 3	北京大風公府停止覲見慶祝冷淡異常
page 3	陝訊馮玉祥與劉鎮華不和將發生戰事國務院電令閻錫山調　
page 3	黎元洪在天津安客慶祝雙十節在京要人多與宴會
page 3	旅京鄂人因王占元侵吞省款千餘萬決請京政府查抄家產備抵
page 3	蕭耀南與吳佩孚不睦王承斌乘機力謀直魯豫剛巡閱使吳恐在直勢力消失決辭兩湖巡閱使職任仍回洛陽原防
page 3	吳佩孚密電曹錕謂軍事緊急對張作霖諸事皆可商惟奉軍南下及留潘復必反對
page 3	銀行公會調查京政府收支月不敷千八百萬
page 3	吳佩孚抵秭歸提出和議限川軍於星期內退清否則封酉陽出巫山取夔萬
page 3	聞潘復鬻差蕪湖關索款四萬兩淮運使五萬
page 3	李士偉因閣潮複雜不願長財政昨避出京
page 3	聞潘齡皋謀長甘肅用去運
page 3	動費十六萬
page 3	張作霖以奉天會議未竣暫不入
page 3	曹錕曹銳助太平洋會費各萬元張作霖助十萬
page 3	海軍部密呈日築遠東海岸妨礙主權應自設測海局保全領海權
page 3	陳光遠電請辭職
page 3	中葡交涉之緊急消息
page 3	擬委葉舉會辦廣西善後
page 3	陳炯明優卹傷兵
page 3	第一軍最近之舉動
page 3	舊書信館地址投出
page 3	省港輪注意防查竊匪
page 3	銀價
page 3	美教士過港
page 3	傳染症報告
page 3	麼托車斃人
page 6	吳佩孚之行蹤
page 6	中美無線電借款追加條件　
page 6	工人貞報告查煙
page 6	港僑　
page 6	風報
page 6	獄員溺斃
page 6	聯勝油漆工會開幕
page 7	補誌桂軍反攻武嗚之計劃
page 7	再派兩艦迎陳炯明
page 7	煙酒印花稅實行後之影響
page 7	委派市參事近聞
page 7	東莞知事易人
page 7	新會沙捐走私案近聞
page 7	考核廣西各縣知事之著手
page 7	國慶紀念日之鬧熱情形
page 7	限期肅清桂軍餘眾
page 7	謀殺案聞已判決
page 7	國慶聲中之無政府主義傳單
page 7	第一公園開幕
page 7	廢艦減價再投
page 7	棚行工會　立案
page 7	財廳請裁汰冗員
page 7	仁化護商隊抗令抽費
page 7	台山打單匪之猖獗
page 7	請改捲煙印花稅率不准
page 7	　副雀牌罰數千元
page 7	裁撤兵站餘聞
page 7	省城禁煙即北江軍隊　
page 7	肇城預備迎陳炯明
page 7	准軍人慰勞會開賭票
page 7	赦免減刑之佈告
page 7	東郊闢市區之佈告
page 7	瑣聞一束
page 7	泰晤士報對於魯案覆文之評論
page 7	日本對澳洲之態度
page 7	澳事西訊
page 7	印度對英之近態
page 7	國盟會經費由各國分別擔任
page 9	周震麟不得帶領衛隊入湘
page 9	孫趙攜手之湘訊
page 9	吳淞口外發現英潛水艇
page 9	日皇病狀
page 9	武漢破獲黨人機關詳紀
page 9	章太炎電責王右任
page 12	議員提議咨請　工菲興實業案　
page 12	國民外交後援會議決之事件
page 12	商人否認舖底權為惡習慣
page 12	孫文尚知
page 12	竟禁人用機器
page 12	茶居迭被打　
page 12	東莞知事被捕案四誌
page 12	南京號將定開往星洲之船價
page 12	控虧空巨款再押候
page 12	飲客提防射盔
page 12	女青年會智育之演
page 12	名醫返港
page 12	煙案
page 12	軍火案
page 12	凡戲無　
page 12	偷劇員衣服判監
page 12	騙女子金飾判監
page 12	夥友難靠
page 12	學徒斬傷同伴
page 12	妓婦賣淫被拘
page 12	煙未納稅案
page 12	控騙水腳
page 12	被控傷人
page 12	摸竊案
