page 1	西南戡定中之閩匪蠢動
page 2	桂軍聲東擊西向湘虛張聲勢實係圖粵企圖衝出粵南欽廉各地蔣令海陳派艦巡弋欽廉
page 2	兩廣新任長官履新期尚未確定蔣令黃慕松到粵後禁絕煙賭黃紹雄已離潯抵京昨日轉滬
page 2	蔣召見黃劉等對粵政有所訓示
page 2	黃紹雄昨抵滬赴桂履新期未定
page 2	日軍三百餘名又到榆關增防
page 2	交部派姚伯龍任粵航政局長
page 2	遼吉黑熱四省國大代表選舉
page 2	韓復　代表孫桐萱赴平謁宋哲元與宋商洽要公
page 2	國民政府命令曾養甫任廣州市長
page 2	高宗武昨赴滬訪川樾交換中日問題意見
page 2	陳覺生昨返津
page 2	所得營業各稅分別定期開征
page 2	唐紹儀將赴牯嶺休養
page 2	參加歐戰華僑被俄排斥歸國僑務局設法遣回原籍
page 2	西班牙亂事我國僑民無恙
page 2	粵中央銀行分行積極籌劃進行
page 2	本年上半年桐油輸出激增較上年幾增一倍
page 2	唐紹儀病中談話對李白負嵎抗命表示惋惜極盼李白北上與蔣氏面談一次蔣誠懇動人各種隔閡當可冰釋
page 3	勵志社歡宴何部長訓話
page 3	冀建廳長王景儒召開防險會議組織沿河防險委會辦理沿河防險工作
page 3	七科學團體聯合會定期在平舉行平市社會公安兩局奉令妥為保護照料
page 3	日汎太平洋展覽會切望中國參加
page 3	國經委會首都分會定期下週成立委陳劍如為總幹事
page 3	鄧鴻等分赴湘粵攷察農村經濟以供立法參考
page 3	粵煤汽油營業稅財部飭令撤銷
page 3	于院長關心貫台決口電方監使查察詳報
page 3	新疆省設置醫務機關由中央發給開辦費
page 3	津隴平　京滬各路快車改點展期
page 3	各省冬季農作物產量二次估計較去年為佳
page 3	中常會本週不開例會
page 3	民訓部指定江寧縣為體育實驗區實驗時間為一年分三期分別推進
page 3	兩兒童會今日舉行閉幕此後有關兒童事業由兒童幸福會主持
page 3	綏宋公路完成定期行通車禮
page 3	關中昨降甘霖秋禾棉花賴以復蘇
page 3	隴海路寶芥段八月中可通車
page 3	南昌慶祝豐年舉行獻穀典禮
page 3	張吉墉代表宋哲元檢閱軍警團隊
page 3	西國內戰在進展中雙方互有勝敗首都外三十里有爭奪戰
page 3	我國世運籃球隊擊敗秘魯首次告捷
page 3	北庫頁石油試掘權日正向俄交涉
page 3	英美競造鉅艦英造兩艘美亦造兩艘
page 3	亞軍二千又與意軍激戰
page 3	奧國社黨舉行示威運動勢將影響德奧協定
page 3	下屆世運地址尚未決定
page 3	日決派秩父宮祝賀英皇加冕
page 3	但澤國社黨擬划除反對派
