page 1	綏東問題不容忽視
page 2	粵省廢除苛雜整頓金融向三行訂借六百萬已在廣州簽訂合同中行將在粵設分行
page 2	綏蒙政委會開幕討論重要議案多宗石王效忠黨國各盟旗應一致援助請閻錫山向軍會建議發槍枝自衛
page 2	魯省國防計劃書將呈軍委會核奪魯軍決依中央編制
page 2	廬山會議後國防計劃積極進行
page 2	蒙兵六千開張北絡繹向綏東集中偽便衣隊分批開入綏境綏當局嚴密戒備壓亂萌
page 2	駐滬日陸戰隊演習架設電話
page 2	日本在華購糧預作戰事準備
page 2	某國人擬在福夏密組走私機關
page 2	昆明小倒山崩塌傷斃多命
page 2	宋慶齡到牯嶺運動大赦政治犯俾各能參加國大選舉
page 2	川樾昨日由青抵津擬開華北日領會議川樾謂調整中日國交亦以經濟為首
page 2	颶風過港後續向西北激進有在滇省消滅勢
page 2	各方積極進行籌備國大選舉總所解釋疑義四點保安團隊參加選舉
page 2	施放氣球研究氣象拾得者即得賞
page 2	滬公共租界捕房破獲暗殺機關緝獲要犯數名
page 2	德記者在蒙失蹤迄今仍無下落德王亦無覆電到平
page 2	蔡廷楷區壽年忽抵南寧李白撥民團四師改編十九路軍蔡召集舊部來桂分任該軍各職
page 3	王慕曾奉派出國考察警政
page 3	蔣伯誠今日飛粵謁蔣
page 3	滬市教局禁女教員抹粉號稱師表自應以身作則
page 3	廣東法科學院鄧青陽任院長
page 3	劉震寰今晨由滬飛粵
page 3	粵高院長史延程明日啟程南下
page 3	吳忠信今日到部視事
page 3	財孔邀請各部會長官討論所得稅暫行條例草案俾於九月一日開征前公佈施行
page 3	吳鼎昌出發四省視察合作事業
page 3	世界動力協會定期在美舉行
page 3	七科學團體年會昨在清華開幕會員到場四百餘人
page 3	襄水增漲遙堤幸獲無恙
page 3	立法院放假期滿現已定期復會
page 3	新任日駐屯軍參謀長今日在津就職
page 3	中樞兩紀念週吳警恆講祀與戎之真義葉楚傖報告國大選舉總所成立經過
page 3	日使館參贊有野學調任駐津總領定今日離滬赴任
page 3	冀察委會抗議日軍演習
page 3	美國創制新式魚雷艇在史丹福港試驗
page 3	梅樂和北上浪人密謀對付石逆從中主謀
page 3	中國植物油料廠在牯舉行第一次董監聯會並推定監察及董事長常務董事等
page 3	西國叛軍攻下巴達卓茲後繼續進窺馬達城聲明決不與政府軍休戰希望得痛快淋漓之勝利
page 3	日駐蘇大使太田主張對蘇締不侵犯條約消釋雙方猜疑緩和軍備競爭各報對太田主張幾一致贊同
page 3	澳洲總理演講澳日通商問題
page 3	世運會閉幕　式簡而肅
page 3	波蘭總統接見法總參長並贈復國勳章
page 3	孔子誕辰魯韓代表致祭
page 4	公開籃球賽露天球場無戰事　光　等四隊棄權
page 4	港滬埠際滾球賽港方代表已產生
page 4	港外匯市情呆滯
page 4	昨日廣州西紙市
page 4	各行股票之市情
page 4	八九金價昨微升
page 4	滬外匯市情穩定
page 4	省法幣市價略降
page 4	勵行社籃球隊今午出發征廈預定在廈作五場比賽
page 5	桂飛機續到粵訊有四機在開平降下蔣昨召見林偉成等
page 5	何鍵來粵謁蔣昨因風雨未啟行
page 5	劉建緒部入粵前部昨已抵樂昌陳師長先來謁蔣
page 5	財廳　始造報本年度收支概算廢捐後之新預算準期呈省府討論
page 5	各縣長紛紛回省晉謁新任民廳長
page 5	蔣飭黃鎮球計劃改組粵防空委員會
page 5	提要海豐電船觸礁遇險粵市長之整理財政蔣再電財孔來粵羅定梧州之風鶴虛驚
page 5	桂組府遲未實現與中央軍增開黔省近訊一面對桂增厚包圍實力一面防川邊共匪竄擾江浙駐軍調湘省援應粵西南兩路之中央軍兵力蔣已將解決桂事近情呈報中央桂局和平解決尚有希望李白再派代表謁蔣切商
page 6	佈置
page 6	觀禮
page 6	就職
page 6	拱衛
page 6	行禮
page 6	訓話
page 6	答詞
page 6	攝影
page 6	山西輪在桂沉沒請第四路軍總部補卹
page 6	乾餅糖果商人呈請撤糖業統制病商害工莫此為甚
page 6	航商開聯席會議拒絕輪渡工人要求
page 6	市商會派代表謁蔣請償公債
page 6	湘皖米糧豐收實部飭運粵銷售請鐵部低減運費
page 6	沈載和辭職不准
page 6	稅收主管人員保證辦法之佈告
page 6	颶風襲擊廣州市各方損失情形詳記
