page 1	納粹外交之展望
page 2	新中立法內容要點
page 2	英法向美大舉購械
page 2	中美日報編輯夏仁麟竟失蹤查係被汪逆黨徒綁去圖迫使中美日報停刊
page 2	粵境我軍十月份戰果日軍官傷亡廿五員士兵有四一二二名
page 2	鄂中日軍犯仙桃鎮仍在激戰中
page 2	孫總理生辰將屆重慶準備慶祝大舉宣傳總理遺教鼓勵市民食長壽麵
page 2	德袖珍艦一艘傳已抵太平洋英海軍當局現正調查
page 2	徐　鴻捐款製棉衣
page 2	蓉市北郊上空昨日發生空戰擊墮日重轟炸機兩架在仁壽樂至尋獲殘骸
page 2	日軍誣我使用毒菌軍委會發言人痛斥日人無稽
page 2	廣州日軍侮辱美僑
page 2	財部開始償還國防公債本利又命中中交農四行開始繳還金公債木
page 2	我軍進攻文昌日軍在廣九路被痛擊日艦日機轟炸電白城
page 2	大寧西犯日軍仍與我軍激戰晉西我軍一度克東寨鎮
page 2	忠義凜然綏清水河縣長抗戰受傷被俘至死不屈綏民匪會追悼群情異常激昂
page 2	德方注意德蘇交通聯絡
page 2	美駐蘇大使或不致被召回
page 2	美軍械廠發生怠工運動當局密切注意
page 2	美新中立法案成立遠東地位仍不受影響新中立法案現時只適用於歐洲我國可不受現購自運條款限制
page 3	駐日美大使格魯訪日外相野村要求日方制止排美事件否則日美關係益將惡化
page 3	軍委會發表一週戰況十月廿五日至卅一日
page 3	巴拿馬宣言經已發生效力美洲各國分別擔任巡防
page 3	火石城駛往英國格拉士哥城　挪威時德籍船員被拘留因該輪擅自駛入挪威領海
page 3	英與各自治領討論加緊合作注重軍事運輸供應等問題將籌設經常機關負責辦理
page 3	英法海相會商討論英法海軍各項問題英國現正建造兩主力艦
page 3	川康建設期成會在蓉舉行首次常務會蔣委長派王世杰參加
page 3	希意兩　關係良好
page 3	華沙現狀瘡痍滿目樓房大多被毀屍骸尚埋瓦礫
page 3	英法在德權利託美代理駐德美大使館事務因此勢必增加數倍
page 3	比望維護中立地位
page 3	國府明令修正統一繳捐款獻金辦法均由財部統收隨收隨繳繳款機關應函達捐獻人
page 3	京杭國道方面鏖戰甚烈武康日軍增援向場宿等蠢動
page 3	德駐土在使突然回國
page 3	倫敦戰時辦法已大減輕
page 3	港女子籃球隊在菲旗開大捷
page 3	德政府放映侵波影片企圖鼓勵民心所收效果極少
page 3	湘北我軍昨晚一度攻佔岳陽東南日軍據點新開塘
page 3	四日拂曉我向靖安出擊
page 3	粵漢北段羊樓司臨湘間臨水舖附近鐵路
page 3	蘇芬談判已達嚴重階段芬蘭表示不能接納蘇聯要求雙方談判能否繼續至難預測
page 5	睦洲日偽全部退卻
page 5	三埠已入戰時情狀
page 5	三埠輪渡又受影響
page 5	中山調劑戰時民食
page 5	新會荷塘被日艦炮擊之真相日偽欲在　頭登陸被擊退
page 5	是亦飲鴆止渴日軍救濟廣州柴荒拆民船斫樹木藉充燃料日間在河南洲嘴賣平柴
page 5	蔣委員長令援助陣亡將士家屬遺漏撫卹者嚴懲
page 5	深圳戰事轉趨沉寂日機仍向各地肆虐昨日軍又圖擾鹽田南頭已成賭國各傀儡爭征貨稅
page 5	國幣在廣州灣價值銀毫五成
page 5	粵省各縣地稅收入激增
page 5	林友松辭省府委員職惠辦振濟工作
page 5	暹羅華僑歸國日眾振會撥款救濟
page 5	南路精勢緊張日軍進犯陽江東平澳在英沙嘴登陸發生激戰
page 5	古巴僑胞賑濟中山難民
page 5	和平縣府搜剿九連山匪
page 5	四邑已成大戰前情態我方佈置軍事情形另詳淪陷區內之匪患杜阮防軍捕日諜
page 5	我軍雲集鞏固防務
page 5	嚴防日探潛入活動
page 5	五區召見軍政長官
page 5	建廳派員指導曲江合作事業
page 5	省參議會下月開二次會
page 5	睦洲日偽軍改援江會已全部退卻三埠緊張已呈戰時狀態中山當局調劑戰時食糧
page 7	八月份港府稅收激增煙酒稅與娛樂稅增加最巨廣九路收入雖減尚足彌補
page 7	第二期防空班日間止截報名
page 7	港政府委任令
page 7	大嶼山北海峽並非全部開放
page 7	控妻別戀案了結原答陳廣順大受申飭有妻不知愛護咎由自取法官僅令李全賠償一角
page 7	港府頒佈與敵通商法禁商人與德國商行交易
page 7	港政府擬統制燃料煤商須一律向出入口署登記存貨售貨數目均須據實呈報
page 8	第十次特別賽馬成績巴芬卑一嗚驚人奪獲聖列芝賽錦標是場中彩者均女性
page 8	今日兩場甲組足球聯賽南南初逢海軍光華戰警察于界限街昨日雛鳳南華乙均告勝利
page 8	三比二雛鳳僅勝米杜息
page 8	三比一南華乙挫卅營炮兵
page 8	公開籃球戰績
page 8	勵進團水運會陳震南再創全國紀錄
page 8	糧食統制專員重　規定糧食標準價因來源關係較前定價格略增本港居民生活程度日高一日
