page 1	西亂結束與張伯倫之政策
page 2	夏縣之Ｘ出擾被我擊退大同偽清鄉隊反正
page 2	海豐漁船遭Ｘ截劫Ｘ機空襲投彈四枚
page 2	上月一月半滬上鋤奸成績傀儡死者十五傷者九人
page 2	閩國道省道廣植樹木三月中可種妥
page 2	趙丕廉等飛陝轉晉
page 2	蘭市開慰勞空軍大會電蔣委員長表示敬意空軍再撥慰勞金濟難
page 2	冀西我游擊隊猛攻良鄉激戰一日未停
page 2	天津租界形勢緊張Ｘ將永久封鎖佈置電網環繞租界並令Ｘ偽官吏退出
page 2	大阪某區軍庫突爆炸
page 2	第三次全國教育會議開幕到各院部長暨教育家二百餘人今日上午九時舉行第一次會議
page 2	廣州市匪風猖獗偽警手無槍械無力維持治安
page 2	列寧夫人遺骸火葬
page 2	滬特二法院移交楊鵬兼攝
page 2	Ｘ機空襲贛東
page 2	綏遠偽軍反正
page 2	便衣Ｘ人滿佈南京路昨發生手溜彈案四宗東亞旅館門前炸傷一車夫
page 2	昆渝長途電話開始營業張龍首先通話互救慶賀之詞
page 2	Ｘ國教授反戰犯出版法罪被公訴
page 2	漢宜路我軍反攻我克義合集猛攻瓦廟集三水一帶我游擊隊活躍
page 3	美國上議院討論擴充軍案孤立派主張將來政府對外戰爭時必須舉行全民投票以作最後決定
page 3	保加利亞王國訪問南斯拉夫羅馬尼亞代表定期訪問波蘭
page 3	羅馬教廷選舉新教皇到六十二名大主教儀式隆重
page 3	政治報告四孔院長向參政會提出
page 3	英貴族院護士將質問中日戰事問題張伯倫在眾議院反駁反對黨之抨擊謂英國承認佛朗哥政府係迫於事實
page 3	英下年度民政經費決定
page 3	法驅逐意記者為意逐法記者報復
page 3	德昨檢閱空軍戈林發表演說必令敵人恐怖
page 3	晉西戰事一
page 3	美財長宣稱美不變美元現行成色並謂匯兌平準基金運用靈活調節金融維護商業厥功甚偉
page 3	英抵制日貨大會昨開會鼓勵英人不再穿日本絲襪及領帶
page 3	西國民軍政府代表正式接收駐法大使館亞查那總統職務書業已收到
page 3	日竟向英抗議謂星加坡之外僑被當地非法壓迫
page 3	英下年海軍預算共計一萬五千餘萬鎊比前屆增加二千三百餘萬鎊
page 3	意擬增兵非屬
page 3	保加利亞政府大捕反動份子
page 3	美國發現日本間諜亦有蘇聯間諜
page 3	郃陽敬老大會連續舉行數日
page 3	湘臨時參議會展期四月成立
page 3	冀偽省府遷保勢將成為事實
page 3	滬英巡艦水兵三名登岸失蹤疑已被人暗害
page 3	彭述之發表聲明並非李國杰之友與傅筱庵更無關
page 3	希墨兩獨裁巨頭將在意國會晤檢討德意軸心所定政策以應付歐洲時局之變化
page 4	賣物會之成績籌得一萬五千元
page 4	諾貝爾昨返港
page 4	三院總理難產
page 4	劫殺案五疑犯昨日初次提堂
page 4	痘症日漸流行運週發生廿八宗死八人
page 4	家犬展覽大會請各界送犬參加
page 4	英后輪將到港希臘皇子亦乘該輪東來
page 4	防空補充隊歡迎各界參加
page 4	車輛失事統計去週死兩人傷四十一人
page 4	去月本港天氣較通常同月份溫暖
page 4	林子豐宴顏惠慶
page 4	華商　賑會決開餐舞游藝會籌款本月十一日在思豪酒店舉行難民屋落成派幸王銘等巡視
page 5	陳公俠部進襲河清
page 5	再襲河清收穫亦大
page 5	九江河清Ｘ之近勢
page 5	省政新猷
page 5	預防糧荒
page 5	策動殺Ｘ
page 5	查察貪污
page 5	誤傳Ｘ兵北海登陸
page 5	Ｘ軍傷兵運圍洲島
page 5	Ｘ軍沿東江進犯聲中廣九線我軍西向反攻第四游擊區鄧參謀長之談話
page 5	傳Ｘ在北海登陸不確Ｘ雖一度侵白虎頭但旋被擊退粵沿海Ｘ　增減靡常游弋窺伺
page 5	粵南Ｘ艦近日動態
page 5	來往廣州佛山之源記電輪觸礁沉沒溺斃搭客約一百名
page 5	傳Ｘ在神泉登陸不確汕當局嚴緝造謠漢奸最近當局公佈之軍訊汕市警局長之談話
page 5	分區巡視
page 5	西江之Ｘ兵力調查木棉Ｘ趕築工事廣州Ｘ軍續增援
page 5	陳公俠部及胡緝部兩度進襲河清斃Ｘ逾百Ｘ增援後最近分佈之調查
page 6	三水灶岡血戰經過兩村夷為平地
page 6	Ｘ擬在我淪陷區發無基金鈔票粵省府飭民眾抵制
page 6	軍政部在粵設補訓團在東西北江各地成立
page 6	我空軍窺察增城續誌投下告日軍書
page 6	嚴禁穀米出口
page 6	開平米荒嚴重各界會議決定組設糧食救濟會
page 6	舉行和平祈禱
page 6	飛將軍再出戰
page 6	運汕免稅洋米明令已頒一日起即實行額數百五萬擔
page 6	Ｘ機昨又襲汕在潮汕車站投彈
page 6	Ｘ圖劫奪糧食葦涌登陸被我擊退擊沉Ｘ艇一艘傷斃二十餘名
page 6	順屬勒流已成煙賭世界Ｘ日激二百五元
page 6	江門校書獻身籌款還債由花界成益堂籌劃中
page 6	何春帆檢閱潮安武裝
page 6	古鼎華接任一區行政專員
page 6	槍決蕉嶺劫匪
page 6	全汕市電力廠恢復全部供電
page 6	劫後之沙灣市橋與團隊撤退之經過三
page 7	浸華南Ｘ軍司令田中昨晚來港
page 7	暹府修改稅則我國食品入口均增稅
page 7	名劇紐約小姐昨晚首次公演
page 7	警探追捕逃犯
page 7	大角嘴貧民寮已拆卸數百貧民無地棲身當局送難民營收容
page 7	暹米運港銳減因戰事影響無法推銷
page 7	香港大酒店獲利百餘萬元
page 7	苦力被斫重傷
page 7	港政府收容難民統計上星期突增三千餘人
page 7	英駐遠東艦隊下月在星演習各埠英艦紛紛開往準備參加諾貝爾中將將任演習指揮官
page 7	捕獲劫案疑犯
page 7	侵海南Ｘ不顧公法迭次截搜第三國商輪英輪廣東及大順康號均被騷擾我出海漁船更遭焚劫無一幸免
page 8	兩賊夜劫農戶
page 8	何明華會督赴桂視察災區
page 8	今日婦女應有之責任何艾齡播音演講
page 8	春季大賽馬之第四日奴斯衣力獲冠軍賽錦標婦女銀包賽列非打冠軍
page 8	女校長蘇安平控其夫劉君任謂劉毆傷其身體劉為本港美術家
page 8	本港盜匪猖獗半月內發生劫案廿宗賊匪六十餘名僅獲疑犯十人一雜貨店老司數員被賊勒斃
page 10	日方報紙繼續抨擊
page 10	日方又提二次抗議
page 10	覆文日內即可　出
page 10	局方研究牒文內容
page 10	日軍竟亦封鎖椒江
page 10	沿江大火業已撲滅
page 10	溫州寧波均已戒嚴
page 10	日艦一艘中彈受傷
page 10	日軍在海門登陸未逞竟封鎖椒江沿江大火已撲滅日艦一艘被擊傷
page 10	日方代表訪美司令
page 10	上海西區毒品瀰漫可怖由Ｘ軍特務部大量供給吸取收入支付軍事消耗
page 10	日軍已不復如往昔的趾高氣揚了一國際反侵略運動大會通訊
page 10	滬Ｘ圖在租界護警權迭致牒工部局以恐怖事件頻頻　生為籍口租界警力充足　Ｘ要求拒絕
