page 1	抗戰三週年
page 2	近衛發表聲明陰謀全般顯露
page 2	軍事方面觀察我軍愈戰愈強
page 2	政治基礎穩固努力推行國策
page 2	愛好正義國家都是我們友邦
page 2	我國經濟穩固已能自力更生
page 2	龍州失陷現在城郊附近激戰
page 2	我們抗戰三年各方俱有進步
page 2	具體努力事項一致共同實行
page 2	不惜奮鬥犧牲完全建國大業
page 2	抗戰建國三週年紀念蔣委長告全國軍民書三年持久抗戰我軍愈戰愈強政治早上軌道經濟自力更生
page 3	法國追求自利政策宣佈與英斷絕邦交德對法取消休戰協定第八項
page 3	日飛行員百餘名被擊斃日軍在漢舉行追悼
page 3	法機母艦被困美洲
page 3	奧蘭法艦損失甚重
page 3	我掃蕩荊當間殘日洋梓隨縣日軍遭我痛擊
page 3	平日軍濫捕青年學生
page 3	遠東英法當局保證越南現狀越南總督已發表宣言仍與英合作求取勝利
page 3	英艦力量優於軸心
page 3	加總理談奧蘭事件
page 3	希特勒返柏林德意重要會議傳德意經此重要會議後或將向英提出和平條約
page 3	王外長發表重要聲明吾感謝友邦之同情要與援助我國抗戰亦有助列強地位
page 3	豫東我軍克復商邱
page 3	德機大舉襲英倫發生劇烈空戰英增多二十五萬人入伍強化英倫海疆防禦地位
page 3	南寧義民百餘戶逃入後方
page 3	一頁悲壯史蹟
page 3	蘇聯政府向英表示反對封閉滇緬公路滇緬公路問題牽涉及於他國英將答覆日本不能接納要求
page 4	抗戰三週年紀念我國抗戰穩定太平洋局勢蘇美極應盡對我援助義務
page 4	抗戰三週紀念日致辭
page 4	發動神聖抗戰後三年來之財政與金融
page 4	抗戰建國三週紀念日蔣總裁靠全黨同志書
page 5	白蕉偽軍遂換旗幟
page 5	古井軍民攻守合作
page 5	日艦紛向各地騷擾
page 5	千夫所指難免一死官山偽軍小隊長被殺魚肉鄉民激動眾怒荷鋤出擊蔗地就戮叩首乞赦可笑可憐
page 5	西江潦漲日艦艇迭出擾貝水炮戰毀日艦艇
page 5	時機至矣
page 5	叩首求赦
page 5	大快人心
page 5	粵偽軍互相傾軋偽護國軍總隊長被留因分贓不勻被日軍官控告
page 5	潮汕日軍增援反撲犯桑浦山遭創我機炸毀日車
page 5	大良日軍騷擾馬崗情形
page 5	粵北各界紀念抗戰之三週年盛大巡行擴大宣傳基督教徒舉行獻金
page 5	三水鄉民請領賑款手續
page 5	廣州偽組織汪彭兩派爭收稅捐已到尖銳化偽財廳清理國省市稅藉向彭派作嚴重打擊
page 5	寶安日軍大部撤退後我準備反攻與日軍佈防日艇繞道運死傷兵赴廣州
page 5	沙深公路日兵佈防
page 5	日艇繞道運死傷兵
page 5	日以地盤賞給招桂章白蕉偽軍改稱海軍擊戰隊名為封鎖四邑實則勒抽護費玉洲遭屠殺後軍民合作
page 6	粵北日軍連日出擾日犯從化南我克馬村粵路日軍增援我襲大塱奏捷
page 6	偽華南軍瓦解經過偽總司令方正華及偽軍官多人被俘並繳獲大批武器該偽軍已全部覆滅
page 6	戰利品陳列
page 6	彭司令談話
page 6	偽司令演詞
page 6	我軍反攻克復馬村
page 6	神岡西北兩軍搏戰
page 6	我襲大望毀日交通
page 6	販賣人口亟宜查禁
page 7	發出紙花十五萬朵
page 7	肉類商人停止營業
page 7	米行籌款將達二萬
page 7	社團學校開會紀念
page 7	各行工廠休息一天
page 7	駐港法領館脫離貝當政府法僑及留港之法艦均擁護倫敦法政府
page 7	赤柱大潭一印警被槍殺所佩手槍亦失去
page 7	港政府指定自由攜帶照相機地點不得到處攝取景物照片東區冰廠昨亦列入禁區
page 7	防空服務隊奉令局部動員八十餘名昨已出發分駐港九各區服務
page 7	香港區
page 7	九龍區
page 7	華僑中學換物會已結束匯獻中央國幣萬元
page 7	限期繳納戰稅戰稅局之通告
page 7	港粵基督教團體推銷儲蓄券成績甚佳不難達到一百萬元之數
page 7	本港華資銀行絕無他遷準備鄭鐵如昨向記者鄭重聲明行員家屬疏散係私人行動
page 7	七七三週年紀念各僑團舉行紀念儀式賑聯會售花籌款救濟傷兵難民全港僑胞素食為死難軍民誌哀肉行商人及各工廠均停業一天
page 8	南頭深圳日懼我反攻忙築工事日夜戒備寶安小輪無法復航
page 8	閉目棋賽鄧飛對盧輝
page 8	合法之會計師港政府昨公布
page 8	帝航機港曼班暫停開因英政府不准航經越南
page 8	本　人心漸安徙澳者已減少英籍婦孺疏散完竣美領事勸婦孺離港
page 8	美領勸告婦孺離境
page 8	英婦孺將轉往澳洲
page 8	摩星嶺骨殖一部限期遷葬
page 8	兩人被剌重傷
page 8	破獲紅丸機關一毒犯受重懲
page 8	疏散當局發表談話
page 8	誤殺案昨續審
page 8	大同酒家之素筵
page 8	參加非法組織人等港督將隨時下令拘捕港政府昨修政防衛法例並禁發表搖動人心戰訊
page 10	昨日棒球聯賽水兵湔雪前恥八比二大勝香港會今有兩場戰事南華逢中華港啤對工程
page 10	中華游泳會昨晚舉行首次水藝秩序豐富爭持殊成績亦佳
page 10	九龍學籃戰訊
page 10	51比26宵來公開籃球賽甲組星島輕取培英另一場鐘聲擊敗青甲乙組之戰勵行挫紅鷹
page 10	南華會友籃賽昨日揭開戰幕
page 10	南華游泳場今日紀念七七
page 10	友誼籃球賽記者僅勝住聯會
