page 2	最後五分鍾的戰爭
page 3	京政府將催議院速議孫閣同意案
page 3	十一國使催決金佛郎案
page 3	中央擬任溫樹德為海軍次長
page 3	龍濟光派李嘉品赴粵召集舊部擬在高雷起事並運動恢復兩廣巡閱使職已成熟旅京粵人群起反對經馬小進等提案質問
page 3	湘訊趙恒惕軍再獲大勝
page 3	宋鶴庚林支宇電趙恒惕勸勿引北軍入湘
page 3	吳佩孚因湘戰得手擬任馬濟為湖南督理趙恒惕省長
page 3	川軍一日襲巫巴蕭耀南令王汝勤嚴防龍袁兩部在萬縣側面與川軍周西成部激戰
page 3	五日吳景濂帶往眾議院之衛兵王才因毆議員被拘已解往警廳押留蒲殿俊王樞等以吳率警攜械闖入議場應照議員手攜兇器亂序提案懲戒
page 3	五日府議詢吳景濂如常會難開樞府停頓內閣可否派署
page 3	反吳景濂派向孫寶琦聲明五日搗亂純係對吳與組閣同意案無涉
page 3	外論應以吳景濂為臨時議長謂援英德先例此為延長職權並非延長任期不必改選若改選則憲法議長任期三年下屆國會召集前又將以未任滿而起爭端
page 3	葡使回國後由荷使歐登科代理領袖公使
page 3	葡使及曼德五日夕謁曹錕
page 3	某使館消息會辦題不決護路案之十二條終必提出
page 3	義國決加入長江警備團將派三艦來華
page 3	蘇省長爭者多無法解決府院迫得仍留韓國鈞以仁爭端
page 3	東江戰局與廣州戒嚴
page 3	柏塘一路粵聯兩軍最近之戰況
page 3	粵聯兩軍仍相持於橫
page 3	駐梧粵軍之變動消息
page 3	泰尾方面之粵軍捷報
page 3	路孝忱出發湖南
page 3	試驗避槍彈之背心
page 3	搜樓拿人
page 3	提防匪竊電器
