page 2	　答勁躬君
page 3	顏惠慶不允代理閣務避往天津
page 3	曹錕派趙玉珂晉京接洽組閣事
page 3	葉恭綽將為梁士詒內閣秘書長
page 3	十八日顏惠顧慶兼代總理十九日就職但訂明只祗代七天不負財政責任
page 3	梁士詒組閣直系須徵吳佩孚意見且有特別條件但對張作霖曹錕似先有所接洽聞曹有十八晚入京
page 3	直派反對曹汝霖陸宗輿入閣故陸曹祇能希望閣外特任職員
page 3	外交部電華代表太會對我提案動輒以組織委員會審查為擱置計此後務須打銷此種辦法
page 3	閣議北京八校經費俟加稅定後月撥十萬元
page 3	領袖公使小幡咨部已令滬領事詳查交易所利弊俟詳報再商辦法
page 3	鄂川雖定議休兵仍有戰事
page 3	靳雲鵬十七晚赴天津
page 3	吉林省議會呈部擬收集華人所存盧布購回中東鐵路
page 3	法使十七日謁顏惠慶談話退還庚子賠款
page 3	組閣問題一說曹錕屬意王士珍徐世昌仍主非王不可如王不允出山則推未啟鈴惟朱宣言死不奉命王亦消極
page 3	舊交系登台又一計劃擬
page 3	任葉恭綽為公府秘書長免府院扞務徐世章長交通以結歡於徐世昌羅鴻年任交通次長握奪實權對直系許助餉三百萬
page 3	中　總裁馮耿光地位不穩請病假三月王克敏運動繼任
page 3	張強曾於十七日由保定抵天津
page 3	張福來電蕭耀南請將沈鴻英部分駐平江湘陰已商約趙恒惕聯防
page 3	美京電膠濟鐵路贖回無異議惟日主廿一年後完全贖回我主三年內分部贖回三年至十年中可完全贖回並提七款一路款分期還二首期在約成後九個月內三餘發國庫券以鐵路收入作抵四國庫券於首期還款日交付五庫券每半年償一次六年利五厘七該路對各國平等待遇日仍反對分還辦　
page 3	顏惠慶電華代表謂內閣更迭與外交無涉應向各國聲明太會瞬即閉會各項要案須速提前辦理廿一條撤廢尤重要
page 3	令梧關嚴防偽幣入桂
page 3	海艦練習生反對林永謨考試
page 3	設立市展覽會之停頓
page 3	廣利輪船被劫續聞
page 3	百二友又復猖獗
page 3	取締保險業將實行
page 3	派員調查各處煙酒印花情形
page 6	滬銀商擬買
page 6	中國之催命　
page 6	生意對於艦
page 6	日本拋棄膠濟路合辦消息
page 6	陳樹藩勢已窮　
page 6	京漢路借款近聞
page 6	京綏路罷工風潮未解決
page 6	新舊交系對於奉張維持交行條件之兩歧
page 6	奉張電召陳德修
page 6	靳張面談閣潮
page 6	顏惠慶與北京簽團體外交聯合會代表之談
page 6	侵吞海軍餉項案之滬聞
page 6	外部為海後難案致英使
page 6	張作霖蒞津
page 6	補錄中國電力有限公司年限聚會
page 6	銀價
page 6	開濼煤礦報告
page 6	紀念佐頓醫
page 6	銀行家到港
page 6	船政署案
page 6	駐英華領事調任
page 6	傳染症
page 6	華絲到美
page 6	刑名案
page 7	質問南雄縣長違法委任之解釋
page 7	縣長辭議員職之第一聲
page 7	再誌裁兵計劃
page 7	陳德春尚須留兵駐桂
page 7	增設龍州軍事督辦
page 7	十一午度之軍費預算
page 7	狎私娼者鑒諸
page 7	運署查緝員之詐財處刑
page 7	高屬防務近誌
page 7	南三盜患與厘收之關係
page 7	擴充法警之討論
page 7	稅關例假
page 7	鄉人反對江門洋關員佔地案近聞
page 7	紙業工潮之解決
page 7	此真逐奧之夫
page 7	馬路拆屋之傳知
page 7	番禺知事斥責和尚
page 7	潮　第五校長被控
page 7	瑣聞一束
page 7	印度小靖
page 7	前德皇言戰禍之所歸
page 7	英國生活程度
page 7	愛爾蘭問題
page 7	賠款會對德償款之堅持
page 7	匈奧爭地由民眾票決
page 7	中儒見知于法人
page 7	商船與滅雷艦相撞
page 9	中日交涉之秘密前駐恭美使茵恩施秘記
page 9	青年會第十四屆週歲運動大會紀聞
page 9	策群學校發起國語研究會
page 9	韋紳出殯執紼人眾
page 9	警差擅用職權被斥
page 9	詠太平班又演新劇
page 9	贈書誌謝
page 9	賭案
page 9	私寨案
page 9	電船爆炸傷人
page 9	自由汽車又傷人
page 9	被控偷煤
page 9	燒臘檯賣生肉被罰
page 9	被解未滿期回港
page 9	公平公會將開幕
page 9	被控偷天鵝絨
page 12	孫文同以慰藉桂林公　
page 12	省憲問題將討論完結
page 12	公路處之開放主義
page 12	魏軍高唱凱歌回
page 12	准粵路增闢河堤之省署令
page 12	最後解決之舖底問題
page 12	台城髮匠罷工近聞
page 12	中美聯合球隊獲勝詳紀
page 12	收用廟庵為小學校址
page 12	西關戲院洩電傷人
page 12	業戶公會呈請立案之波折
