page 2	滑稽的共產談貳
page 3	眾議院今日議孫閣同意案惟因爭鬧議長恐流會
page 3	裁員令三道已蓋印因曹錕生辰改明天發表計各機關完全裁撤者十一處裁減者九處並重申政費以民八預算為範圍
page 3	奉方派張九卿來祝曹錕壽
page 3	傳說盧永祥陰使張載揚派張某來京接洽附北條件
page 3	新新議員盼吳佩孚催政府
page 3	下改選期令甘石派則阻高淩霨王克敏王毓芝下令
page 3	吳景濂爭歲費失敗決以金佛郎案為武器先倒王克敏再折台
page 3	孫閣同意案通知書印就吳景濂慮人反對尚未發表擬改三十日
page 3	葡萄語吳毓麟各使意在整頓路警非專勦匪警餉須有確保障
page 3	施肇基電京美海軍部以粵亂未靖擬在廣州設軍用電台通報消息經本人向休士力阻休允與海長再商
page 3	陳籙電告法政府願還廣州灣以威海交還成例為藍本
page 3	王承斌曹銳邊守靖熊炳琦彭允彝均親往祝曹錕壽惟吳佩孚遣繼室往祝各省則專派代表往祝曹擬乘機商統一問題
page 3	憲政黨請吳佩孚為名譽理事長
page 3	高淩霨電齊燮元何豐林仍以陸榮籛署淞滬警廳長申振剛仍回省署警備主任
page 3	教育部發薪一月仍未辦公教費已發各校亦未開課
page 3	財部擬發十三年公債以鹽餘作抵
page 3	魯益都學生已為議員郭廣恩鑄成豬像
page 3	曹錕將畀吳佩孚川湘經略使辦理川湘善後
page 3	閻錫山專任晉省長電保張培梅督晉
page 3	齊燮元因蔡成勳不贊已為巡閱未敢遽就
page 3	蘇皖贛鄂商共派兵二旅組長江游擊隊推蕭耀南為總司令
page 3	吳佩孚派趙榮華為援川軍執法處處長執法處設夔州
page 3	顏德基包圍綏定陝軍劉寶善旅勢不支顏又分兵襲開江斷萬縣後路
page 3	王汝勤聞但懋辛軍進窺施南電調利川十五旅防堵
page 3	復趨劇戰之東江戰局
page 3	北江形勢日趨吃緊
page 3	連日粵軍撤退之經過情形林虎主援進諸將主急攻祇差此壹著
page 3	鄭潤琦移駐肇慶續聞
page 3	省長問題近聞
page 3	姦夫淫婦判死刑
page 3	輪船失火
page 3	風訊
