page 2	為收管寧路事告四邑公民
page 3	中南鹽業等銀行擠兌風潮已完全平息
page 3	昨張家口大雪
page 3	湘訊長沙秩序仍混亂各公團請魯滌平入長維持魯已由湘潭開拔並勸譚延闓勿攻趙恒惕當勸趙自退免省城糜爛但株州易家灣間激戰仍烈趙軍憑險死守又另據報告謂劉聚彝已由靖港進逼長沙賀耀祖潰退唐生智退瀏陽劉軍已入長沙等語惟尚無別消息證實
page 3	吳佩孚運彈百萬至岳州接濟趙軍
page 3	長沙領事團電京公使團報告略謂湘軍統系複雜蔡鉅猷奉譚延闓命已進至常德趙恒惕軍迫汨羅譚軍謝國光吳劍學兩部由株州沿易家灣再攻長沙現省城仍在趙軍手劉鉶軍在省城維持治安
page 3	吳佩孚電攝閣謂湘戰勝負關係其大現豫鄂軍隊已開赴岳州相機進援械彈接濟不能間斷川戰同時吃緊鄂省無兼顧能力援湘各軍械彈須由中央供給請府院特別注意
page 3	長沙日本水兵連日出巡日僑地址警廳恐與居民衝突加派巡查隊嚴防日領事亦出佈告謂湘變起後本國水兵登陸保護日僑並無他意等語
page 3	廈訊海軍攻廈說又盛居民紛逃鼓浪嶼
page 3	王永彝電福州稱宋淵源葉　定國陳國威楊漢烈等部圖襲
page 3	晉江惠安現正混戰劉春台亦電稱現退安海待援王永泉宋葉決主戰對黃大偉主聯
page 3	孫傳芳王永泉京稱十六日午臧致平勾結張淵原等部來犯泉州十七日拂曉圍惠安我軍內外夾攻宋軍大敗被俘四五百人斃二百餘人
page 3	奉天秋季大操各方頗注目張作霖經鮑貴卿疏通已允停止舉行以避直疑
page 3	吳佩孚派靳雲鵬赴山海關巡查防務
page 3	京六國飯店不許住議員政客武人作政治聚會
page 3	廿二日出京議員十餘人粵籍居多數
page 3	王承斌吳毓麟定秋節晚宴議員商大選期
page 3	外部通電駐英美日義法比各公使徵求承認蘇俄意見
page 3	漢訊日輪宜陽丸案聞該輪此次保險代楊林所運槍若干枝彈百萬發洋十萬元均被劫楊軍已向該輪提出交涉前被擄兩日人尚無恙
page 3	將軍府將軍龍裕光等及院秘書廳人員均向張弧索薪張無以應
page 3	陳籙由日內瓦電攝閣謂國際對吾國煙禁廢弛頗不滿意國際地位大動搖
page 3	收管新寧鐵路近聞以改選總理嚇陳宜禧
page 3	某軍事家之戰事形熱談
page 3	東西江軍事消息
page 3	東江聯軍之進行計劃
page 3	顧維鈞覆何曉生函
page 3	商會代收軍火問題
page 3	隆生輪之保險費
page 3	風訊
