page 1	英法蘇軍事協定
page 2	鄂中情況
page 2	顧祝同劉建緒躬自指揮浙東連日激戰廿五日我軍某部克復餘杭滬杭路路仲鎮我逆襲告捷
page 2	Ｘ名飛行家兩名戰死
page 2	岷山遊擊隊聲勢浩大Ｘ三路猛攻嶺上王失敗傷斃百餘損失軍械無算
page 2	南通Ｘ蠢動受挫
page 2	甘貝爾赴桂視察
page 2	我克安邱斃Ｘ二百餘名
page 2	港大副校長施　詩在渝廣播渝行徵象建設迅速民眾工作緊張此間均呈種樂觀氣象
page 2	Ｘ機襲渝被我擊落一架Ｘ方已予承認
page 2	我游擊隊襲擊吳淞滬　間全車停開
page 2	滬日圓價格稍漲復跌乃由惡性退貨膨脹所致Ｘ國內經濟枯竭可想見
page 2	銅山常備隊包抄大許家Ｘ韓副總司令傳令嘉獎
page 2	湘茶激增三倍值六白餘萬元
page 2	鼓浪嶼局勢未緩四國海軍會議無結果廈日總領訪工部局交換意見英法決心維護在華固有權益
page 2	閩海澄縣舉行扁額義賣購買者甚為踴躍極　能推行全國
page 2	鄂南Ｘ我在南林橋附近激戰犯隨棘Ｘ慘敗經鍾祥南撤大洪山殘Ｘ向京山潰退中
page 3	英新通牒內容
page 3	德對但澤問題謂已決定方針先在政治上精神上進行佈置一俟時機成熟即行有所舉動
page 3	廣州外圍線視察清從民眾英勇殺Ｘ紀二
page 3	美召棉花會議解決棉花問題
page 3	再接再厲
page 3	美政府研討修訂中立法案將取消關於禁止軍火輸出禁止在財政上援助交戰國
page 3	陳儀被扣留說中央力加否認
page 3	羅外長日間赴土報聘
page 3	台維斯盃賽英國選手勝法
page 3	德國發表本年首季之經濟狀況勞工原料運輸三者已成為行嚴重問題
page 3	國聯議決請美加緊援華顧代表表示對該案不甚滿意聲明援華問題須留下屆討論
page 3	英陸軍大臣將聘問莫斯科並邀紅軍總司令赴英觀操
page 3	駐英意大使違背外交禮節發表政治演講
page 3	德志願兵五千由西返國
page 3	土內閣總理因病呈請辭職由現外長繼任
page 3	胡適在美赴各大學演說
page 3	倫敦泰晤士報社評日征服中國企圖失策謀將中美利益逐出中國企圖不久亦將證明　同樣之失策
page 3	周鍾嶽將下月初飛渝
page 3	甘官錢局改組
page 3	滬發生槍殺案有兩人受傷
page 3	同蒲東側戰事無變化
page 3	我砲兵重創長江Ｘ艦
page 3	滬工部局認與Ｘ交涉告一段落對抵觸地皮章程等要求工部局不加拒絕或應允
page 3	英大使明日晨可抵滬
page 3	德將與北歐小國簽訂不侵協定
page 3	日不參加世運
page 3	英兩商輪載英兵駛漢口英艦蠍　護航
page 3	江南造船廠爆炸原因未明
page 3	英擬於英蘇公約成立後即倡議召集和平會議英蘇法同盟下星期可正式成立同盟草案英昨已送交蘇聯政府
page 4	港督巡視九龍啟暗學校
page 4	五女團餐舞會五毫獎券開彩
page 4	英艦赴威海衛
page 4	英賑難會又募得數千元
page 4	葡領日間離港葡僑將開會歡送
page 4	路人突被狙擊
page 4	王正廷昨飛暹
page 4	新任海軍司令定期就職視事
page 4	捐金購債彙誌
page 4	香港大學畢業試揭曉工科卅人文科廿二醫科十一工科學生黃仲雅獲威廉臣獎
page 5	被迫各鄉決心抗戰
page 5	某軍要談江會戰情
page 5	江會各線昨日戰情
page 5	Ｘ圖犯睦洲阻交通
page 5	Ｘ圖炸崖門封鎖線
page 5	東寶鄉民被Ｘ恐嚇聯請縣當局嚴為戒備
page 5	容桂傀儡紛向縣府檢舉鋤奸團隊之活躍
page 5	大都鄉團隊與Ｘ軍激戰之原因土匪假冒Ｘ軍到該鄉劫掠後翌日Ｘ軍到鄉團隊據險迎擊　死傷多人其後卒被Ｘ入踞
page 5	西路形勢又緊馬口Ｘ軍砲轟金利崗根各地Ｘ趕修工事
page 5	圍洲島難民談述Ｘ情大批傷兵運島療治
page 5	唐家香洲Ｘ艦已退
page 5	吳張兩氏慰問難民
page 5	Ｘ兵圖襲古鎮被擊
page 5	Ｘ機又炸潭洲黃圃
page 5	中山形勢仍緊張Ｘ砲轟古鎮登陸被痛擊Ｘ機又炸潭洲大崗大黃圃
page 5	財廳設立稅務講習班
page 5	深圳軍警督察處權責確定
page 5	梧碉堡將拆卸
page 5	花縣淪陷區內的現狀
page 5	某軍要談江會戰情我取機動戰略Ｘ已應付困難江會各線昨日之戰訊
page 6	我襲大同斃Ｘ百餘
page 6	轟炸大浦燬Ｘ機庫
page 6	Ｘ犯花縣被我誘殲
page 6	太平場Ｘ渡河被擊
page 6	Ｘ擾炭步又遭慘敗
page 6	新會各區鄉民眾昨舉行軍民合作大會徵縣各界民眾組織戰時工作隊
page 6	省府調整各縣警察昨訂定辦公施行
page 6	省府令各縣民眾協助抗戰規定工作大綱九項
page 6	張炎積極救濟高屬米荒提撥巨款採購洋米
page 6	北海發現Ｘ潛水艇
page 6	新會慕岡河岸葵寮被焚葵寮卅餘座盡焚燬災民百餘露宿待賑
page 6	Ｘ機昨襲大衿島新發渡及碼頭被炸
page 6	陽江縣府積極推行戰教
page 6	北線趙彭兩師之戰績從花間獲空前勝利Ｘ犯花縣誘至蓆草塘牛牯嶺聚纖馮涌Ｘ軍出擾被趙師擊斃二百餘
page 7	領地辦法
page 7	管制法例
page 7	證明文件
page 7	港府財政狀況甚佳上月稅收達三百五十餘萬現存資產超過千六百萬元
page 7	鶴山僑商服務團明日行授旗禮
page 7	赤灣貨艇被劫財物被掠一空獲四疑犯
page 7	灣仔血案提堂
page 7	擱淺三枝香河面之大利輪船昨午已抵港略加修理將改航港澳線寶與號貨船昨尚未獲釋
page 7	宗教教育團體昨追悼黃啟明
page 7	水警署服務員十人被控勒索
page 7	澳購地皮與設廠規則梁愛源已譯寄本港廠商聯合會廠商對在澳發展工業深感興趣
page 8	救亡劇團繼續義演三天
