page 2	南海縣會尚有不為金錢服之議員
page 3	黎元洪派代表保羅文幹後延入府安慰一翻留在禮官處暫住
page 3	吳佩孚廿日電責軍警不經閣議逮捕羅文幹有違法嫌疑
page 3	張紹曾高淩霨通電聲明奧款新合同　未經閣議政府決議退還查辦案國務員須用彈劾案
page 3	廿　日王寵惠　駁議會文請黎元洪釋羅文幹黎允命蔭昌王開文孫寶琦汪大　赴地檢廳迎羅並道歉經勸兩時羅始允出廳隨局赴公府黎再三勸慰並留羅住居仁堂羅不允但請由法律解決案不白前不到　　現住禮官處候傳審
page 3	閣員廿二日通電言議員包圍總統不令蓋印闖入議事廳迫總統離室王寵惠等立應引退但羅案未白待罪聽候解決
page 3	張伯烈赴保定避嫌惟下車後又即折回曹錕有因羅案來京消息一說已中止
page 3	廿一日國務院令高淩霨代財長
page 3	羅案奧款係發新債票換舊債票佣銀由羅簽字但已入財部賬目現法庭調到三方全案八萬磅佣銀用途係還廣九
page 3	債　十萬元付麥加利銀行十六萬元完全歸公三萬五千磅兩支票係安利及華義兩銀行手續費經交該兩行簽收訕英義兩公使證明檢察廳因羅無受賄馮據宣佈不提公訴
page 3	法庭再傳張伯烈吳景濂到案並聲明係傳其本人非傳議長因吳等向府密告實私人名義用眾議院印眾議院通過查辦案又在事後兩天
page 3	廿一日議員監視黎元洪有某次長見黎議員指為親洛派阻黎勿見黎曰我就不見勿圍我圍黎之議員係益友及安福改組之新黨非盡國會議員
page 3	天津在野政客日來大活動聞與總統問題有關
page 3	常德盛軍得蔡成勳接濟復進攻邵武光澤建寧相繼陷徐鏡清兵單械缺電告不負責黃展雲帶自治軍往接鹽運使任鄭連副陰調福軍抗拒嗚槍示威廿二日雙方備戰林森急請許崇智王永泉調停
page 3	中外輿論對黎元洪以命令代法律又議員輪流監視黎不許蓋印紛肆譏評
page 3	吳景濂廿二日二次見黎元洪請令高淩霨署閣提張紹曾組閣並遺顏惠慶一矢謂外交系應根本消滅黎未決議員及黎左右發言龐雜無結果
page 3	廿一日憲法會議吳景濂派未到流會
page 3	廿二日吳景濂私黨三批到公府監視黎元洪
page 3	中捷通商條約捷克代表不再堅持領事裁判權及稅則俟捷政府電覆即簽字
page 3	張紹曾廿一日大讌保洛兩派重要份子預備調停政潮
page 3	曹錕電稱迭接李厚基電閩事非添生力軍無濟請即明令任孫傳芳為援閩總司令周蔭人副
page 3	潮州府城之戒嚴
page 3	委鄧本殷辦欽廉清鄉
page 3	李厚基到汕後之所聞
page 3	鹽商借餉請分期交付
page 3	飛機廠又被焚
page 3	派員慰勞援桂軍
page 3	瑞安輪船被劫雜訊
page 3	被控擄人勒贖案押候
page 3	讌梅蘭芳之畫局
page 6	憲法審議中之勞工問題續
page 6	眾議員質問奧款展期條件
page 6	章太炎致張載陽書
page 6	費毓楷解省
page 6	北京隔牆聽戲之閩訊
page 6	大煙案押候
page 6	各界捐助善款之踴躍
page 6	租船轇轕案
page 6	銀價
page 6	傳染症報告
page 6	船政司署案
page 6	歐戰紀念碑之建築
page 6	永和街劫案判結
page 6	門安潮贈梅郎詩
page 6	火警例誌
page 6	苦力被犬咬傷
page 6	紅磡鐘鏢店被劫續聞
page 6	私寨案
page 6	舖票廠案判結
page 6	出入口庄巨竊案
page 6	火警虛驚
page 6	影畫誌
page 7	塌牆傷斃人命
page 7	陸孟飛尚未接瓊州關任
page 7	賃商輪充江防艦隊
page 7	高審廳長之繼任消息
page 7	恢復海軍學校之擬議
page 7	審訊狄克博近誌
page 7	令催清理華洋訴訟案
page 7	海豐之兇僧焚殺案
page 7	廣西郵包照常收寄
page 7	民軍又有　起之勢
page 7	肇省輪渡辛獲脫險
page 7	臧致平歡迎粵軍又一說
page 7	陳炯明擬將犯兵枷號示眾
page 7	鍾景棠捐廉助軍餉
page 7	省署將大宴各界社團
page 7	呈請開辦全省牛皮檢查稅
page 7	鐘鏢店東之呈批
page 7	土布工潮之批詞
page 7	總部對於李寶祥濫殺案之批詞
page 7	番禺局紳請緝著匪
page 7	新會慈溪赤江里之據劫案
page 7	美艦撞沉煤船案之交涉
page 7	破獲拐匪機關
page 7	取銷龍川縣排牙捐
page 7	陳炯明擬出巡東江之傳聞
page 7	黃業興領軍用品
page 7	申葆藩有進窺欽廉消息
page 7	瑣聞一束
