page 1	精神與物質
page 2	滬美日兵衝突事件尚無解決希望昨晨雙方談商二小時柏克無意接受日抗議
page 2	軍委會發表一週戰況七月七日至十三日
page 2	美國防資源委員會主席談美國軍用材料充足人造橡皮方法試驗成功大批鎢錳已由中國運美
page 2	美總統再申明不參戰美海軍亦不開赴歐洲赫爾鈄出席泛美會議
page 2	無煙藥廠規模偉大
page 2	教部訂定高中學生訓綱
page 2	夏令勞軍團分赴贛北贛東
page 2	意農產品豐收
page 2	各地僑胞紛電擁護中樞
page 2	海外僑團電蔣委長致敬
page 2	僑團電慰空軍
page 2	滬法租界華捕武器被劫
page 2	豫東偽軍反正日軍殺班長投誠
page 2	政務巡視團西北組昨抵青各界開會歡迎
page 2	豫籌募慰勞金
page 2	各地民眾討汪
page 2	羅德力克拳賽壓倒那曼士奴
page 2	美政府決盡量收容難童
page 2	渝天主教堂盡被炸毀損失五百萬元
page 2	唐式遵討汪電
page 2	英日談判尚無結果英方斷不肯大讓步不放棄中立地位損害中國日報又主張與德意訂軍盟
page 3	英兩鉅艦未受損害
page 3	意軍在非洲之戰績
page 3	七中全會閉幕蔣總裁閉會詞全文三
page 3	最感困難
page 3	照常開會
page 3	蓋達評地中海空戰
page 3	意方地中海之戰訊
page 3	德軍捕獲英船數艘
page 3	民族精神
page 3	煉成純綱
page 3	磨礪以須
page 3	獨立生存
page 3	納粹政府之新歐洲計劃竟企圖併吞各小國
page 3	法民族委會領袖哥里將軍演詞英法力量逐日加強長期戰爭必獲勝利
page 3	圖侖居民恐英來襲
page 3	倫敦法人慶祝法革命紀念日
page 3	羅軍復員
page 3	夏威夷美艦隊定期出海演習美召集國民軍訓練
page 3	汛美公司又闢新航空線
page 3	英德空軍昨又劇戰德機十二架被擊落英空軍亦大舉炸德軍事區菴頓基爾等軍港發生大火
page 5	龍泉偽軍亦已撤退
page 5	馬少屏被撤職查辦趙其休電當局表白據言易幟詐降原為設計擒　其後克復古井以事實釋疑謗
page 5	省振會訓練大批技工人材技工養成所將成立積極救濟佛山義民
page 5	增到江會揚言進犯
page 5	廣州煙酒稅比前增加十分之三商民聯議討論應付聯請免加否則罷業
page 5	省務會議誌要建廳工管處決裁撤李雪英任女師校長
page 5	三水日軍擾犯白坭等鄉搜奪糧食財物
page 5	中山糧食施行統制
page 5	粵省府府通令清理積獄
page 5	潦退後東路交通恢復日機昨又狂炸沙魚涌等地共投五十餘彈但我損失甚微太平王逆所部偽軍四出搶掠
page 5	於無聊中又圖破壞
page 5	胡亂投下十餘個彈
page 5	廣州市河南娛樂村日停車場發生大火焚電油車輛甚多日兵傷斃十餘名
page 5	番北團隊謝澤池部廿人力戰日軍謝僅身免餘均殉職日官兵數十名被殲
page 5	桂省各縣市設救災準備金設委員會保管動支
page 5	太平偽軍四出搶掠
page 5	省行東江施粥情形良好
page 5	提高棉花產量擴充舊有棉區
page 5	睦洲日軍繼續撤退龍泉偽軍全部調睦洲增援江會日軍又揚言進犯三埠中山偽軍壟斷糧食之毒計
page 6	蘆西線日軍連日出擾楊梅一帶激戰情形日犯寶月堂謀窺蘆苞不逞我猛襲上下白塔斬獲不少
page 6	楊梅一帶展開激戰
page 6	嶺東我軍反攻奏捷收復潮陽達濠詳情我生擒日偽八名並斃偽軍隊長澄海游擊活躍日犯程洋崗被殲
page 6	我軍反攻克復達濠
page 6	夜襲閣洲焚毀日營
page 6	我軍進襲上下白塔
page 6	澄海日偽犯程洋崗
page 6	中山要聞彙誌
page 6	石龍日軍犯白馬圍不逞
page 6	第七挺進縱隊副司令龔楚巡視新會各線龔氏對記者談新會各線情況
page 7	跳下水中久未浮出
page 7	死者之妻痛不欲生
page 7	向來體弱患心臟病
page 7	本港華工聯會昨舉行成立禮第一屆職員同時就職
page 7	鯊魚涌極安謐港鯊小輪照常開行
page 7	曾教李宗仁習拳術
page 7	柴行商會負責人談救濟本港柴荒辦法政府宜派專輪負責運輸並劃空地利便柴商躉存
page 7	運費過昂索價遂奢
page 7	價格漲落因時而異
page 7	赴澳婦孺昨又擠擁本港葡估尚無撤退意
page 7	解決柴荒有兩辦法
page 7	設搜查站以免資敵
page 7	運蘇貨物茶為大宗
page 7	港蘇貿易激增半年來運蘇貨物值三千餘萬大部份為我國茶葉及桐油等
page 7	保良局失蹤少女昨日尚未尋獲窩　不報者將受處分
page 7	採伐林木可資救濟
page 7	婦慰會募捐訊
page 7	東區教聯會書法比賽頒獎同濟中學獲兩組冠軍
page 7	公地定期開投
page 7	華人機器會三十二週紀念
page 7	興盡悲來本港廣西銀行秘書龐義之昨慘遭滅頂驅車遊石澳電油告罄折回南華泳場中竟被波臣召去其妻撫屍痛哭欲投海殉夫
page 8	建家庭避難室要點
page 8	應付空襲最善辦法
page 8	沙與沙灘
page 8	順德商會救濟桑梓撥國幣七萬元返邑散賑
page 8	廣州灣之現狀人心　安商業仍淡
page 8	深水埔海面昨又溺斃一人
page 8	二天堂預發職工薪金一月以便非常時期儲糧
page 8	僑胞勸銷儲蓄券成績教會方面成績最佳
page 8	教會方面
page 8	學校方面
page 8	社團方面
page 8	旅客服毒殞命
page 8	聖約翰救傷隊加緊訓練工作
page 8	本港防空當局鼓勵居民自建避難室用原有地窖改建需費實不多富家有此設備市民亦受其益公眾防塞壕不致有擠擁虞
page 10	昨日棒球聯賽中華又遭敗績五比七不敵岷甸奴港啤隊大勝香港會
page 10	夏令籃球聯賽高級僑星輕取仿林初級東方苦戰挫漢華
page 10	今夕公開籃球賽乙組三場戰事
page 10	女學籃延遲舉辦
