page 1	統一救國之意義
page 2	軍政領袖雲集杭州韓劉楊于謁蔣請示于學忠昨晨赴奉化謁張學良宋子文偕夫人由杭乘車返滬
page 2	滬各日銀行將存銀交還我國平津所存現銀亦將繼續點交
page 2	汪主席抵滬按受瑞典政府贈予一等勛章
page 2	滬各團體昨歡送吳鐵城
page 2	宋哲元訪沙王
page 2	日人在滬醞釀　起中日文化協會我國教育界決拒絕參加
page 2	發揚東方文化全國美展會招待長官參觀展品二千餘件均為古今藝術精品王部長發表對本屆全國美展意見
page 2	各省米業代表晉京請征粵洋米稅
page 2	以我國為假想敵日艦六十餘艘昨抵青日決在冀東增設日駐屯軍司令部並增調日軍二千名駐防冀東偽區華北日軍會議決定對華採取較積極政策
page 3	討論事項
page 3	池田向日首相說明財界現狀以資確立政策之參考
page 3	西國政府軍轟炸薩拉哥沙城城內叛軍參謀部鄰近營房被炸燬各醫院內充滿意籍及西籍之傷兵
page 3	林雲陔視察計政行程大致決定
page 3	北寧足球隊啟程赴日遠征
page 3	會期將再延長
page 3	出席紡織會議
page 3	日贈英皇勳章
page 3	意軍在西　敗意報未肯承認對阿境擾攘說亦謂所傳不確
page 3	英遜王　於五月結婚結婚地點在巴黎結婚後在奧居住
page 3	意禁瑞報入境
page 3	許世英過徐赴滬
page 3	法官訓練班卒業
page 3	英左派各黨力謀團結親合力下屆競選
page 3	羅斯福公子六月結婚兩親家乃為政敵小兒女竟締良緣
page 3	宣城闢農牧試驗場孫科前往視察
page 3	蘭州火藥庫失事原因真相
page 3	程潛離湘赴桂
page 3	平津學生決不購買私貨
page 3	對中日各項問題加籐發表談話
page 3	海軍競爭美決依常規逐漸建造新艦英報謂日若不採用十六寸口徑之砲則可阻止國際間海軍新競爭之發展
page 3	潼關太原間長途電話通話
page 3	中暹協會首次理事會議通過協會辦事細則
page 3	翁文灝赴滬準備隨孔出國
page 3	行政院議決任命朱紹良為甘省府主席任歐陽駒為粵省府委員兼秘書長馮治安鄧哲熙章士釗任冀察政委
page 4	港大週年運動會今午繼續預賽四月三日決賽
page 4	菲律濱擬不參加日本明年召集之東方運動會東方赴菲後再請奧斯德前往請美泳家表演準備下屆世運
page 4	勤奮體育月報四卷第五期出版內容豐富訂閱全年特價優待
page 4	滬外匯市情穩靜
page 4	桂幣價起後微跌
page 4	省西紙節節報升
page 4	省法幣價昨趨降
page 4	八九金價昨略跌
page 4	昨日最劇烈之一場雙打網球賽陳金滿植錦洪二對一獲勝今日單打兩場雙打一場舉行
page 5	四路軍開始辦理縮編軍務處暫緩裁撤
page 5	陳誠昨到軍分校視察訓話
page 5	陳慶雲定期赴杭
page 5	米行會議擁護洋米免稅案
page 5	林主席昨赴羅浮確定四二入桂
page 5	關於營稅案之種種稅研會召開二次全體會議紀省商會函財廳討論各屬營稅各屬商會仍多反對解決辦法
page 5	廠商考察團返港
page 5	製皮業廠商昨開會擬以折衷辦法解紛工會由真正工人組織廠方即恢復被除工人
page 5	宋子良定四月二日隨孔祥熙南下返粵吳健陶抵粵後昨在廳傳達宋氏整理財政計劃各縣財政困難影響庫收再切實整理地稅征收
page 5	鹽商昨請願情形
page 5	市黨部調處草蓆工會糾紛工人意見接近
