page 1	外弛內張的美日關係
page 2	羅斯福聲言決繼續援英
page 2	我軍克復馬當要塞遮斷長江日軍交通
page 2	全國國民體育會議委座召出席人員訓話闡明國民體育之重要性
page 2	美大選展望尚未明朗威爾基經過三週來之努力彼之地位已較前大見增進
page 2	日本百貨店勢將停業因當局近禁止售賣奢侈物品
page 2	委座軫念災民
page 2	贛省禁釀酒遇有宴客改用茶水
page 2	美國決心保護菲島
page 2	江　鐸在平逝世生平持志不阿國府將予褒揚
page 2	日方在滬法界搜捕華人
page 2	滬美貿易公司被盜大幫黃銅
page 2	粵省儲運成績甚佳迄雙十節日止已達四百萬元
page 2	駐滬美軍並非撤退
page 2	美停止對蘇禁運
page 2	中等學校訓導會今月在渝舉行
page 2	桂負傷將士發起獻機運動
page 2	將來滇緬路開放後美將有新行動響應日似未有發動遠東戰爭決心
page 3	德軍源源開入羅境
page 3	襲英倫德機被擊落十一架泰晤士河沿岸有損失
page 3	美政府現正攷慮將天空炮台移讓英國但必須在大選後始能交貨
page 3	英德空戰一週年合眾社軍事出有因記者愛德華比阿蒂著
page 3	埃及前線無何變化
page 3	巴黎劇場觀眾鼓掌亦不自由
page 3	留英日僑大舉撤退
page 3	法泰兩國政府決組混合委會以解決湄公河疆界爭執法泰兩國關係已趨和緩
page 3	韋爾基演說對羅斯福攻擊謂經過五年國防準備仍未能使美地位增強
page 3	我駐土新公使張彭春抵土京
page 3	美勞工聯會反對運糧赴歐
page 3	美國壯丁登記即將入伍服務
page 3	倫敦火車出軌搭客傷斃者多名
page 3	英國陸軍有精良之配備又受過更嚴密之訓練聽候機會等敵人接觸
page 3	北極電器公司黃經理被綁票
page 3	英輪兩艘已獲日軍釋放
page 3	比前首外兩相被扣巴塞羅納
page 3	美國對蘇突然停止禁運大批機器用具已得放行
page 3	滬日當局大搜傳案兇手滬寧路停止交通但兇手迄未獲得
page 3	志願在加服務第一批十六人已乘輪抵紐約
page 3	南美投效空軍人員
page 3	美派兩船來遠東接載美僑
page 3	巴爾幹局面恐將爆發重心在希南兩國南動員大批軍隊準備助希羅匈兩國邊界又發生衝突
page 4	介紹侶倫先生
page 4	看了牠以後
page 4	見聞所及蘇州麗由赴美登台
page 4	蘇天雄君所擬饒雙馬解拆法十八第三局橫車單邊鳳局
page 4	關于強盜孝子值得一看的影片
page 5	日兵百餘分途登陸
page 5	動員全縣武力反攻
page 5	日犯烏石情形再誌
page 5	廣州灣無日艦　州口外日艦亦他駛行署注意牲口之外運
page 5	法　灣人心　定
page 5	對外交通尚能維持
page 5	籌款救濟國內難民
page 5	曲江南雄旱象已成
page 5	　增加船艇行駛韓江　移駛東江
page 5	蔣夫人慰勞榮譽將士粵省分五組出發各地犒慰
page 5	粵省銀行又設兩辦事處全省支處共一百十四所
page 5	冬耕購種貸款合約成立總額國幣一百萬元
page 5	傷病日兵四百田西南運往佛山
page 5	改良稻種成功河源縣長受獎
page 5	粵游擊區舉辦戰時民校達三百五十班
page 5	曲江實施強迫教育公款公產撥充教費
page 5	雷州半島烽煙四起日又犯徐聞海安白沙兩港我軍星夜反攻日軍敗竄回艦省府撥鉅款辦理鳥石港善後
page 6	高明舉行黨政軍聯會陳縣長積極整頓縣政
page 6	縣長出巡
page 6	縣務會議
page 6	日軍封鎖寶安邊境大鏟伶仃間日艦增加海道交通封閉尤為嚴密
page 6	東江冬防安如磐石華振中部肅清各　殘匪羅坤所部團隊保商舊橋
page 6	廣州日　搜查兩鄉市民不敢夜行
page 6	廣海貨運近訊
page 6	從化白田崗我日激戰日殘部潰退神岡我軍乘勝追擊粵漢路重要據點新墟寨被我攻入
page 6	珠江開放無期澳輪復航說未證實
page 6	四邑舉辦冬防
page 6	嚴禁墮胎溺兒保障公生子與私生子
page 6	我機炸九江河清日陣炸沉日艇數艘傷日淺水艦一艘馬日上空與日機相遇空戰甚烈
page 7	輪客誤搭賊艇被劫海盜竟在港內活動
page 7	海外工合之友
page 7	省澳交通有日間恢復說
page 7	參加軍訓英僑離星過港回滬
page 7	賭徒爭賭賬拔刀刺斃一人兩人受傷兇手逃去
page 7	兒童劇場理事昨開會議
page 7	本港漁業日益衰落漁人多已改營別業
page 7	捫扶道防空洞趕于兩月內完成
page 7	英籍婦孺繼續疏散港府徵用輪船載赴澳洲
page 7	航運火柴爆竹須在禁海起卸
page 7	港府移民法例已脫稿再加審查後始提交立法局研究將來華僑離境須　領回港證書
page 8	港韶貨運擠擁為數月來所僅見
page 8	五批義民返國定下星期　途
page 8	深水　電力用戶請恢復收銀站
page 8	住聯會的漫畫展覽
page 8	又一茶客跳樓
page 8	南大劇團開秋夜演奏會
page 8	粵僑匯激增九個月內超過六千萬去年全年僅得三千萬元
page 8	港府否認發行一毫紙幣
page 8	孫家哲太夫人昨日下午出殯
page 8	防癆協會擬建防癆病院
page 8	婦慰會募捐訊
page 8	孔教學院講學
page 8	兩賊截劫工人
page 8	輪客投海獲救
page 8	歌詠團繼續演奏
page 8	保衛地方即保衛自己警察局促保衛團成立尚有多區隊長團員均未選出華商會已分別函勸從速選舉
page 10	東方克察警
page 10	昨日甲組足球賽華軍兩路齊捷東方苦戰挫警察星島擊敗聖約瑟
page 10	二比零星島挫約瑟
page 10	華人廿週紀念特刊公開徵文
page 10	公開排球戰績
page 10	長途跑開始報名
page 10	昨日德權鼎成績
