page 2	廣州的共產化
page 3	京政府招林虎來京
page 3	孫寶琦派翟危平赴汕晤陳炯明
page 3	鄧本殷將改任瓊崖護軍使
page 3	曹銳今日赴奉
page 3	曹錕令廈門鎮守使唐國謨免職以張毅繼任
page 3	廿一日閣議決任張毅為廈門鎮守使鄧本殷為瓊崖護軍使孫寶琦並派翟危平赴汕與陳炯明接洽粵事
page 3	唐寶諤等函院請派大員赴粵檢閱軍隊
page 3	英允減收華茶稅惟未允與印茶同等看待
page 3	朱兆莘陳籙急電稱國出沒無常對華態極吃緊調查改良司法委員擬停派關稅條例法將否認
page 3	馮玉祥吳佩孚連日均有電訊往來
page 3	軍事處接探報浙閩蘇仍有調動軍隊事閩電由周蔭人出面居多孫傳芳已久不與京洛通電
page 3	吳佩孚請以畢維垣為華僑宣慰使
page 3	張紹曾與馮玉祥商定借兵
page 3	兩旅率赴新疆受西北經略命此令俟吳佩孚同意即發
page 3	成都方面熊克武但懋辛反攻甚烈
page 3	劉存厚十九日電吳佩孚保鄧錫侯督川以抵制劉湘
page 3	藏匪攻巴塘戕官危及外人
page 3	沈鴻英在道縣宜章勒款趙恒惕指定永明道縣寧遠江華藍山臨武嘉禾桂陽八縣分擔籌劃
page 3	吳佩孚在洛召集援川援粵會議
page 3	傳王永泉王獻臣賴世璜聯攻廈門備戰甚緊盛傳日陸戰隊將助王賴進攻
page 3	孫傳芳派專員偵江浙佈防實情已返閩聞此行與閩軍事極有關係
page 3	東南兩路戰局之最近形勢
page 3	又有改任譚延愷長粵消息
page 3	手票改勸為認之行銷情形
page 3	華僑維持米業之經過
page 6	漢口領事拒絕沈子良
page 6	興泉永之新形勢與王永泉
page 6	溫樹德調駐龍煙之原因
page 6	債台高築之北京政府
page 6	北方將開粵事會議
page 6	浙盧否認貸款譚延　
page 6	北政府反對分撥粵海關餘
page 6	中美厄瓜多爾國苛待華僑
page 6	中美外交上發生之趣史鄧簡　再娶美婦美婦再　而又寡萬里來華爭前子
page 8	大本營電止滇軍調後方
page 8	建國政府但求掛起招牌
page 8	全師兵士不及一連之張　榮
page 8	九江紳耆請引渡吳三鏡
page 8	強徒勒詐女招待
page 8	樹膠捐之雙方堅持
page 8	船民對於自治聯防之觀感
page 8	請抽鹽斤百貨捐不准
page 8	增城官紳交鬨之文電
page 8	錦榮里發生白晝行劫案
page 8	沙田清理處職員請求保護
