page 1	英蘇談判之展望
page 2	我軍收復溧陽常州潭水連日發生激戰
page 2	晉南軍事會議程胡等均出席對晉陝邊界大戰有重要策略決定Ｘ圖犯茅津渡我某部已迎頭痛擊
page 2	法幣跌價英人觀察
page 2	停售外匯對我有利
page 2	對外匯市價發生波動財部發言人發表談話政府維持法幣政策始終未變調整外匯市價使合經濟標準
page 2	Ｘ因我法幣貶值內閣緊急會議財閥認我對日之經濟戰
page 2	神戶北部昨發生大火災死傷八十餘人
page 2	潛江之Ｘ畏我襲擊大部退出城外鄂中戰事漸趨沉寂犯吳家店Ｘ潰信陽
page 2	贛籌設中正大學呈准中央撥發開　費二百萬
page 2	兩種公債抽籤
page 2	抗戰將近第三年我愈戰愈強Ｘ愈戰愈弱中日戰士傷亡比率已漸成相等Ｘ人此次侵我有類探手入蜂巢
page 3	衝突尖銳化英日局勢緊張廷格拉案英向日二次抗議日決實施封鎖津英法租界
page 3	華北抗戰之過去現在與未來
page 3	第二章華北抗戰Ｘ我對峙之現勢
page 3	英政府現正攷慮續以信用放款予中國俾中國得以購買所需軍用品
page 3	法政府限制日貨入口實施領事簽証辦法
page 3	不畏艱苦不怕犧牲新青年為中國而奮鬥活躍鄂北一帶作軍民之橋樑男女同志均有曾受嚴格訓練
page 3	英皇夫婦乘艦抵紐約岸上歡迎群眾歡呼若狂
page 3	法外長闡述外交政策努力解決締結英法蘇協定困難只求德意法之和平並無威脅意
page 3	國聯鴉片顧委會開會日本毒化我國情形列入報告書
page 3	Ｘ反戰思想極普遍稻葉師團施行思想檢查
page 3	司令某氏談潮汕防務已佈置完成Ｘ如進犯必遭我軍痛擊
page 3	令人發噱之矛盾科學昌明神權發達日本法師乘機作法日機失事請法師祓除不祥機聲軋軋與誦經聲相應和
page 3	英外相仍信賴和平談判可能仍準備舉行會議解決國際問題法相信三國談判必獲最後成功
page 4	嶺大招攷園藝獎金學生
page 4	港商赴星攷察當地僑團表示歡迎
page 4	港政府新委任
page 4	九龍橋團會議討論紀念七七事宜
page 4	越華僑服務團第三批在訓練中
page 4	誤入軍營少婦被褫下裳
page 4	三行紙幣統計
page 4	港播音台接播英皇抵美情形
page 4	水警署屬員勒索疑案押候各被　被加控罪名
page 4	鼓勵民眾建防空室防空建築物概免差餉俟立法局通過即實行
page 5	我Ｘ水陸戰事劇烈
page 5	牛牯臂Ｘ亦被擊退
page 5	午後Ｘ軍掩土重來
page 5	三埠輪渡無礙航行
page 5	圍洲Ｘ兵退減
page 5	Ｘ機一架失蹤
page 5	南路戰訊彙誌Ｘ械庫之爆炸
page 5	外海Ｘ艦艇突增加
page 5	Ｘ機昨晨又來騷擾
page 5	我遊擊隊襲廣雲路Ｘ軍
page 5	各屬我團隊活躍中淪陷區Ｘ電輪昨停航
page 5	粵軍管區通令嚴禁征兵舞弊
