page 1	肅清官邪當自親貴始
page 2	美著名日本通談日政局內幕
page 2	越南現狀不變泰不收回老撾
page 2	除非蘇聯同意保決不入軸心
page 2	美派威埠領事蘇換駐德大使
page 2	鐵翼下的歐洲
page 2	德機又炸英倫各地
page 2	襲英意機損失多架
page 2	蔑蘭西部炸擊甚烈
page 2	伯明罕城破壞頗重
page 2	英機炸擊法國機場
page 2	意軍繼續退卻放棄寶路拉狄邱吉爾電賀希勝利希王廣播獎勵軍人
page 2	希軍騎兵追擊意兵
page 2	英機動械運赴希臘
page 2	英機炸擊意巴利港
page 2	傳張學良復任軍職負責指揮東北軍
page 2	賴伐爾壓逼輿論法國各報受警告要宣傳德法合作
page 2	美上院外委主席經已委出華爾達喬治繼任
page 2	邕賓一帶受災慘重鄉民多歸原籍苦無農具耕牛
page 2	河內美副領被拘案美向法提抗議駐河內美領事報告此事　過
page 2	一九四一年為一困難年英急需美大量援助包括軍火船艦及財政方面英駐美大使勞司安回任後談話
page 2	西園寺逝世日維新元老死盡
page 2	法飛機製造家杜威田被扣留
page 2	羅馬教皇為和平祈禱
page 2	陳嘉庚等離閩乘車赴柳　筑
page 2	日本要求蘇聯停止援華已被蘇政府堅決拒絕美派海參威領為美蘇合作先聲美助我軍需將由西伯利亞輸入
page 3	期洛伐克簽字加入三國同盟
page 3	匈羅加入軸心非與德國同盟
page 3	欽州灣日艦全退潮汕我軍出擊獲勝贛我軍逼近瑞昌日不敢出戰晉東南蔭城鎮日軍千餘瓦解
page 3	振濟晉災中央續撥五十萬
page 3	馬爾幹局勢惡化中實施戒備的土耳其
page 3	儀徵開出日輪被我擊毀損失廿萬以上
page 3	桂忠烈祠覓定地址
page 3	肅清官邪中常會提案國防委會已通過為政不在多言顧實行如何耳
page 3	羅斯福宣布委任李希為駐法大使目的在強化貝當政府地位抵抗德壓逼法國加入軸心
page 3	滬法租界又起工潮電車機工怠工
page 3	日加強南進政策機構擴大台灣總督職權地位與朝鮮總督府等使成南進政策根據地
page 3	非洲西沙漠意軍未敢進犯蘇丹英軍繼續活動非洲各防線無變化
page 3	中美航空線五週年紀念五年來乘客七千信件千三百萬件
page 3	軸心外交攻勢失敗南保兩國拒絕參加保官否認曾向希臘索還失地斯落伐克也來湊趣繼羅匈加盟
page 5	沉著應戰待援反攻
page 5	該地日軍遁回南頭
page 5	日軍燃料大受打擊
page 5	每日限令供給木炭
page 5	某軍要偕李郁焜出巡江會前線李氏對記者談出巡印象軍民合作諸事大有可為
page 5	四邑前線視察
page 5	沿途撫慰民眾
page 5	強有力之保障
page 5	要明公路交通近訊
page 5	洋米直接運廣州米價仍昂投機份子勾結日人另覓其運貨之路徑
page 5	日機空襲　果被我擊傷
page 5	瓊島日軍分三路猛犯瓊山甲子血戰兩日全部潰退
page 5	福建省銀行設立梅縣分行
page 5	南屬太平鄉被劫耕牛穀米附日軍傷斃數名
page 5	江門附近日軍突有變動駐中山日軍藤井部趕赴彈壓歐大慶在岐關路增收過境費
page 5	江門附日軍之變動
page 5	歐大慶抽收過境費
page 5	粉碎日人經濟侵奪詭謀粵強化緝私機構廣佈沿海及昆連游擊區查緝所哨成立中層查緝機關調整武力分配健全情報交通加緊培育緝私人才
page 5	不肖團隊武裝包庇
page 5	緝私機構尚嫌不強
page 5	使成健全之情報網
page 5	四邑各地增封鎖站
page 5	我軍收復鳥石嚴等地日軍昨已竄回南頭日因電油缺乏車輛改裝木炭爐供給木炭之鄉長被我團隊拘捕
page 6	用途
page 6	種類
page 6	粵調整地方行政機構縣長兼職分別剔除中央擬定調整原則四項性質重復機關均予裁撤
page 6	裁撤重複機關
page 6	桂南欽防日軍潰退後大批伕役運返黃埔各伕役終日勞作不獲一飽抵黃埔未久昨又分批運去
page 6	縣長兼職辦法
page 6	江佛公路日車被炸
page 6	龍角沙團隊襲擊日艇
page 6	游擊隊俘獲三水縣調查員
page 6	三水日軍再犯橫崗潰敗遺屍四十餘具日懲軍官之名
page 6	供應軍需發展生產粵訂定小工業貸款辦法指定廣東省銀行撥款辦理全部貸款辦法已公佈施行
page 7	父亡子存
page 7	拾獲利斧
page 7	孤兒所述
page 7	嚴密緝兇
page 7	鐘聲社募寒衣是年施贈辦法略有變更
page 7	中大臨時通訊處已定月底結束
page 7	荃灣一火油船被焚起火時曾聞猛烈爆炸聲焚燒八小時損失數萬元
page 7	違燈火管制例三百餘人被控
page 7	大埔發現野貓重逾百磅狀類小虎咬傷理民府官園丁
page 7	西貢村築公路並擬闢一游泳場
page 7	日輪白銀丸廿八日可抵港廣州檢疫手續未取銷佛山輪尚無復航準備
page 7	慘絕人寰　頭張頭保村發生殺人滅屍案四兇徒深夜入屋斫斃農人行兇後竟將屍扛去圖滅跡孤兒無知親友到探始發覺
page 8	陳屍　上手足被縛
page 8	血氣衰弱窒息慘死
page 8	日圖向越推行軍用票日貨在越傾銷港貨受打擊
page 8	兒童劇場開幕小　友皆大歡喜
page 8	籌闢沙淡車路　政府　　商投資
page 8	荔枝角舊監房改為印人醫院
page 8	文化講座開課今日講中英政　制
page 8	三門關海面又一貨艇被劫損失二千餘元
page 8	模型飛機協會昨成立第一次比賽同時頒獎中西名人均熱烈贊助
page 8	軍警連晚出發大搜響導社中環　海社一婦人被拘附近各社導娘走避一空
page 8	成立典禮
page 8	頒發獎品
page 8	各界贊助
page 8	廣聯商會響應節儲運動發起人林培生購券萬元
page 8	日軍增收保護費中澳貨運又告停頓昨日澳輪運來貨物極少
page 8	婦人因貧自縊
page 8	劫舞女傷人案法庭今日提堂
page 8	馬會獻金購機昨又捐出五萬元
page 8	國貨展覽會攤位僅餘卅個
page 8	發明經過
page 8	試驗成功
page 8	長途試驗
page 8	賊劫旺角陳選南小學爛布塞口傭婦窒息死主人歸來目睹慘狀大吃一驚箱　拋棄滿地財物損失甚微
page 10	德權鼎冠軍決賽四強勝負未分兩　戰績俱是二比二
page 10	今日學籃賽程
page 10	渝市體協會舉辦國際網球比賽華將獲全勝
page 10	華僑中學積極提倡體育
page 10	督憲杯第一戰華聯旗開得經九十分鐘之劇鬥澄滔一射奠定勝局
