page 1	再論意國參戰之利害
page 2	良口以西戰事仍極激烈增城日軍分股進犯經我迎擊展開激戰
page 2	豫北偽軍兩團反正
page 2	鄱陽湖東岸恢復原狀
page 2	南僑三分團返抵蘭州
page 2	于斌主教抵衡親赴各院慰問傷兵
page 2	回教教主馬震武間道抵渝謁見中央當局擁護抗戰國策
page 2	日內大臣湯淺辭職由木戶繼任
page 2	大洪山潰退日軍處處遭我截擊一經接觸即行逃竄
page 2	立法院昨會議
page 2	越南回國服務團離桂返越
page 2	教部通令全國學校實施農業生產計劃
page 2	戰地宣傳隊在洛協助民眾割麥
page 2	黔紳捐款塑汪醜像黔省抗援會請省府省府嘉獎
page 2	羅斯福表示美有參戰可能要求增加國防擴充費已增編一流線式師團
page 2	許崇清抵昆明
page 2	德對比土將以俘虜待遇至國王之下落刻尚無從探悉
page 2	拉薩市民通電討汪紐絲倫僑胞亦通電致討
page 2	五大學美籍教職員籲請羅斯福制裁日本禁止以軍用品與原料售日本速取斷然行動維擊遠東和平
page 2	陽城四週激戰仍烈晉城日軍企圖死守高平日軍仍在我積極圍攻中
page 3	比軍尚有一軍團協助聯軍作戰彼等拒絕比王投降令與聯軍共同打一出路
page 3	興西實業公司開發西康實業一將以開發金礦第一步森林酒店醫院以次興辦
page 3	印度防軍積極擴充已應付緊急時局
page 3	法軍克復阿比維拉
page 3	非常時期人民團體組織綱領國民政府昨明令頒布
page 3	在海軍空軍掩護下北翼聯軍退出過半聯軍最高軍委會會商應付時局
page 3	日商務代表團飛抵秘京
page 3	胡大使訪羅斯福說明中國地位否認中日和平之謠
page 3	菲礦業家亞蘭納達逝世
page 3	被困英軍繼續回英
page 3	美報批評德太誇張
page 3	英國空軍繼續炸敵
page 3	西班牙代表團將往柏林
page 3	德將全力打擊巴黎
page 3	德軍作戰不顧後方
page 3	德軍作戰賴機械
page 3	聯軍將再請美加速供應軍械
page 3	英驅逐艦火螢號被擊沉艦員失蹤百餘人
page 3	偽教科書均由日本統制偽教育部徒有其表
page 3	英大使館否認招募華工同盟社造謠
page 3	倘意參戰進攻法國土亦參戰以助聯軍盛傳德意兩國合謀壓迫瑞士希特勒接見意大使有所商談
page 5	鄒洪撥交袁帶軍實
page 5	中山交通再行開放
page 5	江會各地戰況續誌
