page 1	蘇聯重申對華態度
page 2	蘇聯對日鄭重聲明對華政策決無改變
page 2	英決心保守新加坡只認重慶代表中國
page 2	英商務代表團抵阿根廷獲得重要成功
page 2	前羅土卡諾爾有性命危險但詳情未悉
page 2	英國糧食並未缺乏意國大事宣傳全係曲造事實
page 2	意軍被逼放棄寶格拉特以北新防線阿爾班尼亞南部意軍亦退卻盛傳希軍已攻入聖德瓜蘭達
page 2	羅斯福出巡離開古巴其目的地未明
page 2	日泰空航繞道西貢每星期來往一次
page 2	今年耶誕將不休戰
page 2	哥府島被炸已陷僵死之狀
page 2	英國空軍多喜和美製機美機構造良好
page 2	德意煤油消耗多於出產英機炸敵以煤油為目標意國現已感受煤油缺乏
page 2	尼赫魯之妹班特女士被捕被控觸犯國防條例
page 2	外國飛機飛經日內瓦
page 2	英國大批婦孺疏散往愛爾蘭
page 2	美聯客機在芝加哥覆墜死傷者各八名
page 2	傳荷女皇赴美
page 2	萊茵河重要橋樑被英空軍炸擊
page 2	法屬西印度決以武力自衛高等行政官羅拔談話願仍受法國旗幟保護
page 2	開戰以來德機在英倫被擊落共達三千架德機又炸擊英倫各地英戰鬥機已增配小砲
page 2	日軍運艦由瓊南駛利用泰國圖吞越南
page 2	駐日蘇大使鄭重聲明蘇決不變更援華政策我大批軍實運前線備明春反攻現續與英蘇兩國進行借款談判
page 3	英土通商協定成立德土貿易將受打擊
page 3	德羅締結經濟協定羅煤油產量已大減
page 3	德外交進攻未停頓途徑如何嚴守秘密
page 3	贛北我軍進襲安義
page 3	蘇北日軍竄擾受挫
page 3	皖南贛北我軍反攻彭澤以南女兒山一帶戰鬥最烈贛北我某部襲安義焚日軍倉庫
page 3	臨汾日軍出擾受創
page 3	繳納地稅穀米代替現金財部決定明年實行
page 3	被綁之滬銀行家朱博泉已獲釋
page 3	中華日報發表解嘲啟事諉為共黨搗亂
page 3	美海陸空軍人員大批抵岷尼刺菲律濱陸軍航空隊增至空前未有高度
page 3	西園寺昨出殯　葬　並重　祭達二千人
page 3	英財部次長抵紐約後美助英將有新行動美政府特別會議考慮援英問題英美將繼續商討兩國通貨關係
page 3	吳起順家屬捐款十萬建築傷兵醫院
page 3	歐洲大戰已成對峙狀態葡相挺身出任調解聯合非交戰國勸英德謀和德打破英國封鎖希望甚微
page 5	韶郊防禦演習日跳傘部隊犁市新職由余謀長莫處長評判民眾和弟兄均感覺興奮
page 5	一區通令肅清盜匪鄉鎮保甲長應舉報匪情協助防軍團警剿辦盜匪
page 5	歸僑僑委會電飭嚴防
page 5	粵府所屬公務員統計共一萬三千八百六十一人
page 5	石龍戒嚴
page 5	桂渝昆饒無線電話開放
page 5	廣州灣市面日貨充斥並圖向高雷　銷
page 5	日軍炮轟鶴山慘況三誌鶴山縣政府之撫卹辦法擬覓地收容無家可歸者米價昂貴亟望外僑救濟
page 5	東江輸運線樟木頭為要點
page 5	袁帶有辭職訊省主席面加勸勉望軍民兩政合作
page 5	鄉民毆傷日兵日軍　　鄉民
page 5	鄒琳巡視南雄
page 5	當歸大黃棉花准予運銷國內日由報述不受轉口限制
page 5	日機竄擾粵北在馬壩龍川燈塔投彈
page 5	省江交通被我控制後日增兵九江圖打通江佛路我軍源源開抵鶴山嚴密佈防中山日艦蠢動三澳貨艇停航
page 6	沈毅昨談糧食情形
page 6	欽縣防城劫後慘狀當局積極辦理一切善後工作日機狂炸水東貨物損失甚鉅
page 6	劫後欽縣最近情形
page 6	設售糧處利便購運
page 6	分配米糧救濟團隊
page 6	粵卅年度整頓警政計劃遵照中央命令加緊進行設訓練所一節在考慮中
page 6	粵參會提案開始實施省府對禁娼一節甚為注意
page 6	防城慘狀尤甚欽縣
page 6	空襲警報中台山囚犯越獄五名在逃未獲
page 6	興華道上騾車貨運蓬勃座位舒適取價低廉
page 6	糧管局辦平糶
page 6	李漢魂電示求濟糧荒辦法外米源源運粵糧荒情勢已漸弛糧管局調查存糧擬定收買辦法
page 7	零售米商熟視無賭
page 7	政府宜常派員調查
page 7	柴商操縱亦應禁止
page 7	國貨展覽會審查委員聘定各部職員亦開始辦事
page 7	我財部公佈僑銷茶葉結匯辦法本月十二日起實行
page 7	滇建臨時醫院本港僑團踴躍捐助
page 7	王遜志氏來港清算桂貿易處賑項
page 7	我政府重訂港韶運輸辦法多鑿防空洞保護過往客商增派密探嚴防日間諜活動
page 7	史美昨已銷假
page 7	私藏無線電機無線電生被重罰
page 7	法官麥化臣參加義軍露營
page 7	港府正式宣布禁米出口並規定售價昨午米價已略跌市民皆大歡喜仍望統制官嚴密稽查以防舞弊
page 8	胡王兩人向宿倉中
page 8	死者已矣傷者入院
page 8	傷者呼救驚醒鄰人
page 8	遍體鱗傷死狀極慘
page 8	中西警探到場查究
page 8	後門關鎖破扉而入
page 8	傷者王氏午間斃命
page 8	謀殺原因尚待查究
page 8	拘獲疑兇搜出血衣
page 8	陸豐海盜截劫港貨艇數百包白米掠奪一空艇主脫險昨返港報案
page 8	領移民證流弊仍多並刺西報昨又指出一事
page 8	副警察司發表意見
page 8	佛山輪昨由省返港抵省時備受日方苛刻檢驗
page 8	行使偽幣敗露被告詳臬定讞
page 8	小童墮樓慘死其父被警傳訊
page 8	少青服務團報告隨軍經過　各
page 8	龍蝦灣　髏駐　死難者
page 8	澳駐日使抵港
page 8	蘇聯貨輪抵港戲　茶葉木油等
page 8	車輛失事統計去週死二人傷廿五人
page 8	港播音台月報
page 8	長沙灣各學校請當局設兒童遊樂場當地工廠林立住戶激增數千兒童絕無遊息之地
page 8	少年冒名勸捐　將　裡去
page 8	破獲一字花廠
page 8	劫御者案詳臬
page 8	中華書局貨倉謀殺案傷者王新家亦已殞命警探大搜該局正舖獲一面衣一夥伴受嫌被拘返　署扣留副偵緝處長謂兇手似非　財
page 10	本週足球聯賽秩序精彩豐富週六南華重逢蘇軍東星大戰翌日爆發
page 10	學籃賽培英大勝香江初級之戰仿林擊敗西南
page 10	滬外匯市仍鬆
page 10	國幣市價微降收市二四三五
page 10	四四金市仍靜
page 10	英京銀價略漲
page 10	港府規定公價後米價昨日回跌平均每擔跌二元有奇買家已不如前日擠擁
page 10	本港股份市價續升昨成交總值仍超過十萬元
page 10	光華會今日決定陣容週末迎戰香港會
page 10	籃球消息兩則
page 10	港美匯昨續漲申電先鬆後緊銀行大量吸進
page 11	蜘蛛絲的火藥味
page 11	火箭高射炸彈
page 11	偵探小說第五縱隊
page 11	英德海軍最近戰史拉巴拉他海之戰　德袖珍艦斯比上將號自沉經過
page 11	泰越衝突中的東埔寨
