page 1	厲行經濟警察制度
page 2	希特勒演說向英恫嚇圖誘致和平
page 2	倫敦評論界以冷淡態度答覆希特勒
page 2	德機襲英倫英德兩　空軍發生激戰
page 2	越南總督易人新任總督德戈氏已就任賈德魯將軍發表告別書
page 2	天津法領事夫婦乘車赴平中　被匪襲擊幸　氏未受傷
page 2	意報著論歡迎日新內閣謂其接近軸心國家
page 2	浙東戰事急轉直下我軍勇克鎮遠炮台鎮　城內發生大火我加緊猛攻
page 2	英戰事結束後恢復自由貨幣
page 2	土國人士歡迎英國勝利消息對希特勒之演說官方未有何評論
page 2	傳胡適將返國就任中央研究院院長
page 2	英輪兩艘在西印度群島被擊沉美海軍部現正調查此案
page 2	法委阿比里接代替拉貝任阿爾及爾亞總督
page 2	巴黎交易所將即恢復業務
page 2	墨西哥地峽建築油倉計劃短期內難實現
page 2	德又向南提出要求盼　國政策與軸心協調
page 2	爾赴夏灣拿出席汛美會議
page 2	希行勒作驕盈演說英以行動作為答覆任命布洛克為國防軍總司令準備應付德軍向英倫之進攻
page 3	英意海軍遭遇戰擊沉意艦一艘艦員二百五十名遇救
page 3	痛悼張自忠將軍三
page 3	美民主黨大會閉幕各代表已紛紛離去
page 3	美願與我國談判廢除治外法權問題
page 3	甘省馬騰霄毀家紓難林主席賜題褒獎
page 3	滬工部局主席要求立即召集領事團會議設法消弭上海政治行兇之風
page 3	荷理藩部若干官吏被捕與荷屬東印度有關海牙荷印郵政停頓
page 3	英蘇關係似已改善史太林　見英大使所談何事外間未悉
page 3	幪面日人恫嚇美籍記者美領事向日抗議要求日道歉賠償
page 3	傷兵之友成績佈告總數達壹萬萬餘萬元香港方面成績甚佳
page 3	日軍部要角會議聆取東　報告
page 3	日艦犯閩已被擊退
page 3	偽豫　長被日扣留
page 3	蔣委長致電唁張似旭家屬
page 3	羅國軍隊繼續復員
page 3	希特勒色厲內荏
page 3	港僑愛國未居人後
page 3	美運西國煤油大量增加
page 3	緬甸已正式禁運在協定未發生效力之前我已運入大批屯集貨物
