page 1	巴爾幹風雲怒捲
page 2	希首相發表告希臘民眾書勗勉同人一致起來抵抗
page 2	希政府正式申請英國援助英必踐行保證希臘義務
page 2	英根據條約決定援助希臘地中海東部將發生激戰
page 2	美國海軍日諾斯發表演說勸國人努力完成國防建設痛斥獨裁者燃起世界烽火
page 2	里加弟謁見意相報告書柏林治商經過
page 2	泰國宣稱越南挖掘戰壕破壞法泰條
page 2	浙東我軍進擊紹興桂南我向邕寧猛攻
page 2	希臘出現英勇姿態
page 2	日圖再續前歡
page 2	貝當忘記了法國
page 2	瑞丹渡船實行聯運
page 2	日艦截搜民生號輪
page 2	日駐蘇大使呈遞國書
page 2	參政員不能兼職
page 2	希臘拒絕意國要求意希邊境發戰事歐洲東南部勢將有大戰爆發
page 3	印度事務大臣阿馬利演說今說大戰將為英國大戰必須注意地中海生命線
page 3	英機襲德飛機引擎製造廠起火德機仍繼續向倫敦炸擊
page 3	保南兩國人心震動
page 3	傳越南邊界中法軍隊衝突重慶尚未接得證實報告河內之華人被警察拘捕
page 3	綏境蒙政會定期舉行六屆會議綏蒙旗黨特辦事處改組
page 3	挪威畢爾仁發生暴動反抗納粹壓迫
page 3	美人多贊同強硬對日本
page 3	哥里將軍組織法國戰時政府領導海外法屬繼續戰爭
page 3	意普士多亞公爵警告美國勿十預歐洲事務
page 3	法內閣討論與德談判方針法人漸多希望英國勝利但法國現為賴伐爾獨裁
page 3	德意兩獨裁者佛羅蘭斯會晤除討論希臘問題外並及歐洲一切問題
page 3	澳洲政府改組內閣首相仍係曼斯
page 3	英郵船皇后號被炸沒沉船上六百四十三人五百三十九名獲救
page 3	貝當元帥慰問俘虜請其稍為忍耐
page 3	日準備改變外交政策避免與英美衝突倘英美聯合陣線仍堅強日有退出軸心同盟可能
page 5	不見日軍演習
page 5	桂省當局加緊救濟米荒外省購米由糧管處統籌運銷設糧食交易公店統制各米商
page 5	黃處長談米荒情形
page 5	順德蘇萑苻遍地水道交通幾告斷絕
page 5	粵奉發兵田公耕辦法出征軍人家屬之田地由未征壯丁義務代耕
page 5	電令就近禁止
page 5	日軍作戰情緒
page 5	惠陽分配冬耕貸款合共二萬五千元
page 5	李主席向青年團訓話實現三民主義服從領袖排除青年徬徨迷惑苦惱
page 5	潮汕日大量行使軍票我民眾視之　雖勉強使用但不久藏
page 5	委座電令改良役政注意監督兵役人員舞弊
page 5	曲江物價續漲
page 5	寶安日軍在邊界演習忽奉令禁止日皇室要人來粵視察之行程
page 6	天亭舉行軍政會議
page 6	海外台山僑民愛護桑梓捐輸數十萬救濟米荒糧調會將款購穀及　農貸
page 6	赴湘日記三
page 6	周守愚談中山近況
page 6	桂林厲行禁煙局吸漸被撤職
page 6	曲歧驛運籌備就緒
page 6	東莞私梟猖獗
page 6	粵憲政會擴大徵求會員
page 6	江會糧食恐慌
page 6	淪陷區鄉民租棺異聞生無以為活死無以為殮
page 6	政訓團學員各縣府應錄用省府昨通令　　
page 6	環球煉金公司高價收買
page 6	招投修葺廟宇
page 6	日機昨又狂炸台城三埠政務視察團在天亭召開軍政會議中山八區事由鄭迺炎負責指揮
page 7	本港賭風未戢字花分廠林立僅灣仔一帶已百餘間以帶字花為業者甚眾
page 7	警探大搜各區導遊社恐不良份子秘密賣淫某社受嫌主事人失蹤
page 7	鳥倦知還
page 7	柯立芝總統輪中歸國華僑慘被勒斃懷中現鈔一無所存兇手目的顯在財物
page 7	方人定昨抵港將在港開畫展會
page 7	澳門定期賽馬並舉辦一元彩票
page 7	馬公鞍海面賊劫漁船轟斃四人有三人受重傷來港醫治橫瀾海面亦有貨艇被劫
page 7	義勇軍今晚照常訓練
page 7	銀行支票
page 7	遺體收殮
page 7	防空演習今晚開始防空當局警告市民務須遵守燈火管制法例日落後即遮掩戶外燈光
page 10	男子學界籃球賽全部細則修竣制度分高中初三級下月一日開始報名
page 10	記體會新職員香港中國新聞記者公會體
page 10	　體協會明日召開會議討論會務進行
page 10	協會週年水運勢將流產
