page 1	杭州集會與華北大局
page 2	杭州國防會議何應欽程潛等均到參加軍會將組參謀團北上巡視戈定遠談冀察委會之真面目今日會議告畢各要人將分別言旋
page 2	蔣委員長擬飛甘肅剿匪中日問題仍由張外長折衝滬市各大學校教授將通電響應平教授今日　川會談料無好結果
page 2	福州徐州兩處大火福州被焚屋二百餘家徐州被焚民房數十間
page 2	李思浩連日訪宋哲元商談開發華北經濟修築津石路等問題即可著手辦理中日通航初步協定業由雙方簽字
page 2	台灣人民不忘祖國秘密運動推翻現政府恢復中國宗主權事敗被捕四百二十五人事隔經年日政府始准各報發表
page 2	談判破裂在即我方堅決拒絕要求華北日軍備戰益急大隊日機飛抵馬蘭峪殷逆募集夫役趕築飛機場日軍調動頻繁漢奸傀儡大活動
page 3	南京朝報失慎被焚編輯部機器房圖書館均燬現由南京印刷所代印照常出紙
page 3	加巴里出任軍事領袖後西國官軍士氯一振官軍反攻托勒杜方面叛軍不能續進馬德勒城正準備受圍各事未聞怨聲中南美洲各國在阿根廷會議聯合護任辦法
page 3	大批日艦奉命急駛黃海
page 3	中日通航章程在草擬中
page 3	日本軍政要人往來頻繁
page 3	日人欲以我土地餌白俄
page 3	確立革命之道
page 3	京學術界開會追悼孫國封
page 3	汪精衛在德療養歸國尚無確期褚民誼抵滬時談話
page 3	香翰屏等一行昨日抵滬
page 3	孔祥熙因病入院休養
page 3	革新日常生活
page 3	發揮自強精神
page 3	就業訓導班行開學禮翁文灝代表蔣院長宣讀訓詞四題為就業訓導班創設的意義與教育之要旨
page 3	豫魯冀聯合開會慶祝黃河安瀾定卅一日在濟舉行
page 3	法外長會晤比大使商談比國中立問題英報評論比國所採取之新政策能否順利進行比政府並無把握
page 3	綏東形勢益緊
page 3	冀察綏署減刑
page 3	吳經熊患病未愈不克隨孫南下
page 3	徐北發現飛蝗
page 3	馮玉祥將赴鄭
page 3	宋子良擬在下週返粵
page 3	新任美遠東艦隊司令昨日乘輪抵滬
page 3	蘇格半自由黨大會聲請要求自治
page 3	奧總理發表演講鼓吹復辟運動德國對此甚為驚異德奧協定將受影響
