page 1	自力更生
page 2	羅斯福批准海軍擴充法案美海軍擴充計劃完成後超過德意蘇日聯合海軍
page 2	近衛與三相舉行重要會議謂對於根本外交政策意見已完全　於一致
page 2	美國務卿赫爾抵夏灣拿此行攜有多數專家準備探究美洲經濟
page 2	美對遠東政策極其微妙堅強羅斯福具有充分立法權足以利用應付遠東時局
page 2	馬田尼格島糾紛進行和解
page 2	英蘇對於遠東時局將有發主聯絡可能滇緬路封鎖後我積極發四川又設計從陸路仰給物資於蘇聯
page 2	美極注意遠東問題
page 2	蘇報評論近衛將成軍部傀儡內政外交將代表軍人意見
page 2	美高射炮專家發表評論謂歐洲飛機可襲美美必須取防禦步驟
page 2	荷否認被扣德人遭受虐待
page 2	英皇檢閱武裝隊伍
page 2	希特勒期待英反應意國鼓吹向英進攻傳德意西三國將聯合攻英積極增強直布羅陀工事
page 2	英倫東南海岸發生劇烈空戰德機被擊落逾十二架
page 3	意國報紙忽警告史太林恫嚇蘇聯勿與英合作
page 3	遊蘇觀感
page 3	在華日本人民成立反戰同盟在渝舉行成立大會同時行俘虜解放式
page 3	意報繼續著論頌揚希特勒之演說詞梵蒂岡城亦極注意希氏演說
page 3	九江附近屢沉日艦贛中我軍獲勝
page 3	魯日偽蠢擾被我痛殲
page 3	我攻考城痛挫日軍
page 3	豫北日軍出擾未逞
page 3	日軍又在虹口演習作戰情形極為逼真
page 3	旅美僑胞通電討汪
page 3	美兵拘捕日兵美方調查真相
page 3	林墾設委會在蓉成立孔祥榕任主委淩道揚任副委
page 3	陳世英大義絕汪
page 3	西北政巡團離蘭返渝陳立夫留蘭休養
page 3	英美兩國締結易貨協定其內容經已宣佈
page 3	屈映光離築返渝
page 3	意派代表團赴法視察
page 3	美國嚴防第五縱隊
page 3	游光灼捐獻亡妻遺蓄國府給予獎勵
page 3	滬海關增加海關金單位價
page 3	粉碎日本封鎖
page 3	墨索里尼又恐上當
page 3	贛省加強婦運
page 3	晉南安邑偽軍全部被日解決
page 3	粵太后等同乘機抵紐約
page 3	西班牙內戰四週紀念電賀佛朗哥
page 3	國府明令褒揚謝英伯
page 3	浙我軍攻入蕭山鎮海戰事我軍愈佔優勢龍州附近日軍死傷甚重
page 5	我軍攻入墟內
page 5	廣州灣當局增強自衛力量總公使曾一度飛越江洪港情勢已和緩
page 5	羅庇和斯一度飛越
page 5	法民航機墮落餘音
page 5	擾屏風嶺日偽被挫
page 5	東江我軍猛襲朱村增城日增兵千餘防我反攻一度擾屏風嶺被擊退
page 5	猛力進攻大崗
page 5	順德偽縣長蘇某捉放經過
page 5	我軍猛襲增城朱村
page 5	我機偵察增城投下大批傳單
page 5	南僑代表抵韶向李主席致敬
page 5	政治見習員張尚輿殉職軍委會電令褒揚
page 5	高雷最近情勢
page 5	粵北我日爭取主動從化日犯麵房被痛殲大岡貓兒嶺激戰彘日百餘花縣南砲戰日軍損失甚重
page 5	神崗日軍進犯麵房
page 5	嚴禁欺騙落伍軍人高要縣府昨發出佈告
page 5	江會日軍大部退竄後我軍昨乘勢襲擊新會城汾水江劇戰日不支退守沙堤橋睦洲偽軍不堪壓迫與日軍激戰
page 5	睦洲日偽火併一瞥
page 5	花縣南郊砲戰激烈
page 5	粵省蠶絲跌價
page 5	民廳長警巡迴隊出發
page 5	中山偽軍紛爭未已
page 5	粵府撥款完成臨時醫院將在韶設門診所
page 5	粵南桂南我軍活躍日主力被困我完成殲滅戰我三路攻入蘇墟大崗近郊血戰鄧揮將接充七區游擊指揮官職
page 6	粵省行貸款迅速發展各種貸款共百餘萬元
page 6	中山早稻失收
page 6	在組織中的廣東少年和婦女訓練他們成為後備軍曲江縣成績尤為美滿
page 6	桂省中學生服務辦法服務成績及格方發畢業證書服務二年以上保升高中師範
page 6	商人請改善國產品內銷證
page 6	粵貨運稽查處成立
page 6	偽江防司令管轄廢艦兩艘組偽陸戰隊二營
page 6	馬耐園昨抵韶接任二區專員
page 6	桂行營江防處改粵桂江防處
page 6	粵積極救濟沿海漁民確立保甲制實施組訓並盡力免除苛雜改進其生活失業漁民得請政府登記收容
page 7	運貨手續非常繁難
page 7	運輸公司無形包辦
page 7	港澳航運事業轉淡
page 7	中紅會秘書長潘小萼昨抵港報告前線救護情形
page 7	美人三名在台灣被扣留因駕帆船誤入禁區
page 7	渣華輪船公司華人代理擴充營業
page 7	第一樓又有茶客跳樓頭顱破裂當場殞命販報婦人被壓受傷
page 7	讀書人福音百物騰貴中精神食糧獨減價四大書局商定減低書價折扣照國幣定價每元收港幣四角
page 7	各大酒店籌建避難室紛請防空當局予以指導
page 7	博羅同鄉會遣送婦孺返鄉第一批五百餘人已就道
page 7	港美僑將與留菲親屬通話港菲播音台已商定時間
page 7	珠江貨運已漸恢復運輸公司無形中包辦貨客領取載位須經過四重手續非與日方有特殊關係休想染指
page 8	兩幫苦力演全武行
page 8	華探彈壓鳴鐘示威
page 8	大隊警探馳至拘捕
page 8	國內各院校招生統一考試之第二日
page 8	孔聖學院同人意見
page 8	商會邀請各孔教團體討論用新曆祝聖問題定今日下午在商會開會各孔教團仍主張用舊曆
page 8	第三批英籍婦孺定下月初旬赴澳洲巴籍婦孺登記今日結束疏散日期巴領尚未決定
page 8	中華聖教總會意見
page 8	難民死得離奇疑因行竊被毆殞命兩店伴被警署傳訊
page 8	孔聖堂同人之意見
page 8	新聞學院學員今日行畢業禮
page 8	學賑會籌辦暑期民眾學校
page 8	港商赴滬創設華貴酒店
page 8	省振會特派員陳袞堯昨抵港
page 8	水警撈獲腐屍
page 8	基督教團體節建儲蓄運動第二期結算定期舉行
page 8	婦慰會募捐訊
page 8	白鴿開始登記
page 8	少女投海獲救
page 8	干諾西　安馬頭前廣潮兩幫苦力大鬥毆華探　槍示威亦未能制止大隊警察到場捕疑犯七人
page 10	鍾聲籌賑水藝會昨晚競賽成績甚佳一百咪胸泳吳年破全國紀錄
page 10	公開乙組籃球今夕兩戰太古逢南商長虹遇精勵
page 10	東方隊昨已動程返港將不負責舉行和和杯賽但體協會尚未接到通函
page 10	東方會游藝部積極進行發展
page 10	夏令籃球戰績
page 10	昨日兩場棒球賽工程初次告捷十七比八痛擊香港會水兵淨勝南華十四分
