page 2	答勁躬君三
page 3	美京電華代表宣言一條若不取銷則華會標榜原則等於廢紙
page 3	梁士詒組閣準於陽歷年內發表但閣員名單屢擬屢改尚未決定
page 3	黑龍江土匪披猖聞已攻陷林甸縣
page 3	朱啟鈐電徐世昌請勿將已名加入閣員彼決不幹並電梁士詒只允閣外幫忙
page 3	張作霖二十日謁外國公使
page 3	海軍司令艦長全體電公府請仍令李鼎新長海軍部
page 3	京傳葉恭綽聲東擊西目的仍在交通部
page 3	王正廷電徐世昌上海津浦路局擴張擬兼攬上海河道築港權請勿允准保有主權
page 3	華代表電告太會閉幕尚未定期我國所擬各案年內務必速提並設法解決
page 3	張作霖力勸顏惠慶仍舊長外交部並另設經界局位置
page 3	張志潭
page 3	各部人員擬組織請薪團準於元旦集合向府院請願
page 3	二十日曹錕與梁士詒交換意見未盡妥洽是晚公府宴會曹錕張弧梁士詒顏惠慶議決暫留秘書長郭則澐俟新閣成立方許郭就別職
page 3	二十日閣議僅決例案顏惠慶宣言繼任閣揆即發表我監印只可三天
page 3	總稅務司安格聯訪顏惠慶談論華會增稅事件並擬有增稅　計劃
page 3	外交部咨日使倘段芝貴等脫離使館保護時請即通知前傳赦免安福禍首說不確
page 3	聞華威銀行定期一月七日開幕
page 3	前擬發國庫券八千萬因被銀團反對決暫緩辦
page 3	國務院電令蕭耀南鄂省抽收稅捐應即取銷以維國家信
page 3	曹錕二十日謁徐世昌表示反對梁士詒組閣經徐疏解無結果退出復晤張作霖又經張疏解曹勉強贊成將容納多數直系入閣外傳閣員名單係交通系製造空氣並非事實
page 3	吳佩孚電京反對特赦安定禍首
page 3	北京各團體擬於廿五日開外交國民大會
page 3	美京電美國擬發裁減軍備會議紀念幣面刻大鷹一頭棲一破劍上刻和平字樣
page 3	又電法代表已允承納許士原案定法　戰艦率為十七萬五千噸唯要加增各種小艦噸額謂大艦為攻擊他人用小艦祇合自守
page 3	又電大會定廿一或廿二續開會
page 3	聞張作霖在京興舊交系握手以一千二百萬元投資於交通銀行並有傳說謂張氏擬將該行收歸已有或使中交兩行合併
page 3	桂省擬設官商維持紙幣會
page 3	招商承鹽之擱淺
page 3	開收交通稅之阻力
page 3	開投廣海艦近聞
page 3	令翁旅嚴勦肇屬土匪
page 3	省議會特會之結束談
page 3	智利禁止亞洲人入口
page 3	清淨局會議
page 3	銀價
page 3	傳染症
page 3	　樂汽水公司舉定新職員
page 3	幼童會舉行紀念會
page 3	南華籌款再誌
page 6	廣代表要求
page 6	法國　與巨
page 6	紀念華會之新鑄　　
page 6	英力主廢潛艇
page 6	時局俶擾中之各方快訊
page 6	將有大規模之廢兵運動
page 6	魯案已討論購買問題之要電
page 6	曹錕向航署借機未妥
page 6	文學博士之逸興橫飛
page 6	曹家兄弟之四六文章
page 6	愛爾蘭和約尚在爭論中
page 6	法國之出入口商務
page 6	朱　
page 6	意美撥資濟俄饑
page 6	英法總理會議
page 7	番禺縣遷署候新官辦理
page 7	准香山縣長領鎗枝
page 7	美術會開會之第一日
page 7	洪兆麟尊重裁兵要案
page 7	西樵悍匪竟敢白晝淫掠
page 7	飭洪部派兵分駐小唐等處
page 7	派艦往橫門遊擊
page 7	律師吸煙被罰
page 7	江門砲台排長被人刺斃
page 7	杉木開料工會之訴訟
page 7	旱象已成之損失
page 7	廣　鐵路請准興工
page 7	潮陽祠廟稅委員被控
page 7	公醫校以囚屍習解剖
page 7	廣州排字印刷工人之要求
page 7	控告港商查無實據
page 7	財政廳長加薪
page 7	劃定第三師防區
page 7	舉報官產誌
page 7	賭徒奪犯之累人
page 7	又有准各縣備價領槍電
page 7	看戲爭坐位之械鬥
page 7	三元里有虎為患
page 7	水醫生被擄
page 7	瑣聞一束
page 7	因瘋日盡
page 9	上海穗商會化驗粵省雙毫後之函告成色確較他省低滅
page 9	張作霖到京記
page 9	灣仔金舖被劫駭聞
page 9	被控棍騙
page 9	破獲私寨
page 9	掃灰水不妥被控
page 9	澳門叢慶坊命案續誌
page 9	徐世昌與美使之談話
page 9	被控出私貨
page 9	被控冒名騙物
page 9	被控違犯潔淨局則例
page 9	私改樓梯未有人情
page 9	燒臘檯賣生豬肉
page 9	擲地雷炮被罰
page 9	圖竊案二宗
page 9	在火場偷竊判笞
page 9	兩封信罰銀五元
page 9	酒未納稅被罰
page 9	報失縐紗
page 9	吞鴉片煙自盡
page 12	裁兵與北伐之計劃
page 12	昨日鋪氏研究會集議記
page 12	省議員請禁粵鹽包商之提案
page 12	佈告開辦舖底頂手給照登記
page 12	收回光孝寺消息
page 12	承商不顧工人苦
page 12	取締特種藥近訊
page 12	省行設江門分行
page 12	九江兵匪大劇戰
page 12	查究承商招搖案
page 12	拘捕荻海警察區長
page 12	搭渡者宜加注意
