page 1	德波緊張與但澤
page 2	湯恩伯部猛攻克復隨縣鄂西北戰事沉寂
page 2	東戰場我軍完全克復富陽杭州Ｘ軍電滬寧乞援滬郊我游擊隊極活躍
page 2	英艦在長江與Ｘ衝突
page 2	進犯不逞岳陽之Ｘ受創南昌附近戰事膠著
page 2	行政院議決朱暉日任粵建設廳長設置墾務總局直隸行政局
page 2	豫北博愛附近我軍誘Ｘ告捷晉南中陽Ｘ仍被我包圍
page 2	豫北我軍昨攻開封激戰至午未止
page 2	滬各書局被Ｘ搜查西行漫記抄去
page 2	川康視察團西路團員離理化赴雅江軍政當局及紳民熱烈迎送其盛況為三十年來所未見
page 2	日圓慘跌原因戰事失敗國際形勢不利濫發紙幣華北偽鈔狂跌
page 2	Ｘ方進行謀利用美教會麻醉欺騙我國人民美教會已嚴密戒備
page 2	我軍猛襲新田太平場Ｘ犯馬牙莊被痛擊江門新會方面Ｘ我成對峙
page 2	江北之Ｘ進犯江都不逞南通Ｘ犯騎岸鎮被我軍痛擊潰退
page 2	淪陷區各海　均入超其餘各關均出超
page 2	據外人接漢口電訊此次鄂北之役
page 2	滬訊確悉汪精衛陳璧君五日午
page 2	滬訊汪精衛派其某親信于十五日飛平與喜多會談
page 2	滬訊汪精衛之刊物民力現改名更生Ｘ方每月津貼二千元
page 2	滬訊汪右左力為汪拉攏教育界
page 2	英下院中國事務委員會定明日召集
page 2	陳誠將軍縱談戰局我已取得主動地位現在南潯交通被我軍截斷在鄂Ｘ兵力薄我不受威脅
page 3	英外相致詞對我表同情
page 3	Ｘ將頒佈新律限制人民消費遏止一切不必要之消耗節省物資供給戰爭需要
page 3	英法美日四國海軍司令舉行圓桌會議商討解決鼓浪嶼問題會議內容均嚴守秘密
page 3	英法蘇訂立聯防協定事今日英閣議即可決定英蘇意見參商之處已完全消釋英外相深知三國宜即成立聯防
page 3	滬公共租界問題英美已向日提出復文鼓浪嶼事件英靜待日答復
page 3	德意同盟成立將促使美國加緊實施國防計劃國際軍備競爭勢必更形劇烈勢力均衡或可暫維世界和平
page 3	美大使今日即可抵美大使離美前會發表兩次演　謂中國人民　戰民氣極盛旺
page 3	一胎五孿子受英后賞賜
page 3	德意盟約簽署經過情形意德兩外長簽署後發表演說謂德意已成為不可分裂團體
page 3	王外長向美播講中國抗戰前途之展望Ｘ速戰速決迷夢業已失敗中國抗戰建國前途極光明
page 3	Ｘ向津英租界提出三項要求英租界須聘請日本顧問准日憲兵檢查恐怖份子
page 3	Ｘ三百餘在岱山登陸
page 3	東菲英當局頒佈國防計劃
page 3	顧代表向國聯提出兩項建議要求各會員國助我強化抵抗力停止供給有利於日侵略軍用品
page 4	女防空會擬製中文防空標語
page 4	瞽者死於意外
page 4	七旬老婦被殺警司購緝兇手
page 4	圖劫案昨提堂
page 4	捐助救傷隊題名
page 4	防空員考試揭曉
page 4	家庭服務社開幕
page 4	富翁何在僑胞救國捐款現尚未足一千萬元救債分會昨日報告僅募得七百餘萬元
page 5	我機械部隊已出動
page 5	江會收復指日可待
page 5	會西我軍克沙堤站
