page 1	德意關係的透視
page 2	鎮南關殘日頑抗
page 2	日否認退出潿洲
page 2	陪都慶祝蘇聯國慶蔣委員長歡宴蘇聯軍政人員祝中蘇邦交　加鞏固賓主盡歡至夜深始散
page 2	津華捕加薪要求當局決定接納增加百分之一十
page 2	印度禁麻出口日紡織業大受打擊
page 2	印邊各　族表示擁護英國戰爭致電邊界政府
page 2	夏威夷決定劃為美國行政州區舉行全民投票贊成者佔多數
page 2	成都地震金市房屋撼動
page 2	黃旭初談南寧善後
page 2	進入南寧城中央社劉竹丹
page 2	哥加方面戰情愈劇
page 2	希軍反攻著著勝利前鋒越阿境三十里意空軍畏怯常作志願逼降希人否認謀和決作戰到底
page 2	希輪運貨赴日道經檀山被扣
page 2	英希空軍聯合炸意
page 2	料德或將援助意軍
page 2	北線展開劇烈炮戰
page 2	羅斯福獲勝要因在得工人擁護兩院選舉民主黨獲全勝工黨表示合作加強國防
page 2	選　票數計長增高
page 2	韋爾基亦承認失敗
page 2	粵南日軍撤向海岸欽縣防城相繼克復鎮南關爭奪戰在劇進中
page 3	赫爾發表聲明繼續強硬外交
page 3	紐約人士觀察美日戰爭難免
page 3	日評美選結果為主戰派勝利
page 3	軍委會發表一週戰況十月廿七日至十一月二日
page 3	外機轟炸南境南國陸相提出辭職南國政局將引起嚴重反響
page 3	全美輿論一致要求合作團結
page 3	德機又大舉襲擊英倫德機活動通宵不停類於以前閃市空戰
page 3	佛朗哥不附軸心英西成立協定本年最後四個月內英供足煤油與西國
page 3	保內相提出排猶法案傾向軸心之表徵
page 3	泰斥法機屢擾邊疆表示不能再忍
page 3	德商務代表團已抵土京謀與土締結商約
page 3	美驅逐機一隊運往菲律賓
page 3	日僑離英返國總領事內山亦撤退
page 3	日向荷印購油現仍在當地商議中
page 3	拉丁美洲各國與美成立諒解各國海軍根據地允借美自由使用
page 3	蘇聯主席加里寧重申中立政策強化經濟軍事力量要求國際勞工團結
page 3	美國務卿重申國策繼續推行強硬外交軸心國戰慄認美將干涉歐事日內閣昨晨會議商應付方略
page 5	沙深路橋樑被破壞
page 5	寶安境內日兵統計
page 5	大鏟日艦全部他駛
page 5	中山境內現有日軍五千前山復來日軍百餘江會各線仍有炮戰
page 5	粵省行積極促進僑匯本年度達六千餘萬元
page 5	粵北日傷兵運抵廣州市內連日戒嚴
page 5	羅翼群返茂名
page 5	粵參會四次大會第二日軍政長官之重要報告張參議員詢問南寧克復後日軍動向李主席漢魂報告解決廣東民食問題
page 5	民眾呼籲
page 5	協助政府
page 5	糧食問題
page 5	南路慰勞團定期出發慰勞四七兩戰區將士並向司令長官獻旗致敬
page 5	台山肅清煙苗
page 5	南路行署禁止壓迫佃農送禮作上等惡習革除
page 5	惠陽吉平鄉軍民衝突續訊
page 5	當前問題
page 5	抗戰現勢
page 5	入伍士兵
page 5	勵行冬耕
page 5	施政成績
page 5	在質在量
page 5	物力供應
page 5	我軍進襲深圳太平奏捷日軍大恐封鎖東莞廣州間交通南頭海面大小日艦昨盡駛虎門
page 6	邕龍線日軍潰土思
page 6	我機飛前線散傳單
page 6	張黃赴邕揮軍窮追
page 6	日艦艇闖入北海港
page 6	日潰兵擾江尾不逞
page 6	欽靈欽合兩線告緊
page 6	日機續炸水東陽江
page 6	陳生接七區游擊官
page 6	台山兌昃風潮解決省府令省行恢復收兌
page 6	日要求廣州灣當局聘日軍官訓練公局兵租界甫面又復趨繁榮我嚴防日貨推銷高雷
page 6	鹽田匪患仍熾貨客又被劫擄
page 6	張發奎抵邕揮軍窮追殘日欽縣戰事轉緊我出動夾擊日機炸靈山城及迭犯平吉一帶日圖犯北海我沉著應付卒不逞
page 7	劫艇殺人兇犯伏法巡理府循例研究其死因
page 7	粵救護會港分會昨會議
page 7	駐港日領易人
page 7	廠商聯會會議國貨展覽會章程通過
page 7	要案捕獲疑犯多名並搜獲違禁品甚多
page 7	越澳定期通航法郵船公司預算派六輪行走運費雖增貨客紛紛準備付貨
page 7	是年罌花節定為特別紀念日
page 7	施柏堅籲請英婦服務
page 7	記者學會會議各部職員選出
page 7	中山大學十四週年紀念留港同學將聚餐慶祝
page 7	又破獲字花廠兩賭徒被處罰
page 7	全港英僑討論迎回留澳妻子定今晚在半島酒店開會擬請港府撤銷回港禁令
page 7	省賑會遣送義民回韶沿途均有負責人照料少壯義民亦能緩步等候老弱絕無追趕不上中途留落事情
page 8	我國習慣權在長子
page 8	極力主張歸葬故里
page 8	英國法律以妻為重
page 8	又傳港粵航運將恢復日當局企圖套取港幣利便淪陷區生絲出口
page 8	限制移民新例內容有職業居民一律登記往來旅客須領通過證
page 8	苦力誤殺同侶案初審被告行兇後會到警署自首證人述目擊慘案發生經過
page 8	社會人士極為注意
page 8	留營難民統計一萬零八百七十七人
page 8	難民住宅被劫損失僅數十元
page 8	知行中學員生捐果金購藥品響應蔣夫人募藥運動
page 8	更練勒索疑案押候今日再審
page 8	秦婦吟之研究陳寅恪今晚演講
page 8	李守真繪畫展覽
page 8	霍亂症尚未根絕
page 8	兒童劇場公演廿四日在娛樂劇院
page 8	唐紹儀葬地訟案昨日在高級法庭開審中英法律觀點不同周壽臣許地由為原告作證人陳大律師要求押候今日續審
page 10	體協會覆六團體函日內即可送出詢問除修改章則有無其他問題
page 10	足球裁判小組委會修正罰球規例游華興與大佐芝球場鬥毆審訊結果判兩人儆誡作了
page 10	青泳團舉行週年水運該團今晚表演獨幕劇
page 10	學籃報名期聯會展期三天委員會定十三日召開
page 10	長跑獎品陳列
page 10	罌花節義賽中西記者陣容
page 10	北河約賽米隊
page 10	九龍校際小型球定期明日開幕
