page 1	杜塞漏　與增進生產
page 2	南僑慰勞團在渝晉謁黨政各首要致敬蔣委長夫婦招待全體團員林主席分贈團員勝利紅茶
page 2	新鶴路激戰極烈一度衝入江門
page 2	全國普考六月舉行現在積極籌備
page 2	甘青各界慰勞團向傳獻旗
page 2	日軍被擊洩憤在滬西大焚殺諸翟鎮被焚擄甚慘某村被殺者二百人
page 2	公共租界發生劫案被劫現款二萬元一匪被巡捕擊斃
page 2	英注視意國態度認有參戰可能軍事行動勢將針對南國意若侵南英國勢難袖手
page 2	江北漢墓繼續發掘發現鐵劍一口
page 2	多瑙河各國航業談判結果南羅匈保業已成立協定
page 2	浦東國際船廠數百工人罷工
page 2	汪兆銘由漢返寧
page 2	蘭垣發生大雪
page 2	日傳英日談判已有進展白銀問題將可解決天津租界將停封鎖
page 2	日偽誘騙學生迫充兵役
page 2	朱河清忠考兩全粵省主席特令嘉獎
page 2	吉隆坡華僑回國投資共集資二百萬
page 2	法上議院繼續秘密會議雷諾檢討最近軍政外交聽取海陸空軍委會報告
page 2	晉南日軍竄擾遭圍殲鄂東我軍進迫黃安城蘇北日軍遭我襲擊受創甚重
page 3	英保守黨提出質問
page 3	美國輿論贊成赫爾
page 3	西線寂寞
page 3	英法在美訂購飛機
page 3	南蘇商務談判已得意國贊成此項談判係出德國提議即可建立東歐經濟集團
page 3	美國會通過大海軍經費案
page 3	丹輪被扣問題日未向英抗議
page 3	英挪聯軍準備進攻德倫的英英軍仍繼續在挪登陸挪境戰事現正展開中
page 3	挪威克城發生饑饉
page 3	英商輪損失補充快較戰前僅少百份之一德所損失等於英國者三倍
page 3	挪軍四千逃入瑞境
page 3	德軍利用挪威壯丁
page 3	英機作戰獲大效果
page 3	滬租界日人組納稅人會
page 3	渝中美文協歡宴孟祿博士
page 3	來往滬寧杭可免日軍搜查五月一日起實行
page 3	挪威政府發表對外聲明盡力維護獨立自由挪只有一合法政府
page 3	宋哲元移靈綿陽各界下半旗誌哀
page 3	羅王準備與各黨派合作羅王接見鐵衛團領袖
page 3	意國表示對地中海政策非係欲獨霸地中海但求各國平等合作
page 3	英議員質問漢口英商貿易
page 3	英德兩軍初次衝突
page 3	蘇羅訂協定互撤邊境駐軍
page 3	日本窺伺荷印與對南洋陰謀二
page 3	菲澳人士均極注意
page 3	日對荷印野心未戢拒絕赫爾維持荷印原狀要求羅斯福亦聲言維持荷印原狀
page 4	銀花飛絮洪承疇製服裝
page 4	十字街頭
page 5	包圍中山八區一帶
page 5	日在中山禁物出口
page 5	日軍增到石圖向東江上游進犯完寶邊境日偽竄擾各鄉民居多被焚燬
page 5	江會各線頻有接觸
page 5	虎門最近奇聞沙角發現猛虎日軍犬馬多失蹤日兵卒將虎擊斃
page 5	四邑內河交通如常各處均有船艇行走但頗危險船腳昂貴往來轉折行旅不便鞋
page 5	四邑內地交通如常
page 5	三埠澳門輪渡恢復
page 5	日機在桂散反戰傳單盲目前進日夜痛苦著都安縣將傳單呈桂省府日機曾在縣城投殺傷彈
page 5	私島梟猖獗圍歐海關職員深圳墟之虛驚
page 5	澳門與中順之交通
page 5	日軍繼續敗潰我機飛桂南前線助戰與日機遭遇卒能以寡勝眾我軍反攻各路續有進展
page 5	圖犯平吉反受重創
page 5	日驅偽軍增援欽縣
page 5	右江日軍悉被肅清
page 5	容良外圍隊擊沙頭三洪奇
page 5	四邑各縣推廣春耕解決米荒請桂省月撥二萬擔接濟增種什糧補助穀米不足
page 5	分別佈防外
page 5	進攻目的地
page 5	偽軍八百餘
page 5	日軍企圖全佔古井各地包圍中山八區後路圖謀 截斷我團隊之聯絡並派人誘降被拘留槍決中山日軍禁貨物出口擄去輸渡
page 6	台山增編團隊征殷富捐籌供餉糈借征一次過經費參照自治捐辦法
page 6	徵編團警
page 6	各縣徵募棉衣超過原額粵徵慰會將請獎勵
page 6	瓊崖我軍反掃蕩文昌瓊山儋縣等均起激戰日五次掃蕩計劃又告失敗
page 6	粵腦膜炎疫其勢已緩除鬱南外各縣已漸平息三月來染疫死者千餘人
page 6	廉江籌設兒童教養團
page 6	江門偽組織搜掘路軌
page 6	粵貿管處溝通韶港貨物運輸在香港老隆各設辦事處
page 6	婦女競選會粵分會將成立
page 6	蔣委長派員慰勞傷病官兵
page 6	迫攻海口瓊山戒嚴
page 6	勇克樂東日退崖縣
page 6	決定反攻分途出動
page 6	日敗兵大批調回廣州佔住康樂村民房驅逐居民日兵多反戰連日槍決卅餘
page 7	內部設備極現代化
page 7	濃霧阻礙航行昨晨各澳輪均遲到
page 7	洋商慘遭滅頂
page 7	東華三院將沿門勸捐不敷之數達四十餘萬元
page 7	德僑十名獲釋當局仍注意其行動
page 7	本港今日賽馬下午二時開跑賽九場
page 7	轎伕被刺重傷
page 7	深水　基隆街三匪賺門行劫偽稱到樓修理電燈劫去銀物二千餘元
page 7	國醫館港事務處職員昨已選出
page 7	港泰空郵減價郵局解釋原因
page 7	戰事可改作救傷站
page 7	本港防空新署落成設備極現代化戰時可作救護站下月十五日開幕即日開始辦公
page 8	主席報告
page 8	中英文協集會請羅伯遜演講
page 8	貨艇兩艘被劫損失數百元人幸無恙
page 8	住聯會今會議
page 8	港大學生售花籌款救濟難胞
page 8	茶樓劫案詳臬
page 8	義學呼籲改善新例稟章昨呈四華代表轉遞當局
page 8	告羅士打舞院明日場內賣花籌款捐贈傷兵之友社
page 8	煙犯一批出境
page 8	開本港新紀錄保險銷貨場出現
page 8	打鐵店不得與學校為鄰第三街鐵店均須他遷法官對各店主表示同情搬遷期限准延至下月底
page 8	南華體育會今晚開游藝會籌款賑濟傷兵難民
page 8	漢陽輪昨下水
page 8	招商局輪暫未能復航抗戰勝利後方能計議
page 8	兩會理事
page 8	中華國貨產銷協會香港分會舉行成立禮阮維揚演講總會歷史及其目的西南實業協會港分會同時成立
page 10	東方足球隊在菲四次告捷五比二挫喇沙
page 10	菲女籃球隊犯港今夕揭開戰幕港學生軍打頭陣七時會師健身室
page 10	征越埠際代表隊人選昨已排定公佈海軍警察東方未有參加現左右兩翼尚待遴選中
page 10	足球季尾聲今日戰事仍豐甲組華隊三路齊對外乙丙組有亞冠軍決賽
