page 1	繼蓉案發生之北海事件
page 2	軍政部電令桂當局飭十九軍保護外僑日艦又有三艘南下中野案仍在調查中
page 2	浪人分赴各地活動企圖造成不幸事件少壯派組赤血敢死團欲向我各地軍民挑釁
page 2	滬虹口發現雙屍案一男一女遭慘死主要兇犯已在逃
page 2	李宗仁黃旭初電中央定期分別就新職請中央派員監誓
page 2	冀察問題目前未有商談秦德純因病未赴津
page 2	中行籌設粵分行鍾鍔改期來粵
page 2	中比使節昇格明年即可實現
page 2	中山秀雄案昨今連日續審
page 2	蒙匪五萬圖綏現分駐察北各地
page 2	財孔離邸避壽
page 2	吳鐵城澈查吳鳳琳案
page 2	哈埠日當局扣留蘇俄籍民疑為間諜嚴刑迫供
page 2	今年各地豐收日人向我購糧
page 2	我國開征所得稅日僑反對甚力
page 2	日外相有田出席閣議報告北海事件及三相決定之根本方針駐粵日領事中村已定十五日來華復任屆時謁川樾報告外務省對兩案之方針
page 3	粵金融公債案審查經過
page 3	粵金融公債案發行條例
page 3	德國社黨大會各黨要演說醜詆蘇俄與布爾希維克主義德國反俄潮洶湧可見一斑
page 3	縣市自治法修正要點
page 3	故宮二次盜寶案主犯畏罪自殺救治無效昨晨逝世
page 3	援軍開到馬德勒守軍決與城存亡聖城戰事尚無變化
page 3	湘米銷粵商議結果圓滿兩省稅收完全免除鐵道運費減半徵收
page 3	龍虎山怪物張天師遊閩
page 3	中英庚款委會撥款補助四省教育
page 3	襄陽農民鑿井發現唐宋古錢三千四百四十斤省府獎洋五百元
page 3	朱徐蕭賀股匪有向東竄情勢圖與毛徐殘匪合股
page 3	崛內干城訪陳覺生作到任後拜會
page 3	駐華英使許介森昨由神戶來滬
page 3	閩省國選候選人全部推選竣事今日彙呈總所
page 3	粵　整委會主任陳　炯昨赴粵向張家璈報告要公
page 3	滬市公民定期舉行宣誓
page 3	蘇滬兩禁煙督察處同時辦理結束
page 3	傅汝霖等出發視察襄河遙堤擬設襄河蓄水庫需費約千餘萬元
page 3	蘇俄空軍躍傘表演
page 3	德政府維持種族法律
page 3	洛約各國會議十月下旬舉行英國已通知意德
