page 1	英國對遠東之妥協政策
page 2	徐賀兩部情銳抵晉前方參戰靜樂之Ｘ遭我襲擊
page 2	岳口北岸堤決Ｘ軍損失極重洋梓之Ｘ出擾未逞
page 2	我軍進襲信陽再度攻入北關我軍一度收復雲溪
page 2	英國空軍集體飛行法國飛行千六百里以下航程參加飛機在二百架以上
page 2	荷蘭內閣改組完成
page 2	廣州反英運動益趨激烈
page 2	美日商約延長一年
page 2	德負責方面聲明蘇德友好條約未廢無須再商訂互不侵犯條約
page 2	滬偽市長傅筱庵向工部局挑釁借端勒索鉅款
page 2	Ｘ機分襲閩贛
page 2	滬暴動案日竟嫁罪於我
page 2	哈拉哈河沿岸蒙偽戰事猛烈雙方飛機大砲盡量發揮威力蘇海軍委員長嚴重警告日本
page 2	桂省婦女領袖發起募帳運動預計需款三十萬元
page 2	Ｘ軍艦艇紛集中山海面似有伺隙再擾企圖潮汕我軍迭克要點
page 2	津日水警截獲現洋三萬
page 2	美駐亞洲艦隊總司令哈特少將就任
page 2	張伯倫否認貸款德國
page 2	北平燕大教務長司徒雷登抵渝
page 2	拍照片克萊琪受虛驚電光膽誤落地板轟然一聲如槍嗚
page 2	衡陽重安鄉壯丁自動請纓
page 2	國民政府廿五日令
page 2	毛澤東抵渝謁蔣會商今後時局對策決定授權孫宋負責外交財政加緊開發富藏發展國際交通
page 3	法報贊揚英日協定
page 3	天津日軍態度強硬
page 3	日方態度缺乏冷靜
page 3	中央國府聯合紀念週蔣總裁致詞原文二我們抗戰無論如何一定有　法環境愈困難抗戰的力量愈偉大
page 3	維持法幣
page 3	愛國同胞
page 3	套取我們
page 3	革命精神
page 3	倫敦各報發表評論
page 3	星洲華僑電英反對
page 3	美方不滿英國退讓
page 3	英美民意主張強硬
page 3	海相米內警　日人
page 3	華北排英仍未停止
page 3	援華委會發表意見
page 3	德章輿論　英屈服
page 3	英日先有兩項諒解
page 3	羅文幹著論駁斥主和
page 3	滬報著論表示不滿
page 3	英眾議員提出質問
page 3	英內務大臣提出防止暴動法案最近警察發現恐怖黨計劃謀大舉活動澈底破壞倫敦
page 3	對東京談判結果我方提出抗議英外相力辯英日談判無損于我英國對遠東政策並未有所變更
page 4	婦慰會常會紀
page 4	藏械案昨判決兩犯各處徒刑三月
page 4	勒索疑案押候
page 4	保衛大四邑今日起在中央戲院公映
page 4	強制股役法明日可通過二三讀會立法局昨公佈當會議案財委會將追加大批政費
page 5	九頃沙被Ｘ登陸
page 5	芙蓉山血戰劇烈
page 5	拂曉時將Ｘ擊退
page 5	我團隊增援反攻
page 5	昨晨Ｘ三度來犯
page 5	封鎖線禾被衝破
page 5	西線戰訊Ｘ再犯楊梅墟
page 5	Ｘ艦砲轟媽宮有再犯汕尾勢陸豐令濱漲商店遷移
page 5	粵防空機關強化防空建設
page 5	調整人事
page 5	廣州附市各鄉匪徒劫牛勒贖
page 5	派員視察
page 5	省府各機關組織小組會議
page 5	粵農村貸款定期舉行
page 5	深圳舉行戶口總調查寶安縣長開各界聯歡會
page 5	河南洲咀河面一舟七口溺斃
page 5	省振會加緊收容潮汕難民
page 5	潘幼齡在中山陣地追悼陣亡將士
