page 1	日軍南侵動向的蠡測
page 2	泰軍準備與日呼應緬甸星洲將受威脅
page 2	德發言人再聲明無意干預意希戰爭意軍進攻失敗現已改取守勢英空軍正分三方面施行進攻
page 2	希王玉詔勗勉國人
page 2	廣州煤油庫發生爆炸燒燬煤油一萬桶
page 2	大西洋中英德發生海戰英武裝商船遮維士灣號英勇犧牲救出一隊商船
page 2	英國空軍炸擊意艦
page 2	阿國土人叛抗意軍
page 2	自由法國委出加蓬總督貝當政府憂慮殖民攜貳賴伐爾因此將再赴巴黎
page 2	美加合作嚴防奸細
page 2	羅京又復地震地方損害尚微
page 2	法政府解散勞資團體貝當以高壓手段造成獨裁
page 2	英空軍連日大炸漢堡碼頭貨倉無一完整輪船鐵路亦多毀壞
page 2	諾斯與赫爾會談菲島防務
page 2	美軍需工廠發生三次爆炸顯有奸人從中破壞
page 2	美對日抗議日軍截留美輪
page 2	路透社記者乘英艦到地中海視察經過二千英里始終未見敵艦蹤跡曾暈意機來襲多次英艦絕無損失
page 2	現代戰爭軍艦仍居主要希特勒謂為無用事實證明係錯誤
page 2	英將取相當行動保持坦及爾英向西政府聲明
page 2	美國米西根湖發生暴風輪船損失重大
page 2	大橋忠一被委日外次
page 2	日進侵西貢風聲愈緊泰軍大部忽開集越邊泰王委國務卿兼國防軍最高司令日皇召御前會議駐泰使趕速赴任
page 3	德望日蘇接近誘蘇加入三國同盟
page 3	莫訪柏林使命德與英法觀察各殊
page 3	德報諱言意敗企圖迷惑莫洛托夫
page 3	德歡宴蘇外長蘇德領袖初次宴會
page 3	意軍連戰俱敗美國援英無須參戰
page 3	張群谷正倫分任川甘主席賀國光任渝衛戍總司令
page 3	南市賭窟發生炸彈案
page 3	滬關稅務司奉命連任日報詐作不知
page 3	日機兩架偵察昆明攝取滇緬路影片
page 3	從火燼中長成南寧日報發刊
page 3	八打威演習防空
page 3	日荷談判結束煤油協定突告成立每年供日煤油額達一百八十萬噸
page 3	贛北我軍出擊夜襲蓮塘克復太子街晉南我軍京連獲捷報
page 3	蘇德政要昨兩次密談涉及歐亞非政局蘇報承認莫此行有重要政治任務莫遍訪德政要傳今晨擬返莫斯科
page 4	蘇美雄君所擬饒雙馬解拆看法四八第二章第四局河頭炮左中炮局
page 4	港韶道上寫真二
page 5	三廠附近
page 5	中順團隊整理近況
page 5	團隊夜襲大良劇戰
page 5	劉佐人談視導二區各縣經過在連連陽解決民疾多起日間將繼續出發仁始南
page 5	石龍日軍紛紛他調盛傳我軍將反攻
page 5	中等學校學生加緊軍事管理訓練蔣總裁再令教部切實執行
page 5	六邑協訓繼續推進古井區開始訓練
page 5	日軍再擾鹽田被國民兵團擊退
page 5	財廳修正公布緝獲私貨充獎辦法投變款項五成解庫其餘攤分線人佔半
page 5	粵兒教院實驗中學概況實驗小學由陳智乾主持
page 5	惠淡沙運輸站加強組織分設檢查哨所維護港韶運輸
page 5	順德我團隊夜襲大良劇戰中山日敗兵萬餘人準備他調岐關路三廠附近
page 6	抗戰以來
page 6	視察人員
page 6	牢記力行
page 6	忠勇精神
page 6	地方治安
page 6	各地民眾踴躍儲蓄李孤帆抵韶談視察經過
page 6	嚴明紀律
page 6	服從命令
page 6	切實合作
page 6	非常艱苦
page 6	鄧龍光將軍談收復南寧經過
page 6	發動全省人民擴大農業生產粵府電各專員切實督導
page 6	省行本年農貸逾千萬
page 6	猛勇奮進
page 6	粵籌設托兒所
page 6	新台召開政治工作會報
page 6	李漢魂派員檢閱全省保安團官兵頃發表告保安團官兵書提示要點希望大家努力
page 7	佛山輪無復航省港意日管理旅客條件甚苛由港上省須九天始達目的地日方目的殊不在利便旅客往來
page 7	小廣東輪繼續航行越澳昨傳停航說不確
page 7	中振會辦理東江急振
page 7	燈火管制演習本年底再舉行連續五夜規模之大向所未有港九白晝防空演習在籌備中
page 7	星洲犯人解港日間轉解出境
page 7	米爾斯昨抵港
page 7	果販賑災團招請救護人員
page 7	後備警察年操代督到場檢閱及頒獎勸市民踴躍加入服務
page 8	橫瀾海盜殺人越貨截劫貨艇轟斃艇主掠去財物值二千元
page 8	嶺大農學院已遷坪石復課李應林公畢昨返港
page 8	稱霸海上的英海軍
page 8	滇緬路開放後本港織造業未見好轉棉紗來源短絀價格暴漲成本過高難運內地推銷
page 8	私藏軍械被罰
page 8	水塘存水統計四十八萬二千餘萬加侖
page 8	台山商會撥款救濟案桑梓
page 8	港織造業未見好轉
page 8	紗價暴漲成本過高
page 8	內地工廠設法自製
page 8	藝術觀賞會展覽明末四僧畫件
page 8	霍亂症仍未消滅
page 8	數千女工請維生活
page 8	保衛團將成立定期招待報界
page 8	馬頭涌難童續遷粉嶺
page 8	海外發現破舟
page 8	九龍電力公司建大角嘴分站昨已投得公地一段
page 8	戲劇與教育四團體將開會討論
page 8	騙傭婦犯入獄
page 8	筲箕灣警探搜捕海盜獲四疑犯並獲長短槍三枝幪面布多塊傳有賊船來港購糧準備出劫
page 10	足球總會月會議決舉辦義賽為三團體籌善款督憲杯首戰由協會選球場國際杯決請中英蘇葡參加
page 10	售貨員對於同業應有的態度
page 10	籃球聯會議決要案代表大會抽簽編定學籃賽程委員會議決球證及球員問題
page 10	記者公會籌賑舉辦時裝展覽會
page 10	今夕中西籃球賽中青會迎擊岷甸奴下午七　會師健身室
page 11	青年時的畢特門
page 11	降落部隊的配備運用發明
page 11	砲灰進攻
page 11	德軍官的道白
