page 1	蘇芬戰爭之和平難
page 2	燕塘譁變日軍押赴台灣編入懲治隊
page 2	胡適大使在美演講國際時局問題
page 2	新開線戰事昨日再度展開日軍千餘向麻塘進犯南海日軍竄擾良岡頭
page 2	日確在蘇州河以北強迫我壯丁服充軍役日當局對此尚力圖否認字林西報歷舉事實證明
page 2	高逆淩蔚在津病故
page 2	日民政黨開會開除齋籐黨籍會場中爭論甚烈秩序大亂且發生打架拳鬥擲椅均有
page 2	孟買織造業工潮有擴大勢
page 2	蘇羅兩國將締不侵協定
page 2	巴黎發現共黨宣傳冊子
page 2	美海軍定造萬噸巡艦兩艘
page 2	緬甸下議院討論國防預算
page 2	人事行政會議昨舉行談話會戴院長親自出席
page 2	傳粵日軍發生內鬨廣州連日戒備甚嚴
page 2	日決定發行有獎公債債額二萬萬元
page 2	丹挪瑞等國將與各交戰國談判謀商定保障中立國輪船計劃
page 2	四行在青設立支處
page 2	我在重慶附近設顏料廠資本達一百萬元
page 2	豫中我軍猛襲西南邱樓豫　我猛攻太康日軍豫北日軍西犯受重創
page 2	記租界發現殺奸愛國傳單
page 2	國府決發行閩省復興公債債額二千萬元
page 2	汪偽政權將於下月成立偽中央政治會　本月將在南京舉行
page 2	駐蘇大使楊杰上月離蘇返國賀耀組仍留蘇
page 2	湘北我軍破壞日軍交通
page 2	印度輿論攻擊德國德空軍之屠殺行為引起全印人民憤怒
page 2	邕賓路我軍頗有斬獲晉南我猛攻浮山翼城鄂北我軍收復隨縣城南何家店
page 3	維伊普拉城仍由芬軍堅守此城之失陷恐將為期不遠但芬軍抵抗力不因此崩潰
page 3	國府公佈綏蒙政委會組織大綱
page 3	英國積極改善出口貿易之統制組織實行現款交易自行運輸原則今後國內物資消費大受限制
page 3	德軍積極進行軍事準備
page 3	意輪運載德煤已被英艦扣留將引起英意間嚴重風潮意或將有軍事示威行動
page 3	英法商務談判開始舉行
page 3	日對第三國巧語花言謂第三國在華利益無庸恐怕被日侵害
page 3	荷報向德質問持何理由以攻擊荷輪德推諉謂為未得詳細報告
page 3	西線邇來前哨活動增多
page 3	日外務省又解釋長江開放問題其實關於長江計劃已籌備中
page 3	英法空軍飛入德境視察
page 3	維里斯今日可抵巴黎達拉第將向維里斯表示決心制裁德國
page 5	昨日中山各地我日兩軍激戰詳情六日晨以前日軍未能衝進前山十時後再起激戰前山前後受攻唐家灣再增日軍聞上柵已失守李應光隊長對本報記者述戰情
page 5	五區前夜激戰情形
page 5	十時以後劇戰再起
page 5	李應光談作戰經過
page 5	始終未被日軍衝進
page 5	前山已成混戰狀態
page 5	唐家灣亦續增日軍
page 5	西江軍事當局生動反攻江會大軍雲集新會九區迭向古井日偽進襲
page 5	在日軍艦據剝下容桂一部絲商忍痛復業大部份不甘剝削遷往中山營業
page 5	日商獨佔省順航權沿海盜賊披猖旅客相成裹足
page 5	石龍日偽增加再陷上下南西湖等地
page 5	禪炭日軍敗潰後糾集一部再犯大窩被我迎擊日軍再敗禪炭公路日屍滿佈
page 5	三日復擾大窩
page 5	我軍挺攻三江
page 5	日軍之調動忙
page 5	敗後遷怒鄉民
page 5	日軍棄屍滿途
page 5	葫蘆嶺之砲戰
page 5	省黨部發動戰時民眾服務萬餘人嚴密組訓在各縣參加戰工
page 5	二區游擊隊抗日戰績某特務隊殲日數十幾全部作壯烈犧牲
page 5	奸商唯利是視製假藥殺人真假萬金油極易分辨望各界人士嚴加注意
page 6	新街龍口連日激戰
page 6	從化我軍襲鐘落潭
page 6	廣州灣賑災會演戲籌款勞軍得款分匯粵桂省府
page 6	粵省黨部加緊抗戰宣傳
page 6	監察使劉侯武近已巡抵豐順
page 6	研究新縣製實施綱要台山縣亦提前完成
page 6	甘三珠談南三近狀及抗戰經過我民氣激昂隨時可動員抗日惟米珠薪桂饑荒已達於極點
page 6	軍管區電各縣設法收容流落官兵
page 6	緬甸華僑慨送獨子從軍
page 6	省府奉政院令查報日軍侵犯粵北損失從化全縣無一乾淨土清遠縣災民數達十萬
page 6	一篇總血賬
page 6	洋米免稅准運四邑續訊
page 6	台山教育之新氣象各校學生人數增加縣府推進社教令各校兼辦
page 6	增強民眾監察役政力量如役政人員枉法准人民公開檢舉
page 6	寶安縣民刑案將歸縣府兼理
page 6	台山訂定省市券換國幣補以法商民無庸赴行兌換　省手續省市券作　國儲金利息特厚
page 6	北線戰情激烈我撲龍口續攻新街江村日軍北援被擊潰衝入鐘落潭殲日甚眾廣從路日軍連日遭我截擊
page 7	塘西歌姬定期義唱
page 7	華商會籌賑會會議
