page 2	我對於粵議員大演活劇的感想
page 3	將授蔡成勳為昌武將軍
page 3	政府擬禁各省發行獎券因其純屬彩票性質由農商總長盧信提出閣議
page 3	憲法會議通過各省得自制省憲法但不與國憲抵觸
page 3	稅務處宣布十一月一日實行新稅則
page 3	廿六日閣議決任蔡成勳督辦江西軍務並促謝遠涵就省長職又潮汕風災撥款五萬海軍欠餉及粵艦北歸餉交財部籌發
page 3	旅京贛人開同鄉會決請黎元洪收回蔡成勳督辦贛軍務命令
page 3	黎元洪以時局愈趨險惡態度消極廿五起不見客並語人謂孫文如能統一全國余亦不妨退讓
page 3	張紹曾派張英華赴保定聞疏通組閣並請曹錕吳佩孚勿再反對
page 3	齊燮元擬九月朔在南京開蘇皖贛鄂聯防會議蕭耀南派朱某列席
page 3	聞東三省內部發生變化奉天已戒嚴一說謂吳俊陞已以黑省獨立
page 3	某系議員運動參眾兩院組選舉總統會准黎元洪辭職另舉孫文正曹錕副但吳佩孚不贊成各派議員除非出鉅資運動亦難得多數同意
page 3	吳佩孚遣戴某向天津義國領事商購直奉戰爭時所扣義械照價九折分四期交款廿一日已簽約劃為三份一歸曹錕一運洛陽一運灤州
page 3	閩李厚基電許崇智進窺汀州已派王獻臣旅在武平防堵
page 3	近傳張宗昌被張作霖槍斃恐不確
page 3	黎樹回京覆命謂孫文暫不北上
page 3	昨女子參政會招待議員到會者認憲法第四條宜加入男女二字以示平等由呂復擔任提案
page 3	外交部設收回遼東半島籌備委員會並將經過情形宣布
page 3	促國民注意
page 3	聞孫傳芳軍在夔州被唐式遵戰敗
page 3	八月廿六號北京電
page 3	黎總統昨日將任唐紹儀為總理咨文再送國會該咨文修正　去關於黎氏辭職各節國會已將案列入星期三日議事日程討論
page 3	農商總長盧信已向內閣提出禁止有獎券票即為賑災之票亦在禁止之列
page 3	魯案中日委員會昨日討論關於山東鐵路產業價值未完各題日本代表提出各輕便鐵路及幹連礦場各鐵路清冊又提出鐵路局按照一九二二年預算所購置各建築材料清冊均交分委員會審查
page 3	本日省議會開會解決省長問題已選定陳席儒任省長
page 3	廿六日議法會議
page 3	省議會演武續誌
page 3	澳門近訊
page 3	水務局員之食水談
page 6	十九　　憲法審議會省之權　取　括主義
page 6	孫文之對外宣言
page 6	民黨對於孫中山宣言之紛歧
page 6	湘省候補省長之人物
page 6	請援旅荷華僑之要電
page 6	八月十　日大總統令
page 6	發假誓案
page 6	保護牲畜委員之談話
page 6	破獲舖票賭廠
page 6	鴨巴顛街暗殺案續聞
page 6	關醫生失竊續聞
page 6	劫案又聞
page 6	開灤煤礦報告
page 7	葉舉不欲沈軍經粵回桂
page 7	維持紙幣會議收回不通用之小紙幣
page 7	陳炯明未遽就總司令職
page 7	翁式亮赴南雄
page 7	賴世璜晉謁陳炯明
page 7	洪兆麟返汕之別報
page 7	譚義被獲詳誌
page 7	估修車歪砲台
page 7	香山游擊隊小輪觸礁
page 7	三羅貨船已開行
page 7	釐廠扣留美孚火油之交涉
page 7	軍人滋事兩誌
page 7	對葡大會代表經已獲釋
page 7	高廉軍事消息
page 7	請取銷恩平杉捐
page 7	打單信之可疑
page 7	派員接收遺失之無線電機件
page 7	瑣聞一束
page 7	靚就罰銀五十元
page 7	船廠工人罷工近聞
page 7	美無線電之中國消息
page 7	德國將完全破產
page 7	銀價
page 7	輪船擱淺
page 7	被控逃撻薪金
page 7	軍火案
page 7	發起籌賑潮汕風災賣物會
page 7	賑災雜紀
