page 1	國民大會召集有期
page 2	六中全會宣言全文
page 2	五全大會宣言為抗戰建國奮鬥目標當摒除萬難以求實現
page 2	召開國民大會限於民國廿九年召開以期待早日制定憲法
page 2	對於抗戰方針日不覺悟則抗戰不停信任友邦及自強自勵
page 2	廣三路我軍沿線出擊江會　軍勢蹙企圖突圍不逞
page 2	日鐵道厚生兩省將委專員負責
page 2	舉國一致奪鬥由吾人實現三民主義由吾人創造光榮福利
page 2	電慰戰區同胞復我國家民族之大仇
page 2	六中全會昨圓滿閉幕定期明年召集國民大會制定憲法蔣總裁孔委員兼任正副行政院長
page 3	各國輪船到滬銳減係因戰爭影響
page 3	日印棉業談判在進行中
page 3	日蘇兩國代表商定商約原則傳日大使與蘇外長討論結果意見一致
page 3	一陣旋風起于威廉之側吹倒樹木三桿威廉幸得無恙
page 3	德潛艇政策失敗改用水雷政策連日中立國輪　被毀多艘德此舉實在有違國際公法
page 3	駐功法大使與土外長長談料土外長已申明土對蘇聯之態度
page 3	法政府下令嚴防共黨活動授全權達拉第負責
page 3	英波商定軍事密切合作日內將成立軍事協定波捷兩國領袖亦商議密切聯絡
page 3	聖酋士太斯懺悔節德國延期舉行謂要參加戰爭
page 3	納粹黨籍炸彈案向反對黨報復被捕者五千人
page 3	德機分別侵入荷比領空荷比派機迎擊因此發生激戰
page 3	駐蘇美大使經切往士托邛否認此行右政治意義
page 3	聯軍欲利用奧都太子進行分裂德國組織一多腦河流域聯邦奧都太子兼管奧匈兩國
page 3	我國政府建軍成績甚佳自由區人民入伍甚為踴躍一洗從前輕　從軍之陋習
page 3	萊茵河水漲德法防軍後撤前線大致寂寞
page 3	廖磊追贈陸軍上將
page 3	偽中央傀儡組織將在年底成立須磨曾訪汪氏謂日為汪助
page 3	晉西我軍又獲一大勝利克復屹台頭段山嶺牛王廟黑龍關日軍有全部潰退勢
page 3	滬日憲兵扣留稽查隊案丹籍捕頭獲釋一女性稽查同時獲釋餘兩名華捕尚被扣留
page 3	滬日憲兵封閉四間米店　　　　大量之米　運往日本救濟米荒
page 3	列維亞總統發表廣播演說在強鄰勢力壓迫下祇得忍痛贊美蘇聯
page 3	南路一帶欽防戰局穩定欽　日軍損失奇重但尚未發生主力戰
page 3	謠傳德蘇密約規定兩國海軍在遠東合作德將購蘇海參威潛艇用以攻擊遠東英法輪
page 5	三灶日軍突行撤退
page 5	江會方面戰事仍有
page 5	三埠市況暫已恢復
page 5	昨有由兩陽抵中山
page 5	日軍陸續撤離瓊島各線我軍加緊反攻欽防我日兩軍之激戰儋縣我軍衝入那　市
page 5	我便衣隊夜襲白雲機場我空軍與日機激戰
page 5	旅暹華僑回滇情況近誌匯款到滇者日眾育僑學校將開幕
page 5	在外無職業者不准發離境證轄區司令部通令
page 5	四邑各縣金融物價近訊台山仍有拒用殘舊紙幣者糧食充足民眾多散居農村
page 5	需要數量分配兌換
page 5	農村居住減少消費
page 5	恩開各地人口驟增
page 5	深圳日軍北犯遭挫昨向鐵路突進陷我清溪我軍集樟木頭將與日軍決戰
page 5	日改戰略突破中線
page 5	我軍主力屯樟木頭
page 5	日傷兵昨運回深圳
page 5	石龍日軍橫瀝受創
page 5	番屬市橋近況商業冷淡匪氛猖獗
page 5	日艇昨犯馬寧被擊退
page 5	二區行政公署將遷往小北江
page 5	江會日軍驅滿人作間諜新會已有發現軍當局已防範
page 5	三灶日軍昨撤退赴南路江會戰事仍烈中山時聞砲聲三埠市況暫已恢復
page 7	各區居民希望自衛團員能日夜出巡黃燕清謂富厚之區始能辦到堅道雖富厚土中環似亦非貧
page 7	吳光新追悼會今午在九龍塘舉行
page 7	帝航機郵件日方未盡發還
page 7	保良局謀改善認領婦孺辦法現留局婦孺凡二百餘人
page 7	兩慈善團體響應徵募寒衣運動婦女慰勞會將開賣物會南華體育會籌辦游藝會
page 7	袖海堂之金石書畫社馮康侯課金石篆刻
page 7	華民政務司解釋驅逐無業遊民法例修正草案非謂凡貧民便可驅逐須經裁判官審訊之後始能執行
page 8	陳述案情
page 8	遂告宣洩
page 8	買三角銼
page 8	證我購兇
page 8	歐戰發生後德國勞工慘狀工作時間增長工資銳減
page 8	港政府發行一元新幣圖案紙色均與舊幣相同但皇像已改印喬治六世
page 8	臬庭判決誤殺案三宗擦鞋童子入獄三天殺妻案犯入獄三月
page 8	銅鐵行商會議決再募寒衣
page 8	中藥聯商會昨歡宴新職員
page 8	兩截劫犯入獄
page 8	賑聯會今會議
page 8	行走港星輪船須防水雷
page 8	警探捕獲嫌疑海盜十名
page 8	公開籃球賽各隊最近形勢
page 8	南華會友絨球賽展期止截報名
page 8	足球名將徐亞輝效力東方尚未決定徐氏將來留港與否頗成問題
page 8	學界籃球賽保羅兄弟敗績今日高級兩場
page 8	小型球協會舉辦白蘿仙杯比賽今開始報名且八晚截止
page 8	華員會旅行針山
page 8	兩次買兇圖殺情人之夫李和罪名成立處徒刑事雖未成罪名實大法官特重辦每罪入苦工監四年但同時執行
