page 1	擯蘇後之國聯
page 2	鄂中日軍已陷絕境
page 2	晉南日軍結集二萬餘人蠢蠢欲動似有新企圖中條山已為日軍墳墓
page 2	日兵厭戰又一明証高舉槍枝向我投誠被日發覺投江自殺
page 2	軍政治部歡讌緬訪華團
page 2	各方努力徵募寒衣益增三軍殺日之勇氣軍政部代表全軍將士致函申謝驅逐日軍還我河冊報各界厚望
page 2	川省禁政統一組川省禁煙督辦公署正式成立蔣委員長兼任督辦
page 2	平寧兩偽府聯會無甚結果而散組織新政權問題未有議決今後該兩偽府聯會或將解散
page 2	薛岳將軍施政方針以民生史觀為施政張本
page 2	贛我軍數路分向南昌疾進我軍續向九江挺進在西南郊與日接觸
page 2	皖南沿江我開始反攻鄂中我軍向潛江推進鄂南湘北我繼續克復據點
page 3	雙方艦隊大舉增援
page 3	英未向烏提出抗議
page 3	中國藝展在蘇聯二
page 3	美洲各國極為關懷
page 3	英國海軍論功行賞
page 3	英德公使態度緊張
page 3	阿拉善旗加緊掘鹽
page 3	瑞典著名航空家投入芬蘭空軍參加芬軍作戰
page 3	意外相演講意國準備戰爭意國權利若受到影響不惜以國運作為孤注
page 3	英國人民同購買力仍強倫敦金融界安定
page 3	中立國輪船賃英可獲重利
page 3	蘇芬兩軍各線均有劇戰柏三姆已落蘇軍之手蘇坦克車被擊毀多輛
page 3	美國副總統參加下屆大選與羅斯福爭選
page 3	閩交通躍進閩渝線已完成該線長二千六百餘里十天內可由閩到重慶
page 3	專科以上畢業生教部設法安置
page 3	日輪山陽丸裝德貨由鹿達旦回國該輪此舉破壞聯軍封鎖政策料係刺探聯軍實行封鎖程度
page 3	南大西洋醞釀二次海戰被困德艦準備衝出港口雙方軍艦雲集南大西洋
page 5	某集團軍組織成立
page 5	委出各游擊區司令
page 5	強化雷州半島防務
page 5	久隆墟前激戰又起
page 5	深圳等處日軍最近未有多量增減擾寶太路偽軍已調江會南頭附近已無日艦拋泊
page 5	潮陽新會恩平三縣易長
page 5	戰區司令部通令處置日軍骸骨辦法以博愛仁義感動日軍
page 5	日機連日飛擾粵北各地
page 5	惠博莞寶四縣會議調節東江糧食登記積穀封存限制購運預防奸商偷運資日辦法
page 5	西樵淪陷區災民慘狀游擊隊與偽軍戰
page 5	國立華僑中學在滇成立
page 5	南路行署處理公務辦法省府訂定實施
page 5	文藝協會曲江分會成立
page 5	推行合作事業建廳派員駐各縣
page 5	中山維持戰時民食防止日軍利用人民採購江會睦洲連日戰事仍在沉寂中日封鎖珠江西江掩飾抽兵南犯
page 5	中山沿邊日偽情況
page 5	江會睦洲戰事仍寂
page 5	珠江西江兩處封鎖
page 5	粵南劃分兩大游擊區我軍事部署完成兵力加厚實行分區作戰分段合圍各游擊區司令經已委出日犯久隆墟遭我軍痛擊
page 7	弄　失慎竟成巨災
page 7	數十茅寮化為灰燼
page 7	難民數百亟待救濟
page 7	醫務局勸市民種痘各公立醫院均免費贈種
page 7	通告
page 7	本港
page 7	九龍
page 7	新界
page 7	婦女慰勞會買物會昨閉幕
page 7	孤軍承製冬衣歡迎各界光顧
page 7	尖沙嘴區自衛團昨成立
page 7	警察拾獲棄嬰
page 7	兩匪截劫少女刺傷一人遁去
page 7	新界農品展覽明年在粉嶺舉行
page 7	上市暫緩改建
page 7	獻劍暨慰勞將士大會今日開始徵募慰勞金不設捐冊由各界自動捐獻義款全數獻呈蔣委長支配
page 7	酒店職業工會為將士募寒衣
page 7	少婦服毒獲救
page 7	野狗噬傷印人
page 7	喬治五世公園明年可開放
page 7	深水埔石峽尾村難民寮數十間昨被焚弄膳失慎火乘風勢竟成巨災數百難民無家可歸亟待救濟
page 8	登打士街發生大火
page 8	廣度道上炸斃多人
page 8	彌敦道兩路人中毒
page 8	甘肅街亦落毒氣彈
page 8	演習成績今晨公布
page 8	香　的警衛力
page 8	大新公司竊案警方請自衛團協助查緝
page 8	英戰時救濟會開游藝會籌款
page 8	國際杯初賽國軍旗開得勝四比二挫愛隊獲複賽權石金　開兩度北華惠堂各建一功
page 8	籃聯會昨開代表會議公開女籃賽週末開始參加者共六隊採雙循環制
page 8	籃球消息兩則
page 8	本港第一次白晝防空演習之逼真在油麻地繁盛區域分四處舉行演習成績防空總監決今晨公布
