page 1	論英法之戰略
page 2	滬西情勢緊張美亞洲艦隊總司令答特大將昨午非正式巡示越界築路區
page 2	滬西事變經過
page 2	美聯社記者視察湘北戰地山嶺重疊誠我軍有利戰場民眾受日軍殘害亟圖報復
page 2	蘇北我軍克上岡鎮斃日軍數十名
page 2	上海又來和平之謠重慶方面絕對否認日代表來當予逮捕
page 2	桂臨參會定十二月開會
page 2	我沿江炮兵邀擊日艦鳳陽丸中彈沉沒
page 2	真理報發表蘇聯對華政策仍不變關于傳蘇向我提出各項要求一節純係同盟社造謠圖破壞中蘇友誼
page 2	教部選擇良歌舉辦廣播歌詠
page 2	英法兩國將貸我國鉅款同時對土亦實行信用貸款總額為五千三百五十萬磅
page 2	晉省戰況
page 2	銓聚部設省區銓聚處
page 2	我軍猛攻宜興便衣隊一度入城
page 2	我軍夜襲龍潭擊斃日軍百餘獲軍用品甚多
page 2	基塘白沙日軍被我襲擊
page 2	南路慰勞團由湘抵筑
page 2	新會一帶我軍不斷出擊已殲日軍二百餘
page 2	長江湘河水降華中年內或無大戰草鞋嶺附近我日激戰鄂南我軍克復翔鳳寺
page 3	芬蘭財政甚為穩固無須向人借債
page 3	芬蘭願與蘇聯實行互讓
page 3	孔院長在中樞紀念週報告內政外交之演變歐戰發生於我並無不利影響湘北大戰中國復興已兆先機
page 3	西籍刺客謀刺托勒斯基
page 3	羅斯福為英祈禱表示英美國交親密
page 3	日本企圖改善日美關係野村擬在此一星期中與格魯作非正式談判
page 3	德空軍兩度襲擊英倫一星期內英倫海岸防空部隊共擊落德機十三架
page 3	德反封鎖英國等於自取滅亡拿翁當日曾嘗試失敗希特勒今將步其後塵
page 3	美孤立派領袖波拉氏攻擊英國大使聳動美國取銷禁械條款
page 3	蘇與立商紅軍開入辦法
page 3	德人養馬牛豬要領取糧食照農民所養不在此限
page 3	英國武裝輪船擊退潛艇
page 3	孫輔丞捐資興學國府明令嘉獎
page 3	荷蘭護航決不借用外艦
page 3	陳留美教會被暴徒所搗亂
page 3	史太林答覆希特勒拒絕軍事援助得留其對英對美之通商自由權
page 5	反攻睦洲一度佔將軍山
page 5	九江日軍又佈空城陣勢
page 5	江會戰情最近已甚沉寂
page 5	中山安謐三灶日偽頻調
page 5	南頭深圳等地日偽軍情形之調查連日軍運頻仍各地加建砲壘
page 5	花縣橫潭偽軍倒戈向我請降反正者多東北籍人
page 5	一六兩游擊區籌設傷兵醫院一設石岐一設小欖
page 5	菲航空捐達四百八十萬
page 5	韶四行內匯審核處匯款辦法
page 5	西江我軍連日出擊我機飛前線助戰河口西南岡根日陣多被毀
page 5	第六區團隊從新調整
page 5	連日江會戰事詳情我已收復各重要據點日我雙方積極增兵劇戰將展開
page 5	新鶴線方面
page 5	向會城方面
page 5	天祿鄉戰事
page 5	粵財廳稅警增防中山
page 5	台山愛國之士捐巨款製棉衣
page 5	二區游擊隊夜襲高塘
page 5	汕頭近況
page 5	九江河面日軍艦已他駛
page 5	我便衣隊襲擊兩龍日偽
page 5	睦洲日兵調援江會我團隊一度佔領將軍山九江日軍圖用空城計江會戰情沉寂中山無事三灶日偽頻調廣州增援
page 7	出席名單
page 7	會上言論
page 7	反對理由
page 7	討論會務
page 7	流浮山難民寮港政府限七日內折卸難民昨聯向華商總會呼籲郭泉決代請當局收回成命
page 7	日艦大焚漁船三日內竟焚廿餘艘被害漁人尤難統計
page 7	開埠紀念郵票港政府將寄英印製
page 7	昌降堂鹽館捐五千元賑災
page 7	女新運會會議
page 7	歐亞公司港渝班機復航
page 7	華商會反對徵所得稅已舉行出負責人具呈政府提供意見
page 8	樓上住客多係難民
page 8	積存籐絲突然著火
page 8	重要文件化為灰燼
page 8	全座樓宇燒至通頂
page 8	當局將隨時限制菜蔬肉食價格現不實行純為利便商人營業商人宜公平交易免自討煩惱
page 8	偽幣案昨判決李偉森入獄四年
page 8	私藏無線電機被重罰六被告共罰款萬六千元
page 8	駐港荷領兼理德僑事務
page 8	乍菲道命案疑犯詳臬定讞
page 8	囚犯陳錫林被殺案高級法庭昨日提審被告文水否認有罪
page 8	菲島副總統奧斯美那過港
page 8	港星女子籃球征菲隊定月底出發一行十四人由胡好夫婦任領隊
page 8	傑志球員黎達才年內不得出場因犯蓄意踢人之罪
page 8	美人魚嫁杏有期
page 8	砵　乍街昨午火警四層高舊樓全座被焚樓下為商店樓上住客多屬難民火勢蔓延極速細軟亦不　攜走
