page 1	日趨嚴重之中日交涉
page 2	滬日水兵強搜華界警署
page 2	日方否認英致牒日政府
page 2	鈴木表示決辭侍從長職
page 2	桑島抵滬定期明日晉京
page 2	廣州成都漢口報界響應京滬報界宣言解決中日外交之途徑端在日本之誠意反省
page 2	宋哲元在津晤田代商談經濟問題經過開採龍煙鐵礦修築滄石路等我方堅持接受投資拒絕合辦
page 2	陳誠昨抵粵後即飛邕天氣惡劣中途折回李白聆陳赴邕特電歡迎
page 2	長沙日領館藉事生端又向何健提出抗議謂上月日領館門外發現炸彈為過路華人發覺已靜中移去
page 2	中日交涉問題將有新開展蔣委員長返抵首都日東亞局長桑島昨午抵滬桑島明日晉亦面川樾傳達對華外交新訓令蔣委員長是否直接身當交涉之衝現尚未決
page 2	日相廣田奏請對華政策
page 3	共產黨大會各領袖　表演講
page 3	英法西斯黨在倫敦遊行與共產黨發生衝突警察五千人到場開槍彈壓結果傷多人被拘六十九人
page 3	林主席在國府紀念週演講和平統一與國家復興
page 3	中央銀行取銷佛郎虛價但匯價仍繼續降落
page 3	桂省府遷桂林後開始正式辦公
page 3	廿一屆國勞大會海事會兩會我國代表趙班斧之演詞提案上我國海員與我國海員應受平等待遇協助我方取締包工制及押櫃金制度
page 3	大會演說詞
page 3	國府任免命令
page 3	班禪電告離拉卜寺西行
page 3	颶風三日晚襲擊北庫頁島房屋倒塌逾千橋樑流失十餘
page 3	國府明令褒揚蔣翊武
page 3	財部進行整理兩種債務
page 3	閩建廳擬在莆田進行設水電廠將來建築成功可供數縣電力
page 3	中暹協會積極籌備進行僑界聞人踴躍入會
page 3	蘆鹽輸日首批即將啟運共四零零噸
page 3	法經濟部長勸各國減關稅
page 3	加州議員報告日本毒化中國實欲假手此項毒品完成征服亞洲野心
page 3	馬麟昨抵西安據談青省近安謐
page 3	西國叛軍勝仗已佔皮德拉比斯城將圍首都
page 3	新西蘭女飛行家由英飛抵馬舍將飛澳圖創新紀錄
page 3	德國農民收穫節各地均有慶祝希特勒對農民演講推行四年經濟計劃
page 3	意內閣決議意幣實行貶價其外匯率每一金鎊等於九十二個意幣
page 3	英美決定增兵遠東
page 3	華北日軍複決要案
page 3	日圖暴力扼我喉舌
page 3	同謀策動青海獨立
page 3	華北將領團結抗日
page 3	抗日將領將起重用
page 3	法共產黨與法西斯黨在巴黎同時舉行示威大會兩黨參加者各逾萬人警察到場維持秩序法西斯黨人謀闖入共黨會場為警察制止事後計被捕者約一千三百人
page 4	體協會主辦獻機募款足球比賽十月十一日在加路連山舉行世運隊對華聯隊陣線已排定
page 4	李惠堂參加世運歐遊雜感四
page 4	志誠小球隊對克英
page 4	傑志隊決晉省比賽今日五時在灣仔對中正隊
page 4	摔角競賽黃伯長戰馬嘉星今晚八時在青年會體育場
page 4	薄海臚歡之國慶日舉行省港足球表演賽飛將軍出征四騎士迎戰
page 5	粵行營參謀長陳誠昨飛抵廣州
page 5	財廳公佈清理城市公有土地規則
page 5	唐海安辭職後最近之行蹤傳扣留不確
page 5	粵整理金融公債抵押現款之續訊宋廳長與財長面商現已商妥週內南返
page 5	軍事攷察團北上余總司令昨餞行
page 5	四路軍分區設立調查專員
page 5	行政專員師旅長昨日宣誓就職記
page 5	中央軍行將撤峻留粵部隊奉命分防十八軍長羅卓英北返所部由行營直接指揮四路軍續派兵駐南路
page 6	省銀行昨委海口支行主任
page 6	第一區昨日舉辦初選之情形廣東綏署之訓令
page 6	行商請撤海味捐
page 6	又一個失業可憐人闖進分局妄報強擄疑係神經受病所致
page 6	糖商聯函拒絕參加統制糖委會
