page 1	整頓粵省煙禁
page 2	日在華北陰謀可慮王英張萬慶等匪匿津日租界日軍部對宋最近行動極關心和知下週赴平訪宋有所表示
page 2	刺汪宋案審訊終結定十九日下午宣判旁聽者依然擁擠辯論極精彩
page 2	林主席離湘赴鄂民眾十餘萬人整隊歡送
page 2	密雲不雨艾登演述西亂不干涉問題謂有賡續貫澈之絕對必要但外國繼續援助內戰當事任何一方則其他各國自可重行考慮所操態度
page 2	陳中孚搭長城丸東渡
page 2	英航空母艦舉行下水典禮
page 2	食白果中毒
page 2	川樾月內返日報告駐華任務駐滬總領河相返日
page 2	滬答紗廠工潮日內可望解決
page 2	日傳中英合作程序中英合作佈置華南防務英以軍火與防毒商具供給中國貸款二千萬鎊與中國開發利源孔特使發言人對此堅決否認指為純屬幻想
page 3	蒙德婁國際會議開幕埃及請撤銷領判權會議結果決定設兩委會負責研究進行我駐瑞士使署亦派員以私人資格列席
page 3	陳張謁宋請示開闢中日航線問題及修築滄石路事宜
page 3	日去年在華投資達一千餘萬圓突破投資新紀錄
page 3	意大使迦拉發表談話意對遠東外交政策並無變更惟對於經濟方面丞謀有以發展
page 3	內部派員視察地方行政全體人員分為四組分途出發按區視察
page 3	全國美展二期展品陳竣於昨日起照常參觀
page 3	鐵道部籌辦漢粵直達通車
page 3	沙王離京赴杭轉赴普陀進香
page 3	教育學會昨舉行理事會
page 3	貝克訪劉湘商談振濟用災辦法
page 3	林柑　七月間召開特別議會討論實施革新政策
page 3	早稻田足球隊啟程來華比賽
page 3	日在華設紡織廠不利我國勞工朱學範發表談話
page 3	閩南鼠疫甚熾
page 3	京滇週覽團昨由贛抵長沙學生萬人夾道迎候
page 3	加藤發表談話兒玉任駐華大使此舉恐難成事實
page 3	程天固今日首途南來調查粵省糧食實況
page 3	西叛軍封鎖海岸後英陷進退維谷地位鮑首相勸商船暫勿入港　蹈危險辛克萊指摘　府不加意保護　輪
page 3	準委會　屬四行庫監派定
page 3	滬市突發狂風
page 3	醫院考察團考察完竣返京
page 3	津浦路警扣留走私人貨價值在萬元左右
page 3	粵教廳工作教部表示　許
page 3	滬越界築路捐稅問題已得解決辦法雙方已將草約作非正式簽字
page 3	北大英語系教授顏鶴齡因病逝世
page 3	國際要聞縮輯
page 3	津市金家窯大街發現明代銅砲
page 3	平文教團體昨歡宴傅作義
page 3	周鈺趙鐵章答拜芬蘭公使
