page 2	李寶祥被縣議會彈劾
page 3	沈鴻英向蔡成勳索餉不遂將據贛州與蔡脫離關係
page 3	奉天代表鮑啟元與黎元洪王寵惠磋商取消自治辦法畀張作霖　統轄二省軍務名義東一省自治由憲法解決鹽稅月撥二十萬前欠奉軍費由財部另籌
page 3	吳佩孚八日電黎元洪對內閣主留王寵惠否則請顏惠慶擔任對財政不與中央為難主促成財政會議對奉主防反對張作霖督理東省善後
page 3	近傳王寵惠組閣說甚盛張耀增盧信將出閣另有位置孫丹林張英華均將正式入閣
page 3	吳佩孚函陳炯明論聯治之非外交不可分富饒省可自給受協省勢益偏枯由分而聯則順本合而分寧得謂聯最後贊成中央地方分治
page 3	聞李烈鈞十日晚乘輪到漢口寓日旅館擬即赴滬
page 3	張英華擬發之特種短期庫券十兆以俄庚子賠款為擔保聞已提出閣議
page 3	八校宣布高恩洪罪狀後黎元洪已派員向各校疏通各校堅持非將欠薪發清及按月經費有著不肯停讀書運動
page 3	張伯烈勸民八議員勿走極端俟國會閉後雙方討論以法理解決
page 3	王懷慶因其姪世榮案已辭職
page 3	孫傳芳九日電川省聯軍內有意見川鄂江南交通仍阻現已電劉成勳警告如不回復擬取必要手段
page 3	李寶祥被縣議會彈劾之詳情
page 3	二陳劃分軍權之同意
page 3	湘傳陳嘉祐與葉唐兩部仍相持於祁陽趙恒惕加派劉　賀耀祖往助中途被宋鶴庚部所阻湘西陳蔡兩旅亦電請趙退位醲攸又有討趙軍出現總司令為唐振球
page 3	京漢路南段工人聞軍警因粵漢罷工殺傷工人及屬數十人十一日通電請撤軍警懲局長撫恤殺傷容納要求限十六小時答覆否則京漢工人取一致行動
page 3	張英華日前呈請辭職近因各方面慰留現已取銷辭意經於七日下午四時就代理財長部務職王寵惠近因財政當局負責有人態度逍閑
page 3	最近盛傳奉直再戰之說某方　消息謂吳佩孚現趁奉派戰備未妥正在進行先將其討平之種種計劃吳佩孚曾請黎元洪下令取回奉派扣留之車輛張作霖倘不服從則擬實行討伐並聞任命那彥圖為蒙古宣慰使亦為吳之計劃擬令其將軍隊由熱河方面抄擊奉軍背後云
page 3	財政部消息代財長張英華近將發行一千萬元特別公債券以俄國庚子賠款之一部擔保本年十一日開始償還利息　分實收八五期限三年此種計劃必須要安格聯應允現在磋商
page 3	某方面消息六日吳佩孚開軍事會議議決一戒備奉系二希望組織超然內閣三通電力排聯省目治
page 3	八日胡漢民由閩抵滬其談話云余與許崇智等部北伐軍進攻贛省因陳炯明之變乃與許軍回師韶關因該方面之戰況至此地步故復入贛目下許軍在毘連閩境之瑞金會昌長寧方面云云胡氏由該處赴閩昨乃抵滬不日將往北京觀察政治
page 3	某方面消息許崇智經率其所部抵汀州現與反李派王永泉代表在延平協議重要問題李厚基現已派兵戒備該省形勢現為各方面所注目
page 3	梧州電輪被劫之西訊
page 3	木槓中之屍骸破露
page 3	爭水喉打架案判結
page 6	政局現象略佳之外報
page 6	湘南已無重大問題
page 6	記北京立法行政兩機關之武行劇
page 6	川戰已告結束
page 6	工務局年報紀略
page 6	清淨　年報撮要
page 6	籌賑之熱誠
page 6	華民政務司年報
page 6	銅錫昧來歷
page 6	搶耳環案
page 6	截獲肥兒原料
page 6	被解未滿期私回
page 6	赤身沐浴被罰
page 6	皇仁書院演劇賑災
page 6	更正派息
page 6	以杯傷人被罰
page 6	汕頭鴉片煙被充公之數
page 6	銀價
page 6	途有臥屍
page 6	毆打電車查票員被罰
page 7	增城縣會請禁煙賭
page 7	南韶連督辦以梁鴻楷充任說
page 7	薩鎮冰報告到汕
page 7	陳炯明再敦勸唐紹儀出山
page 7	高廉軍事要聞
page 7	省署辦事開夜工
page 7	廣西盜風尚熾
page 7	請免加抽建築照費之呈覆
page 7	錢糧釐稅均收省處之訓令
page 7	金鍾聯請葉舉返省
page 7	新會匪患
page 7	陳德春焚搜民軍機關
page 7	請扣留陸豐法官
page 7	煤炭工潮近誌
page 7	佛山米業餅行相繼罷工
page 7	善界北江檢尸之報告
page 7	西關又有劫案
page 7	公共運動場之進行
page 7	河南商團獲匪
page 7	嶺南學校派員赴潮汕開墾
page 7	徵集試行新學制計劃及情形
page 7	瑣聞一束
page 7	河南匪訊
page 7	星架坡捐款賑汕災
page 7	小亞細亞戰雲
page 7	美人報告中國內情
