page 1	美對遠東應取之步驟
page 2	大沙坪崇陽間公路被我破壞
page 2	宜昌對岸日軍全部被我肅清
page 2	高平日軍一部進犯楊村不逞
page 2	宋子文酬酢忙兩度謁羅斯福會談料係進行信用借款
page 2	桂南軍克西鄉塘日煙向南寧潰逃
page 2	南僑第二分團行抵桂南向張發奎獻旗全部任務完成
page 2	漢奸孟憲普罪滿被殺
page 2	吳部長痛斥有田廣播希圖利用國際不安之局遂其獨霸太平洋之野心
page 2	滇各縣加強戰時工作
page 2	南鄭士紳捐助軍人家屬
page 2	日機襲西江一機被我擊落
page 2	蘇北甘霖人心安定
page 2	滬工部局移我卷宗俞市長嚴重抗議
page 2	葉楚傖朱家驊歡迎馬賦良等
page 2	烏拉圭人心興奮力主取迅速步驟以應付納粹威脅
page 2	英報評論對西態度不磨再取安撫政策虛偽中立不應尊重
page 2	日傳英美對太平洋商訂海軍合作計劃英美艦隊共同應付太平洋問題將星洲夏威夷等軍港共同使用
page 2	有田宣言惹出的煩惱
page 2	英決強硬答覆日本
page 2	豫東我以破竹之勢衝入亳縣克朱仙鎮開封殘餘日軍仍在我痛殲中
page 3	史汀生發表對東亞時局之意見書相信美　最大危險係在東方美若徒靠消極防禦實難自保
page 3	日本虎視下之荷印石油
page 3	日陸外兩相互商實施外交政策煙俊六解釋軍部主張並與米內討論此問題
page 3	德機襲擊基倫在東南一帶村落投彈
page 3	海長諾斯主張對日不應退讓
page 3	德大批軍用品運到羅馬尼亞羅將在重要工業中心區四週配備充足之高射砲
page 3	羅斯福下令組織一統制局一切國防所需物質非得特許不能運出
page 3	英德戰爭僵化醞釀和平談判英尚未有意與德言和
page 3	傳匈軍已開入羅境
page 3	哥立　號輪抵岷尼拉香港疏散人士經已安全抵埠
page 3	電影女明星加萊爾失蹤
page 3	開戰以來意潛艇被擊沉共有十三艘
page 3	料英已取強硬態度或將拒絕日本要求星洲下令加緊軍事防禦組織遇心要時英決盡力防守香港
page 5	日在白蕉封鎖情況
page 5	某軍要談今後防務
page 5	西江下游各地情態
page 5	順德偽縣長串同日　積極榨取縣內資財大小營業均受統制停業商店多被佔有
page 5	經濟侵略與軍事並行日貨推銷之新計劃在自由區暗殺機關積極攫取我方資源
page 5	財部貨運稽查處在粵成立往來孔道均設分支處
page 5	粵省府與四行簽訂一千萬農貸約　樂昌等七縣為專放區
page 5	戰區司令部通令保護民船訂定規則令所屬遵守
page 5	仁化陽山縣長易人
page 5	日偽搜括四邑兩陽糧食我當局已嚴防
page 5	新造偽軍投誠
page 5	省府李主席開糧食座談會糧食問題謀根本解決
page 5	侵踞南頭深圳日軍封鎖邊界情形續誌陸路封鎖之各路線強拆民房取用磚木偽軍多改裝逃走及投降
page 5	陸路之封鎖
page 5	日偽軍反戰
page 5	燒屋為恐嚇
page 5	桂省府籌設高級農業學校
page 5	廣州偽軍被日軍監視某軍要談白蕉陷後之四邑防務日軍突又進兵婆蘿島
page 6	日犯馬村楓圍被挫
page 6	我軍兩路再攻神岡
page 6	夜襲大陵痛擊日偽
page 6	廣西省府取締桐油走私省外桐油過境辦法
page 6	新縣制在廣東曲江推行後嶄新姿態
page 6	粵全省商聯會最近進行組設各區分事務所暨戰時商運促進會
page 6	桂省府提高戰區縣長權限
page 6	呈報處分人員表冊務須節實詳明粵省府飭屬知照
page 6	日軍在黃埔增設軍用倉庫運輸甚忙多在深夜
page 6	粵北連日激戰我再攻神岡夜襲大陵衝入敦和等地殲日兵百餘日圖反撲犯馬村楓圍不逞
page 7	本港軍人均表示擁護
page 7	第一次歐戰建立功勳
page 7	婦女工作受疏散影響女防空協會宣佈結束今後事務由空署女部負責婦女運輸補充隊停止組織
page 7	防空婦會宣佈結束
page 7	婦運輸隊停止組織
page 7	港府華職工聯會定期行成立禮第一屆職員已選出
page 7	日封鎖本港收效甚微華界邊境日軍不滿三千昨日仍有大量蔬菜運港
page 7	鄉人出入仍極自由
page 7	日領宣佈封鎖目的
page 7	華商對時局表示樂觀演劇籌賑運動繼續進行
page 7	美機變更班期
page 7	義勇軍訓練秩序略更變
page 7	兩日得雨統計二寸八分四厘
page 7	難民營又增加千餘人因深圳淪陷所致
page 7	強化香港防禦軍事諾爾頓月底飛港履新史美昨去電致賀港軍人表示歡欣自盧押後軍人主港政氏為第一人
page 8	港府擬修正登記法
page 8	美僑多數無撤退意
page 8	葡屬英籍婦孺登記
page 8	首批婦孺抵岷尼拉
page 8	護送博羅邑僑返鄉
page 8	港澳輪船乘客擠擁
page 8	次批婦孺明日離港
page 8	兒童保育院粉嶺難童疏散經過百餘嬰孩送入意大利教堂餘暫由深水　某女校收容
page 8	爭領遺產案昨和解雄雞代娶亦作合法婚禮原被告皆有承受遺產權
page 8	華資銀行會義討論必要時撤退辨法
page 8	大批魚菜運港
page 8	一周間之時症痢症仍未減少
page 8	少婦舟中產子
page 8	梅溢夫人逝世
page 8	本港洋行多改現金交易
page 8	截劫案昨詳臬
page 8	港府決完成疏散計劃準備搜查逃避疏散之英籍婦孺美僑多無退意滬澳輪客仍擠擁美總領事謂絕不相信局勢轉壞
page 10	宵來公開籃球賽３６比３５青甲克廣大另一場銀紅挫華僑乙組記者擊敗青白
page 10	體協會發出挽留函後退出團體均未有置答協會下次會議加以討論各部副主任決暫緩選舉
page 10	中華會首次水藝改期週末舉行
page 10	棟勳盾小型球賽昨開代表會議議決度身時間
