page 1	遠東的安定勢力
page 2	日如侵犯越南美即加緊禁運
page 2	節約建國儲蓄團限期十五日以前完成孔副院長通電全國切實執行
page 2	軍委會發表一週戰況九月一日至七日
page 2	晉冀與豫
page 2	桂粵方面
page 2	鄂湘方面
page 2	皖贛方面
page 2	邕龍路我向那容猛擊上思附近日軍受重創
page 2	行政院議決要案
page 2	魯日軍連日蠢動均經我軍擊潰泗水日照日軍竄擾均為我痛擊我　襲譚家坊朱劉店均獲戰果
page 2	滬英總領事往訪三浦傳欲恢復　日聯絡
page 2	蘇北日軍蠢動被殲三百
page 2	怒濤如吼暴風吹襲閩海日艦一艘運險失蹤日機在閩東各海面低飛偵察水雷盪斷鐵練兩顆突然爆炸
page 2	美共和黨選舉在梅恩州勝利
page 2	粵青年團發動從軍運動
page 2	襄安附近殘日肅清
page 2	節建郵票雙十發行
page 2	朝鮮義勇隊由築抵渝
page 2	對日假道越南要求越總督提出反提案海南島領水界集合大批日艦我有充分準備應付此種局勢
page 3	英皇親視災區哀悼人民受苦
page 3	士他令論述美國海軍今後動向一
page 3	倫敦城內災區磚礫高至廿尺
page 3	英機襲歐大陸各地軍事目標
page 3	法未淪陷區糧食原料被德強奪百分之五十八須供給於德國
page 3	英國難童一批安抵紐約
page 3	美各種證券市價大跌係倫敦被襲影響
page 3	加拿大向美徵募志願空軍應徵者二千餘名獲選者僅三百名
page 3	駛英各班日輪奉令暫留葡京
page 3	印度中央公司獻一噴火式機
page 3	英軍突入意屬東非
page 3	芝加哥華僑獻購機款美金五十萬元
page 3	首批美驅逐艦交付英國
page 3	粵當局進行作大規模墾殖
page 3	澳洲人民募捐救濟倫敦難民
page 3	大批德意俘虜解赴澳洲羈押
page 3	意神甫巴勒斯在陝西被炸斃
page 3	新任駐蘇日大使建川發表談話政府外交政策認為與之相合
page 3	美加聯防局舉行二次會議聯防計劃有滿意進展
page 3	德向法要求糧食
page 3	制空與制海
page 3	越總督對日反提案
page 3	英倫海峽英德作劇烈砲戰德機繼續向倫敦轟炸英機亦炸擊德軍砲台
page 5	省振會博羅墾區近況中外人士均予協助成績尚佳首期墾殖四百畝八月底完成
page 5	重量炸彈
page 5	天河白雲
page 5	模範軍人黃振坤忠勇事蹟
page 5	嶺南大學農科遷韶消息
page 5	台山糧調會辦米平糶近訊
page 5	雲照坤談整理廣東省銀行業務加強人事管理實施輪迴訓練推行省券吸收僑匯獎勵存儲
page 5	桂南日敗兵調抵中山整理一部補充完竣昨已下艦他去中山仍封鎖省澳輪未復航
page 5	日軍調赴香洲下艦
page 5	岐關路日軍續撤退
page 5	桂制定借款辦法救濟各縣財政以利一切政務之進行
page 5	新鶴各地仍有小戰
page 5	粵北紀念九九
page 5	我空軍連日飛襲佛山石灣日陣及日倉庫被炸損失甚鉅東增寶日軍續調返廣州增防
page 5	我神鷹隊
page 5	粵保安司令部成立參謀長麥務之詳談改組經過
page 6	全部撤退
page 6	運購貨物
page 6	陳　庚　在韶參觀建設粵各界開會歡迎盛況李席勉僑胞協助祖國抗戰陳等已於七日晚離韶關赴贛
page 6	李主席致詞
page 6	陳嘉庚演說
page 6	仍然暗鬥
page 6	各地推進
page 6	南洋之情況
page 6	嶺東我軍實力雄厚日軍準備縮短防線日前日　在汕頭市秘密集會龍湖日軍連日炮轟東溪東岸
page 6	日　秘密集會
page 6	槍傷礦工
page 6	潮郊小戰迭起
page 6	日炮轟急水墟
page 6	達七百萬元
page 6	有兩點意見
page 6	侵寶安日軍陸續撤退深圳准恢復購貨入口我團隊乘時向各地推進
page 7	衛生局防霍亂計劃
page 7	九龍食井限期填塞
page 7	港九各橋校救濟留港失業青年慨捐免費半費學額四百餘名以公開考試方式取錄清貧生
page 7	日機炸渝影片將運美國放映
page 7	粵會計員考試港區改期舉行
page 7	商會值理月會
page 7	旅美僑胞踴躍認銷航券僅三藩市一埠可得美金百餘萬陳慶雲等現正向加拿大勸銷中
page 7	去月水務報告港九各塘有水激增
page 7	阿爾諾昨抵港
page 7	汛美機未抵港
page 7	漁船貨艇停業者五千艘港府牌照費收入銳減
page 7	婦女團體徵求傷友會又匯出數萬元兩次共匯卅一萬三千餘元再催未繳款團體從速繳報
page 7	九龍關新稅費
page 7	本港海水有霍亂菌市民游泳宜出港外市政衛生局昨正式通告九龍食井亦將一律填塞
page 8	工合港協會昨日會議艾黎在菲募得十餘萬元昨已決定該項捐款用途
page 8	三賊圖劫被捕
page 8	軒尼詩道破獲大賭窟賭徒數十人被重罰疑犯七名押候再審
page 8	竊案疑犯提堂失主為蔣光鼐媳
page 8	代督今日視察警政並巡視各露宿貧民救濟會
page 8	限于經費無法擴展本港保良局有人滿患留局婦孺竟增於三百餘人一部份已　送難民營收容
page 8	限於經費擴充極難
page 8	四萬尺地種植蔬菜
page 8	旅客報失鉅金
page 8	兩學生被截劫
page 8	留局婦女歡迎僱用
page 8	廣九路英段昨恢復直通車路局嚴防再有危險發生
page 8	傳省澳輪將復航昨日仍無菜蔬到港
page 8	茗芳茶樓
page 8	兩個茶客跳樓一死去一重傷
page 8	善款收據免貼印花但須向印花處領許可證
page 8	李右泉昨大殮
page 8	私藏危險藥品一女郎被拘控
page 8	雲香茶樓
page 8	警探搜查歹徒捕獲疑犯一人
page 8	賈乃錫對美記者團談英政府決心保衛香港本港形勢固若金湯足抵禦外侮縱敵人採取封鎖政策亦不足畏
page 10	港菲埠際游泳賽定期下月舉行分男女兩組角逐
page 10	鐘　週年水藝今夕舉行秩序豐富
page 10	星島動程返港
page 10	籃球消息昨日兩　夏　戰績
page 10	公開籃球頒獎有期
page 10	澂江明日集中練兵
page 10	特別銀牌下週揭幕
