page 1	歐洲均勢與民主精神
page 2	我克通山部繼續西追殘Ｘ
page 2	新會Ｘ海陸空向我猛犯未逞
page 2	臨汾一帶連日發生激戰浮山方面與我對戰中同蒲路南段多被破壞
page 2	傳Ｘ在召集中準備開粵增援汕市人口大量疏散幸市面情形極安靜
page 2	蘇偽省長陳則民遇刺未中其　福民右手輕傷
page 2	我沿京杭道三路反攻南京另一路則向吳興進攻一路則續向杭州推進
page 2	蘇北我軍包圍淮安城魯南我佈成弧形陣線會攻徐州在邳北趙台支路激戰斃Ｘ甚眾
page 2	蘇聯主張擴大反侵略凡有畏懼被侵略國家舉行國際會議共謀對抗
page 2	Ｘ在粵省收買金銀由正金等三行負責
page 2	因歐局緊張日五巨頭會議會商應付辦法
page 2	Ｘ機由桂飛滇轟炸侵入越南領空法　對此異常憤慨
page 2	Ｘ機濫炸芷江蔣夫人所設戰時保育院中彈院內兒童幸未受傷
page 2	豫北我軍不時出擊獲勝我襲擊盅窯混戰澈夜官庄之戰我以少勝多
page 2	漢陽戲院被人投擲炸彈傷斃華人數名
page 2	桂行營派中赴各地視察民眾動員
page 2	福州外僑產業多被Ｘ機炸燬外輪多艘被搜一艘押往台灣
page 2	南昌被我三面包圍Ｘ犯長沙計劃愛擊敗贛我軍包圍高郵逼近大城
page 3	英財相西門將報告新預算全年預算約十二萬萬餘鎊國防經費超過全額三分一
page 3	南美阿根廷發生政潮偵探長被槍殺
page 3	羅外長抵倫敦進行重要談話羅國外交動向將由此決定美國人士對此舉極為注意
page 3	英對德採懷柔態度企德懸崖勒馬寧採談判方式不以恫嚇為事英駐德大使漢德森德由英返德
page 3	法哈佛港碼頭區域戒嚴
page 3	埃及答覆德問願受他國保證
page 3	英地中海艦隊紛開東部演習
page 3	郭泰祺演說遠東戰爭有和平解決之徵兆反侵略陣線將由歐伸至遠東可以證明遠東時局有此趨向
page 3	英外相向美廣播演說重申英美友誼
page 3	英大型軍艦計劃現正積極推進英海軍在世界上力量之強大打破拿破崙戰爭以來之紀錄
page 3	德艦一艘抵西餘艦尚在游弋
page 3	巴黎　助伙伕被控蓄意放火
page 3	直布羅陀禁止糧食出口
page 3	旅滬　僑經濟困難自殺
page 3	法界市民力爭懸旗自由愛國份子演說宣傳
page 3	日本東京化學工廠爆炸
page 3	蔣委員長夫婦靈賀太平洋西北會議援助中國及削弱日本亦即所以援助民主國
page 3	白崇禧兼任　綏靖副主任
page 3	上海日領干涉反日規章要求譯報等停刊
page 3	德容克機繼續東飛日本
page 3	全國慰勞總會組織二批代表慰勞團徵募藥品慰勞前線將士
page 3	地政學會五屆年會閉幕選出蕭錚郭漢鳴等為七屆理事
page 3	Ｘ犯海門不逞
page 3	傷愈官兵請纓殺Ｘ
page 3	南國已決定參加德意集團增強德意間經濟合作南匈將成立不侵協定
page 4	馬加士歌舞班再度來港表演
page 4	兩女團募捐訊
page 4	普益商會會議定期改選下屆新職員
page 4	謀殺疑案提堂
page 4	禁止虐畜條例港府將予修正
page 4	港河斑帝航機更改開航日期
page 4	石塘嘴紅　案被告一獲釋一　臬
page 4	廠聯會將改選
page 4	司徒永覺將赴港大演講
page 4	爭生意苦力打架
page 4	江英志住宅失竊
page 4	今為澳洲紀念日
page 4	高陞樓擴張營業
page 4	梁小初抵港談全國青年會積極擴展戰區工作分三十支部救傷施粥中央撥助經費十萬元
page 5	Ｘ昨向九洲山登陸
page 5	東江戰事最近趨勢大會戰將展開軍事重心已轉移福田一帶莞太之Ｘ又揚言犯黃松崗
