page 1	日本之冷靜態度
page 2	英下院討論逮捕日僑事日方行動尚無決定槙原已獲釋田邊俊介拘留松岡已決定向英提嚴重抗議
page 2	美發現奸徒謀破壞美國國防建設在軍艦及飛機引擎投入金剛砂又在工廠鑊爐投入某種化學品
page 2	汪盼近際幫忙成泡影影佐譏笑汪組織為茅屋
page 2	星洲皇家測量官被控受賄受軍事法庭審訊
page 2	日對在華美商務逐漸嚴加　制副國　卿維爾斯現不願有所評論
page 2	英波兩國簽訂軍事協定英貸款於波作波軍維持費波陸軍將形成一作戰單位
page 2	美洲各國使節與羅斯福會談討論美洲安全問題
page 2	美蘇商務談判進行順利將可成立新商約
page 2	日照北王家灘被我克復
page 2	滬馬斯南郵局日以檢查郵件
page 2	澳洲外長麥文評論英德戰事倘若戰事轉入明年英帝國地位佔優勢
page 2	美商船一艘浙江洋面被扣已獲釋放回抵上海
page 2	糧食管理局經已開始辦公
page 2	在滬意水兵大鬧舞廳華探到場彈壓
page 2	在日魏之提線下滬白俄活劇開演
page 2	英機三架擊敗德機四架英倫東南海岸被德機所轟炸
page 2	越南決抵抗日侵略法艦集中越南領海滇緬路恢復運輸但仍有限制
page 3	美上議院以多數票通過征兵法案上議院將運過授 羅斯福動員全國志願軍及後備軍
page 3	滬美亞絲織廠少東毛某被綁
page 3	加轟炸機一隊飛往英國參戰
page 3	駐法尼斯城英領返尼斯城協助英僑返國
page 3	哥爾轄下法軍仍採用法國旗惟增一紅十字架徽號
page 3	一星期內英輪損失統計共十八艘六萬餘噸
page 3	我國運美桐油值千餘萬金元
page 3	蘇國會通令拉脫維亞歸併
page 3	滬英僑關切英日糾紛美日兩國郵船停售英人客票
page 3	本年高考華僑子弟從寬甄錄俾有機會服務祖國
page 3	湘增加戰時生產擴展移墾開荒
page 3	太平鎮鄉人親送子姪入伍始興縣長特予嘉獎
page 3	留待星宿來決定
page 3	所餘幾何
page 3	日本第五縱隊在夏威夷活動
page 3	德意要求土耳其切實表示態度德意希望解決巴爾幹　局以確保歐洲東南部之和平
page 3	德國宣傳準備進攻英倫意方則謂決意長期戰爭
page 3	東京救世軍領袖六人被捕
page 3	滬蘇聯報發行人智利金被恫嚇
page 3	西欠德意債務開始償付
page 3	滬法界巡捕房俄人便探被刺兇手係一華人
page 3	第四七六次政院會議
page 3	汾城附近重創日軍當陽東北日軍陷我包圍浙海日艦砲擊我無損失
page 5	敗類潛入內地活動
page 5	我當局已嚴密防範
page 5	粵南我軍繼續反攻
page 5	某軍要談我軍戰績
page 5	日檢查支部成立廣州灣商人再請弛貨運日艦不斷來往廣州灣海面
page 5	二次請願弛禁貨運
page 5	日檢查員致祭日屍
page 5	石龍日軍突施戒嚴東江日軍之指揮部據探報謂我軍反攻石龍市區風聲鶴唳日兵大捕市民
