page 1	英法土協定成立以後
page 2	傳逆將與工部局談判要求收回越界築路區
page 2	葉挺談新四軍散佈江南一帶隨時游擊日軍防不勝防日軍交通被毀供給困難
page 2	白崇禧談湘北勝利因素官兵上下一致戰地軍民合作運用全面戰術實現全面戰爭
page 2	湘北我軍逼近岳陽城郊武寧偽軍反正參加作戰我向臨湘一帶日軍進擊
page 2	被我生擒日軍企圖營救不逞
page 2	監察院上半年工作成績
page 2	晉南方面我克復府城鎮豫北日軍犯崇義被擊潰
page 2	高安東北日軍被我擊潰奉新西南發生激戰傷斃日軍三百餘人
page 2	我軍進攻石龍收復附近據點擊斃日軍百餘獲步槍數十
page 2	海南戰況瓊山方面收復和舖瓊東方面衝入縣城
page 2	我嚴飭軍紀頒布新軍法律例十一條違者處極刑
page 2	皇寺鎮偽軍全部反正
page 2	杭州日軍極度恐慌各門斷絕交通食糧異常缺乏
page 2	一波未平一波又起滬越界築路區昨又發生劇烈巷戰巡捕大舉圍攻偽自衛隊司令部結果擊斃偽警三人捕去三十人
page 3	德在外交上作積極行動
page 3	英陸軍大臣演講聯軍必獲勝利德軍所用戰略不出三途徑但聯軍方面已有應付方策
page 3	諾滿罕勘界談判經已陷於僵局蘇日雙方決將此等懸案移交于別一代表團交涉
page 3	西線昨日戰情大致無何變化薩爾省會一帶炮火聲寂寞北海方面英艦艇德機激戰
page 3	芬蘭所持政策已得北歐諸國所支撐芬蘭不願與蘇聯太接近否則有違背其中立地位
page 3	美仍募款濟我難民並未因歐戰而中止
page 3	前偽豫省長蕭逆被日軍槍斃漢奸下場又一殷鑑
page 3	英法土參謀談判圓滿結束
page 3	德空軍政策效力甚微因受火力抵抗投彈不甚準確
page 3	蘇駐平津領館並非停閉上海領事召回係為回國述職
page 3	在蘇被捕德人已獲釋放將遣送回籍
page 3	瑞典輪船一艘亦被潛艇擊沉
page 3	榮特喬治力主舉行國際和平會議彼謂此舉並非投降主義只係盡力找尋光榮和平
page 3	美中立法案辯論終結
page 3	中行經濟研究處編製金融報告每日由中央社發表
page 3	川查禁種煙督察團定期下月出發切實督察禁種工作
page 3	于斌主教抵渝報告赴美籌振之經過捐募振款達八十餘萬美金僑胞愛國之情緒極為熱烈
page 3	華盛頓明星報贊成格魯氏演說詞謂其可以代表美人對日態度美國對日本之立場已甚顯明
page 3	各地匯款慰勞湘北將士
page 3	士兵趙國棟捐獎金製寒衣　能可貴足資矜式
page 3	蘇北我軍克復鹽城殘日潰竄上岡
page 3	粵慰勞團抵長
page 3	粵省府組織設計委會
page 3	比政治家齊蘭赴美有所活動探美有無出任調停歐戰可能德意兩國又將開始有所會商
page 5	企圖迂迥白土包抄我軍後方
page 5	馬坭大洞各鄉戰事仍甚激烈
page 5	未能再犯中山我再封鎖金鐘
page 5	傳日艦封鎖北海聲中日艦截搜外國商船北海貨物出入口現尚如常沿海日艦動態之詳誌
page 5	日艦擱淺遭我痛擊
page 5	日機繼續飛炸各地
page 5	北路最近軍訊我攻木棉崖破日軍前線
page 5	我飛機隊到順德偵察中順交界日艦日來相繼離去
page 5	我軍在石龍外圍仍與日軍對峙日　昨擾鹽田
page 5	瓊島我軍再克復東山市
page 5	軍委會壯丁檢閱團條陳改進粵庶政意見省府接納飭各縣市改善
page 5	整飭官方
page 5	二遵守法令
page 5	三樹立民信
page 5	首批考驗機工已赴重慶第二批考驗七十名
page 5	粵參議會籌開二次大會
page 5	省府嘉獎前汕頭警局長
page 5	張炎抵廣州灣談南路現狀與難民救濟革新縣政已收相當成績張氏招待廣州灣士紳代表詳誌
page 5	張氏談片
page 5	施政經過
page 5	吳奇偉令飭各縣協助軍連
page 5	中山商民實行國幣本位禁毫券出口令已取銷
page 5	中山戰利品擬在石岐展覽
page 5	我迫進江會各軍步步為營日圖向白土包抄我軍遭重挫會城附近各鄉戰事仍有發生中山安謐我再加強金鍾封鎖
page 7	本港防空處購到大批防毒面具每具售價二元五角市民可向警署購領
page 7	越華僑童軍團離港回國服務
page 7	秋季大馬票頭獎又落傭婦手中五十人醵資購票七十張平均每人得千五百餘元
page 7	王　廷抵港談前方亟需藥品
page 7	惠陽商會徵募棉衣成績已得三千一百餘件
page 7	廣州失陷後廣九路英段收入銳減是年預算不及一百萬元去年竟超過一百七十萬
page 7	去年業務盛極一時
page 7	廣州失陷收入銳減
page 7	會計專家談所得稅營利所得亦應取累進法徵收小本商店規定一免稅限度
page 8	吳鼎新昨招待教育界報告粵省戰時教育狀況並請港教育界發表意見
page 8	報告粵省教育情況
page 8	宣慰熱心教育僑胞
page 8	調練婦女救濟難童
page 8	學校免費收容難童
page 8	香港的圖書館
page 8	潮州商會昨追悼陳殿臣
page 8	加山龍虎鬥結果二比一南華南壓倒東方佛爺神腿頭頂破關最後半分鐘澄滔扳回一隻
page 8	海軍擊敗聖若瑟
page 8	聲水運一百咪自由式吳年破全國紀錄時間為一分五秒五份一
page 8	航行　港廣州灣之大寶星輪遇風沉沒船上載有貨物甚多幸無搭客蘇州輪聞耗赴援船員均無恙
