page 2	對於蔡光培等政法主張的批評五
page 3	閩督李厚基病危
page 3	黎　洪令程璧光追贈上將卹金一萬元
page 3	贛議員謁黎元洪請制止蔡成勳出兵倘置不理贛議員
page 3	出國會故政府再電蔡停戰惟洛陽會議　決　推張福來援贛
page 3	外國銀團會商皖贛營口所截留之鹽稅自後照扣回鹽餘收入有餘則交還不夠時則請各本國派艦保護擔保品
page 3	昨魯案一部七次會議一日委員提出青島居民團體應　有之財產目錄　靜岡町日商會建築物及其他俱樂部醫院學校廟宇墳地等十四項另收用地皮建築學校職員寄宿舍共十五項二我國委員對前記財政目錄發表意見結果由一項至十四項之財產交分科委員會審查十五項意見不一下次再議
page 3	董康預備交卸分新收舊管收支四冊及歷任所欠內外債計共十四表於交代時公布
page 3	黎元洪派徐鼎霖赴吉林挽孫烈　勸張作霖取消自治
page 3	英　等公使連日訪顏惠慶詢董康被毆事謂政府能否維持北京秩序
page 3	　傳王寵惠組閣甚盛但難實現仍以顏惠懷說為有力張國淦擬組超然閣與之對峙
page 3	聞張作霖擬令張宗昌為邊防軍第　師長並將　旅改為邊防軍官制另訂新章張語人謂奉軍入關以二兆四千得一教育言外似有深意
page 3	李經義等電黎元洪謂廢皖督　必俟統一如需裁兵餉項皖人願悉索報命聞皖軍準備汰弱　強銳意訓練已招外軍學生二千餘人經派往各師旅練兵工廠極力擴充
page 3	聞吳佩孚電黎元洪舊會開會擬請力為疏通追認現閣意在維持董康高恩洪地位
page 3	張作霖近派張學良赴京接洽善後並令其赴保定謁曹錕釋嫌修好
page 3	陸軍分醫院之傷兵鬨鬧
page 3	第　師　一團調赴東江消息
page 3	第一師　於回粵之原因
page 3	粵軍陸續調赴韶州
page 3	補述永翔艦駛離省河時情形
page 3	　報　廣州　　
page 6	湘　陳旅　　
page 6	湘議會擬稿待發之通電
page 6	白晝劫案
page 6	　　　之強姦案
page 6	擱　截搶案
page 6	被控毆打車夫
page 6	俄國　華之權代表
page 6	美國煤礦鐵路工人罷工之影響
page 6	英國對　
page 6	南華　　　
page 6	　價
page 6	小呂宋風報
page 7	省城謠諑　
page 7	　機關祝捷餘聞
page 7	　別　
page 7	廣三路由第三師　防
page 7	廣告捐　期繳餉
page 7	瑣聞一束
