page 1	揭破Ｘ人之陰謀
page 2	Ｘ政友會議員山本承認我三民主義深入人心謀用三民主義為幌子誑我民眾外相有田謂外交途徑頗多荊棘
page 2	Ｘ侵奪江海關稅收共達二千餘萬現存正金銀行不肯償付外債江海關日籍關員增至三十名
page 2	修河我軍予Ｘ重創犯柯樂源Ｘ被擊退
page 2	日議員到滬活動請某國大使奔走和議
page 2	馬逆育航受刺斃命刺客逃逸無蹤
page 2	我軍當局令各戰區司令爭取主動地位深入Ｘ後方發動大規模游擊戰
page 2	三水老鴉洲附近發現Ｘ橡皮艇
page 2	鄂中我猛攻Ｘ軍京山仍在我手京山皂市線已趨穩定鄂東南我游擊隊殺Ｘ
page 2	閩省米貴當局購運贛米救濟贛閩實行互惠貿易
page 2	浦東我游擊隊猛攻Ｘ軍
page 2	榮河偽軍五百餘人反正扣留日人漢奸甚多
page 2	邵力子談反侵略運動最近趨勢侵略國力量實不及各民主國家吾人加緊努力務達到最後勝利
page 2	大同Ｘ官佐多遺書自殺帝國壯丁全部盡犧牲亦難達到勝利之希望
page 2	Ｘ三犯中條山均失敗結果傷亡達七千餘人我奪獲機槍百餘挺野砲多門晉南敗退之Ｘ再分四路進犯
page 3	西國難民集中法西邊境法政府不擬阻止難民入境亦准許西政府軍官兵返國
page 3	法財長發表施行財政政策之成效法國經濟復興計劃已成功將可購買新式飛機五千架
page 3	模範抗日根據地的勝利捌晉冀察邊區粉碎Ｘ人圍攻經過經驗與教訓
page 3	美上議院反對售機於法
page 3	羅國外長聘南斯拉夫互商應付保加程亞要求
page 3	美巨型機飛往舊金山港準備與香港之間作試航飛行數次
page 3	日擬強迫人民售出金飾器皿
page 3	張伯倫演說與達拉第演詞如出一轍巴黎人士對之極為歡迎美國人士對之則覺可異
page 3	美造巨輪十艘四艘專駛東方六艘駛行全球
page 3	馬力斯坦問題會議各代表抵倫敦將可作非正式會議
page 3	江海關將設分卡三處
page 3	倫敦市場各項証券慘跌傳希特勒不僅要求殖民地且要求各國償還巨額戰債
page 3	吳佩孚拒Ｘ誘惑冥相因吳致書拒Ｘ泛論戰爭不幸Ｘ人竄改吳書誣吳有意出山
page 3	滬我游擊隊潛入虹橋機場與Ｘ發生激戰
page 3	Ｘ國內部兵員恐慌安陽竟發現童子兵年均約十五歲終日潛伏聞有警報甚至驚懼啼哭
page 3	九嶺石翼我防禦堅固Ｘ決無法越雷池一步
page 3	Ｘ機一架在平陸降落駕駛員被俘Ｘ機運洛陽
page 3	鳥石磯Ｘ圖渡河失敗黃山Ｘ炮擊我陣地
page 3	就付緊張時局英閣局部改組海軍名將卻德飛上將任防事務調整大臣
page 4	難婦投海自殺
page 4	老婦服毒獲救
page 4	潮商還債運動募得八千餘元
page 4	婦慰會募捐訊
page 4	歐亞機調整飛行時間
page 4	孔教學演講學記
page 4	李公恪已返重慶
page 4	港新稅研委會準備修改汽車稅則擬加徵煤油機汽車稅使與汽油車同等負擔
page 5	中塘溫塘戰事激烈
page 5	Ｘ再竄擾博羅黃塘
page 5	南頭大鵬各地安謐
page 5	太平Ｘ昨竄至霄邊
page 5	本報東路戰地記者報告莞增戰情另誌
page 5	前方戰事昨成膠著
page 5	我軍昨向石龍增援
page 5	東寶游擊隊已出動
page 5	旅菲鶴邑僑民成立援助抗戰救濟會經過各埠邑僑一致擴大工作務完成救國救鄉之使命
page 5	粵省發行短期抗戰庫券
page 5	市頭Ｘ兵故佈陷阱引起Ｘ匪激戰一場我團隊不為所算毫無損失Ｘ及匪奸各傷斃約十餘人
page 5	南沙島Ｘ軍再度窺伺鳳角被我擊潰Ｘ又調集重兵于南沙島有再向鳳角窺伺之企圖
page 5	西江大戰行將爆發Ｘ將松井抵三水指揮西犯大批Ｘ軍結集河口猛轟朱崗帽崗金利青岐我駐重兵準備迎頭痛擊
page 5	Ｘ軍五千結集河口
page 5	Ｘ將松井指揮西犯
page 5	九江河清Ｘ圖蠢動
page 5	軍事觀察Ｘ力已疲
page 5	我各據點均駐重兵
page 5	嚴緝藉團隊名義劫掠過境難民之匪黨由各區鄉長負責順德縣府之嚴令
page 5	我東路反攻從新部署就緒東增各線大戰已迫在眉睫增城方面連日已開始接觸前線士氣旺盛中塘溫塘日來激戰甚烈Ｘ傷兵多運石龍我機隊飛至東江協助曾兩度飛炸石龍增城Ｘ再擾博羅黃塘等鄉均為我擊退太平Ｘ昨再竄至北柵霄邊但未入寶屬
page 6	草羅村Ｘ軍二千人全部撤退移集龍口
page 6	深圳昨受虛驚軍士與便衣隊衝突
page 6	台山漁民實行武裝復業
page 6	四邑黨部改制更動一幫黨委
page 6	顧德縣府令人民改種雜糧並派隊宣傳指導
page 6	Ｘ機狂炸江門之損失詳查
page 6	肆虐情形
page 6	死傷調查
page 6	善後工作
page 6	電止辦貨
page 6	水南一彈
page 6	波及船隻
page 6	塌屋統計
page 6	市面情形
page 6	西北江戰區旅行記三
page 7	灣仔酒家發生血案
page 7	侍役揮刀斬傷顧客
page 7	警察不來投案自首
page 7	家散人亡刺激過度
page 7	西警員請求改善待遇
page 7	疋頭洋貨行存貨推銷過半
page 7	中大學生分批赴滇上課
page 7	家犬展覽會決三月十九日開幕
page 7	博羅賑難會昨日正式成立
page 7	過海小輪增建一新碼頭
page 7	英籍居民登記注重技能方面凡十八至五十五歲均不能免
page 7	江門被炸後江澳交通如恒
page 7	救傷隊銀盾賽昨日開始舉行
page 7	家國恨難消酒家侍役發狂斬顧客傷者被斬數刀危在旦夕侍役行兇後到警署自首
page 8	瓊僑聯會成立　　委五十二人已選出
page 8	國貨展覽會所餘攤位無多參加廠　報名
page 8	歌國皇后加冕
page 8	深圳關員昨與走私人發生激戰大批私貨圖渡深圳河被發覺捕獲嫌疑犯三人一中彈受傷
page 8	本港與新界昨發生兩劫案深水埔住戶損失確數未悉上水一茅屋被掠二千餘元
page 8	寶安縣組賑難委員會縣長梁寶仁任主任委員
page 8	六賊截劫路人
page 8	棲留深圳難民僅二千　人
page 8	　燬漁船一艘　驅下一小艇　一　夜仍未獲得拯救
page 10	糾集熱血青年艱苦發動鬥爭
page 10	廣泛展開
page 10	政治工作
page 10	軍民合作
page 10	在日軍圍攻中獲得寶貴教訓
page 10	游擊部隊
page 10	日軍兵力
page 10	本身組織
page 10	配合基幹
page 10	Ｘ海陸軍又將火併偽市府因群奸互訐成立無期廈民不甘作倀拒絕戶籍訓練
page 10	　挺進隊第一路指揮朱希談浙西游擊一年之回顧粉碎　以華制華毒計打擊資源掠奪摧毀偽組織
page 11	雙方陣勢球藝略評
page 11	中線開球戰情平淡
page 11	竟成頭頂先開紀錄
page 11	澄　腳踢奠定勝局
page 11	佛爺衝前扳回一隻
page 11	戰事結束南南低頭
page 11	華人游泳會昨開全體同人大會即席選定基金保管委員五名
page 11	主席致詞
page 11	選舉結果
page 11	議決事項
page 11	會務報告
page 11	征貢歸來後南南實力大損一比二幾於東方
