page 1	新年戰局之展望
page 2	中央議決革汪黨籍
page 2	華南將領擁蔣續戰
page 2	上海各報一致斥汪
page 2	龍雲不受汪氏煽動
page 2	周恩來談汪氏行動
page 2	東京方面態度沉默
page 2	倫敦華僑一致反汪
page 2	蘇報批評近衛宣言
page 2	留港中委表示痛憤
page 2	白主任崇禧談西南戰局我佔優勢元旦在桂林閱兵偉大嚴肅
page 2	Ｘ機擾湘
page 2	瑞雪紛飛元旦中西康新省誕生邊陲舊府充滿偉大團結之氣象主席劉文輝發表中心工作多項
page 2	中央臨時會議通過革除汪黨籍案華南將領一致擁蔣續戰滬輿論界對汪嚴加痛斥
page 3	郵機由渝赴昆明中途失蹤殘骸尋獲機內戶骸四具俱係該機職員
page 3	國府褒獎貞忠范築先等十八人
page 3	粵新主席李漢魂元旦日在連縣就職舊主席吳鐵城交卸後即啟程赴渝在歡送會中致詞希望建設新廣東
page 3	豫東Ｘ增加企圖西犯黃河結冰甚薄Ｘ西犯難實現
page 3	民族叛徒罪在不赦國府嚴令懲奸願改悔者許其自新執迷不悟嚴緝懲辦
page 3	汪兆銘違反紀律危害黨國一中宣部政治部發表聲明汪精衛此次離國純係私人行動其在外行動不能作各方之代表
page 3	黃河西岸我軍砲擊永濟河津我軍續北進
page 3	Ｘ司令　俊六已被撤辭行蹤不明
page 3	菲島僑胞擁護抗戰
page 3	滬慰勞團行將南來赴前線慰勞將士
page 3	宜昌沙市熱烈獻金難民車夫亦不後人
page 3	桂主席黃旭初發表一年來各項建設進步各項專家與金融界努力所致
page 3	美購特種機器製造鎗彈
page 3	國府昨紀念週戴院長報告祭班禪經過
page 3	綏遠偽軍火併
page 3	達拉第赴都　開始巡視　地
page 3	美駐日大使格魯再向日政府提出抗議日本岐視美在華利益實屬不公至違反條約尤非美國所能接受
page 3	日首相近衛積極充實內閣與池田風間阜等作重要會談
page 3	林主席轉獻壽鼎為抗戰建國紀念
page 3	我空軍再轟炸南京投彈中Ｘ軍警備部
page 3	廿八年元旦良辰南潯線首傳驚人捷報克阮金山何家山青山劉庄等地鄂湘贛邊區我游擊隊出擊勝利
page 4	又一個滅火員趁火行竊受懲
page 4	惠僑救鄉會昨電賀李漢魂
page 4	灣仔撈獲浮尸
page 4	婦人墜樓重傷
page 4	教聯會昨獻車
page 4	婦慰會募捐訊
page 4	本港接生界賑濟新界難民
page 4	記者公會昨會議
page 4	承業主命
page 4	胡恆錦律師啟
page 4	新界難民續遷深圳八救濟站已遷其三各界踴躍捐助賑品
page 5	石龍Ｘ之恐慌
page 5	大平Ｘ兵動態
page 5	袁華照談戰況
page 5	各鄉聯防匪盜
page 5	西江Ｘ軍急圖一逞沿岸哨兵均已開始接觸週來分頭滋擾均不得逞
page 5	Ｘ屢圖西進再犯金利又被擊潰Ｘ失敗後狂炸金利
page 5	茂名省府行署奉令結束各行署主任之人選
page 5	譚啟秀在某地召開軍事會議
page 5	東北江我Ｘ連日肉搏戰四路國將領誓克廣州余漢謀親自督師石龍增城之戰情
page 5	石龍巷戰
page 5	增城浴血
page 5	余氏督戰
page 5	Ｘ軍慘敗
page 5	黃範一談
page 5	從化戰情
page 5	廣州灣中國銀行元旦日開幕國幣市價漸高
page 5	我某路軍前鋒配合游擊隊反攻莞城石龍現已逼近石龍等Ｘ大恐慌哨兵放冷槍示警太平Ｘ誘鄉民繁榮墟市多不受愚各地土匪猖獗各鄉召開聯防會議
page 6	我游擊隊在市郊活動我空軍　炸Ｘ人陣地白雲機場炸燬Ｘ機兩彈落花地之Ｘ營Ｘ軍死傷三十餘人
page 6	各地護商隊公開收保護費東路守備部佈告取締
page 6	我游擊隊再炸廣三鐵路
page 6	除夕前兩日Ｘ機瘋狂轟炸韶關燬民房八十餘間死傷七十餘人
page 6	台山注意治安切實訓練警察
page 6	瓊崖走私猖獗私梟稅警激戰
page 6	鶴山將召開縣民代表大會討論官民保土大計
page 6	瓊有Ｘ艦三艘似係運輸仇貨銷售
page 6	匪夥劫殺命案
page 6	救濟暹羅難僑
page 6	槍決販紅丸犯
page 6	附市游擊聯絡線完成潘幼齡述大塘殲Ｘ經過潘氏與本報特約記者談話
page 7	老革命家發表談話
page 7	鵬程號帆船去週離港赴星
page 7	尢列紀念學校決增設中學部
page 7	市虎噬傷小童
page 7	印刷業工會舉行一週紀念
page 7	美記者柯斯本昨抵港
page 7	諾貝爾中將今日檢閱海軍
page 7	深水埔六賊械劫茅屋
page 7	Ｘ又劫一漁船財物搜掠一空人幸無恙
page 7	國際反侵略中國分會遷桂擴大組織加強工作
page 7	文員組救傷隊
page 7	難民營中華印兵衝突華軍兩人一被鎗傷一刺傷
page 7	旅美華僑質問汪氏
page 7	全美華僑電汪嚴加質問老革命家陳強發表意見
page 8	華商會團拜
page 8	學生賑濟會
page 8	華僑教育會
page 8	雜木行商會
page 8	普益商會再獻金三千元
page 8	六邑賑聯會演　籌賑宣言
