page 1	余漢謀嚴戒武人干政
page 2	桂軍夏威部仍向前推進黃紹雄勸李白臨崖勒馬桂軍先頭部隊越入湘境便衣　分批向衡長活動
page 2	蔣委員長自昨日起謝絕延見非必要晉謁人員著手親行草擬國防
page 2	蔣委員長令張群在本月底前赴廬山參加軍政首腦會議
page 2	確訊中央俟兩廣局面底定後
page 2	國府令免李白職派黃紹雄為桂綏靖主任白崇禧改任浙省府主席
page 2	國民政府廿五日令
page 2	華北日軍不斷舉行演習
page 2	日海軍艦隊定期在台灣海面大演習參加軍艦有長門等七十餘艘並航空水雷潛水等組合戰隊
page 2	財孔昨電鄒宋指示整頓粵省財政及廢除苛雜統一幣制
page 2	整頓財政
page 2	廢除苛雜
page 2	統一幣制
page 2	華北日駐屯軍再圖擴張要求劃地築新營房北寧全線滿佈日軍
page 2	劉紀文昨抵京將赴盧山謁林蔣
page 2	津浦客車大受私運影響損失約三十餘萬元
page 2	日倉山鋼鐵廠在津籌設分廠
page 2	魯韓表示始終擁護中央
page 2	化裝品輸入數目驚人共值七十餘萬
page 2	秘密分批運桂
page 2	蔣在廬山謝絕延見人員親行著手草擬國防綱要俟兩廣局面底定後即準備以全力挽救華北危機外長張群奉召赴廬山商對日新方針
page 3	飛機擬炸首都
page 3	西國政府宣言
page 3	山隘戰極劇烈
page 3	教育部公布小學規程注重教員待遇保障
page 3	廢帝發表意見
page 3	各國派艦護僑
page 3	冀省四大公路昨行通車典禮尚有三路在計劃中
page 3	國經會糧食組開二次研究會注重糧食統制問題
page 3	劉家鸞赴平謁宋報告津市治安
page 3	陳中孚昨日由津返平
page 3	國大經費預算財部遵令照撥
page 3	開征所征稅延至九月一日
page 3	蒙藏各區選舉監督已定
page 3	梁寒操回粵主民政此說已成過去孫王是否南下未定
page 3	旅京滬粵同鄉電蔣歌頌仁政
page 3	北運河與永定河水勢飛漲不已
page 3	全國圖書館數總計四千餘處
page 3	應城湯池開闢溫泉浴場
page 3	探空氣球落揚州紀錄結果良好
page 3	全國稻麥改進所計劃選擇良種
page 3	蔡無忌來粵籌復粵商檢局
page 3	法部通令飭屬厲行勘驗初報
page 3	鐵次曾養甫視察粵漢路線
page 3	津市行政組織決定略有變更
page 3	　使　青避署
page 3	兒童衛生展會參觀者甚踴躍
page 3	圖博展覽昨日經已開幕
page 3	李滋羅斯抵馬賽暢談中國時局
page 3	二次出庭受審
page 3	世運美國女選手飲酒被取銷資格
page 3	德國擬撤亞使對意表示好感
page 3	西國法西斯蒂黨人在畢耳各斯城設臨政府黨軍圍攻首都秩序大亂英意德法均派戰艦護僑
page 4	公開日記杯籃球賽南華甲蟬聯冠軍昨以廿八比廿一勝勁敵青年會乙組華雄陽光甲勝華大紅雷豫
page 4	華人會今日舉行公開中西渡海泳運動員一時半齊集歡迎來賓到場參觀
page 4	世運大會門票本月上旬沽楚柏林人口驟增數十萬繁榮異常游泳選手練習時不斷產新紀錄
page 4	勵行社籃球隊東山復起今明日分戰港中勁旅今日之戰對陽光甲乙隊
page 4	友誼水球游泳對抗超超團戰華員會
page 4	團結今日戰天台
page 4	壘球賽因雨改期鐘聲水藝亦改在下星期
page 4	英京銀價無變動
page 4	華人紳商之高尚享樂建哥爾夫球場獲准政府已撥地廿七英畝未敷尚鉅陸靄雲等為值理建築費十五萬
page 5	警備軍將領通電服從陳漢光各團現駐台山各屬昨日有奉令返江者蔣何昨電慰陳漢光
page 5	各行商停繳農稅
page 5	李白就新職昨訊
page 5	林主席電蔣委長請示禁絕煙賭
page 5	葉夏聲昨日返粵地法院長將易人
page 5	在苛雜捐稅過活下之潮汕人民渴望援首先廢除各種苛捐維持法幣十足行使
page 5	正當捐稅種類調查
page 5	廢除苛捐維持法幣
page 5	組經委會調查苛雜
page 5	粵軍事多待解決蔣氏下月初來粵錢大鈞來粵係擔任迎蔣佈置行期在下月初問行轅將設賓館或退思園蔣昨再派陳誠來粵許崇清再長教廳李煦寰表示不願長民政
page 6	余漢謀令飭一集團總部自動結束各處長昨召開會議商遣散各職員問題四路昨已派員接收綏靖署　籌備成立
page 6	宋子良昨召會議討論整理粵省金融粵法幣與大洋比價商定之後仍由財部取決白銀仍存粵管理但準備管委會決改組
page 6	續委各人員
page 6	各軍官返省
page 6	財部派周叔亮為省行監理
page 6	貝唐昨謁余林對金融之略談
page 6	李潔芝昨就公安局長職省府派陸幼剛監誓
page 6	香翰屏昨日抵省
page 6	粵路南段局奉部令辦理結束
page 6	河商客村鄉匪夥踞屋強掠案續訊
page 6	海關接征米稅後米商對此事之態度廿一日以後入口洋米概未提貨決聯電中央請暫緩開征
page 6	海軍要員之兩陳南來任務續誌純係負責整理吾粵海軍非就江防與第四艦隊司令中央海部或設一駐粵機關由陳策負指導整理之責陳季良公畢即北返江防司令仍由張之英繼任
page 7	試驗飛船
page 7	飛船速率
page 7	環飛世界
page 7	蕭佛成電謝中央當軸病軀尚未復元暫難晉京
page 7	三院將沿門勸捐
page 7	國民會議僑民代表候選人之推選團體華商會昨已接僑委會通令定農工商教育會等八團體
page 7	港粵糖商請撤消統制辦法
page 7	港政府之委任令
page 7	紅磡血案仍押候
page 7	王泉笙
page 7	胡木蘭
page 7	梁植槐
page 7	張任民
page 7	區壽年
page 7	密鑼緊鼓中慈雲太子被捕
page 7	時局轉好的童謠
page 7	黃季陸赴菲遊歷
page 7	少年投海幸遇救
page 7	開投公地之通告
page 7	搜獲私煙拘三人
page 7	英帝航公司趕建飛船二十八艘積極籌辦環遊世界航線港檳亦將有大飛船飛行
page 8	兒
page 8	於
page 8	科
page 8	在
page 8	記
page 8	該
page 8	現
page 8	皇后戲院昨停業因業主收回院址
page 8	積欠租項逾二萬元
page 8	大埔婦人打架受傷
page 8	南陽堂歡迎葉夏聲
page 8	兩人被控私藏軍械
page 8	兒童羈留所參觀記所中生活較中級家庭尤佳羈留期滿兒童多戀棧不去
page 10	決修改柴油稅則九龍關公署之佈告
page 10	旅行全國書畫展定八月二日閉幕
page 10	英皇批准四新例
page 11	　屬市縣長返省謁見省主席請示
page 11	後備隊截毆汽車員
page 11	縣府嚴禁　食物攤
page 11	監犯越獄中之激戰
page 11	聯防會議派隊護航
page 11	匪徒噴悶煙拐小孩
page 11	擒獲劫擄案之著匪
page 11	佛山米價有再漲勢
page 11	九江平糶變更我辦法
page 11	誤認肥鵝到手誰知白鴿出籠人財兩失咄咄書空
page 11	與遂溪縣會剿股匪
page 11	化縣擬訂各鄉建蓄水塘辦法是亦救濟農村之要務
page 11	取銷苛雜聲中海豐等縣請減地稅
page 14	南菲聯邦
page 14	地位重要尤勝於星洲軍港
page 14	初步計劃先完成巨大港塢
page 14	三重要區亦分別進行建築
page 14	天空勢力決定擴展之計劃
page 14	浮塢之構造
page 14	將開始施工
page 14	太平洋戰爭
page 14	蘇聯大使招待新聞界參觀軍事演習影片防禦工事最為新奇緊張情形不亞戰爭
page 14	馬子一騙財案辯論終結馬犯補縣辯訴狀請予無罪之判決
page 14	馬子一供詞
page 14	檢察官論告
page 14	英國改變地中海海軍形勢闢好望角為根據地南菲聯邦國防部長赴倫敦商榷此事並攜有擴充空軍之五年計劃太平洋濤洶湧瀰天日美對立日趨尖銳美在檀香山亦建巨大海軍浮塢
page 15	注重大事
page 15	修一鐵路
page 15	社會上事
