page 1	擴大農村貸款
page 2	許世英訪晤川樾
page 2	河相達夫晉京辭行
page 2	福州台行存銀僅十七萬元昨已移交中行
page 2	張群赴毆考察五月間可啟行刻正辦理出國手續
page 2	津海關奉財部令勾結外人走私處死津關努力緝私已著成績濼榆區運津私貨近漸減少
page 2	孔特使等昨抵星洲華僑數千人赴碼頭熱烈歡迎英艦隊司令並導往參觀軍港
page 2	全運籌備會今日在京開會
page 2	大角奉令來華檢閱駐華日艦
page 2	由三藩市來港
page 2	松村赴滬旅行我國內地
page 2	一針見血國際織造品會議席上我國代表之言無恥國家縱容國人走私利用租界作非法之行為
page 2	兒玉訪問佐籐協議調整中日關係兒玉建議應儘速滿足中國希望佐籐擬俟川樾回國商具體政策
page 3	日政爭尖銳化陸軍省向民間散佈政治勢力藉　抑制即成政黨之反政府潮流無產黨口　則高呼打倒狄克推多
page 3	邵力子廣播演講原詞題為非常與平凡
page 3	蘇暫外政策並未有所變更今後政治警察局改隸紅軍參謀部
page 3	艾登將應邀赴北京進行重要外交談判英法宣言書下週將發表聲明比國恢復行動自由
page 3	川省災情奇重災民達數千萬人
page 3	安川雄之助定期來華考察
page 3	劉鎮華因病辭職繼任人選未定劉尚清呼聲最高
page 3	華商紗廠晉京請願免拉棉紗統稅
page 3	日人購駿馬一匹代價三十五萬元以作改良馬種之用
page 3	日機神風號昨日飛抵巴黎
page 3	西叛軍迭次失利墨索里尼大為焦急各方觀察墨氏似已有非常行動準備歐洲目前苟安之局大有不穩之趨勢
page 3	意法足球賽突然中止舉行
page 3	佛郎價格大跌三國貨幣協定盛傳將有變更
page 3	西　政府軍賡續向前推進
page 3	國民政府九日令
page 3	鄧寶珊九日晨乘歐亞機飛返西安
page 3	英商電車工人
page 3	交通部俞飛鵬
page 3	顏惠慶九日下午九時搭平滬通車
page 3	傅作義九日午應平教界李蒸
page 3	外部今晨令駐古
page 3	何應欽由京抵滬
page 3	國貨公司籌委會昨在實業部舉行末次會議定今日下午三時舉行創立大會
