page 2	我欲一間程　斗三
page 3	調大趙爾巽等昨已來京王士珍組閣令協商後今明日可下
page 3	豫趙倜接奉方戰報吳佩孚陳亡偽電起兵襲鄭州已被馮玉祥靳雲鵬軍協勦趙傑被擒明令褫　訊辦
page 3	閣議決裁巡閱使缺免張作霖本兼　聯查辦任孫烈臣督奉
page 3	九日閣議免張作霖本　各職聽　查辦任　烈　督奉即　下令　鮑袁卿督吉吳俟陞督　蔡成勳任熱河都統孫岳察哈爾都統馬福　留任綏遠馮玉祥督皖張錫元督豫　承斌督陝俟　閣成立即發表
page 3	徐世昌以　名徵吳佩孚同意吳答我　張作霖太上總理
page 3	梁士詒葉恭綽張弧有仍在津訊
page 3	吳佩孚八日擊軍糧城負隅奉　　　　日在楊村繳逃兵
page 3	張作霖　灤州集合奉軍前傳　　　今徵　祇三萬且　　械
page 3	張文生電賀吳佩孚欲自討固位
page 3	東三省紳商電京言張作霖在東三省　鈔票五千萬餘吸　現款二十兆軍費購械已在耗盡今三省金融將破產乞維持
page 3	馮玉祥已平趙傑恐趙部潰竄皖鄂電蘇鄂　兵徐州武勝關攔阻並分電晉陝謂豫軍多白狼改編須嚴防堵截
page 3	王士珍　日謁徐世昌面辭組閣語軍中有如各督確肯裁兵亦可勉就吳佩孚有表示　裁意
page 3	曹錕通電謂奉軍橫行為人心公理戰勝並非直之功俟企直甯謐錕即解甲
page 3	秦皇島續到三艦監視出關奉軍
page 3	張作霖潰兵在唐山濼州間聞有搶掠
page 3	吳佩孚有限張作霖三日出關訊兵艦或祇監視不至　擊
page 3	鄭洪年係被直軍截回非捕回九日仍赴閣議回日被免職
page 3	吳佩孚否認要張作霖償戰費說
page 3	徐世昌促吳佩孚來京
page 3	吳佩孚接賀電百餘通湘蜀在內
page 3	津訊開平礦局接張作霖七日電將在灤　作戰礦局財產請先避衛設殃及張作霖不負責
page 3	滬修正稅則委員會昨通過將去年十月至今年三月平均市價作修稅估價標準
page 3	滬國恥紀念極認真
page 3	五月九號北京電今晚將有命令免張作霖趙倜職並將趙查辦
page 3	又電今日官電黎馮玉祥已殺趙倜但未　明是當交戰時所殺或被執殺
page 3	又電據鐵路電訊馮玉祥已將主力直軍移往洛陽
page 3	又電直系直主張王士珍為內閣總理張作霖革職張錫鑾為東三省巡閱使鮑貴卿督奉
page 3	孫陳間以條件融和又一說
page 3	三誌南寧某公司被掠事
page 3	柏文蔚離粵
page 3	西商局函請擴充天文台
page 3	各路　令須自行招兵覓槍
page 3	海軍陸戰隊之無兵無槍
page 3	海防　令部之設置
page 3	歡迎第三師凱旋
page 3	總司令部木牌撤而復懸
page 3	韶城大軍雲集　情形
page 3	北伐
page 3	澳督將回國
page 3	風訊
page 3	船東擬組織聯合會
page 3	新建八層崇樓述聞
page 6	十工團歡迎勞動大會代表
page 6	戰前奉直兩軍之比較
page 6	陝軍官之陝局真相談
page 7	南海令頒佈各鄉交匪規條
page 7	教育局優卹學校　員
page 7	北軍在贛邊設防之情形
page 7	桂匪襲劫潯州
page 7	省署仍是戒嚴
page 7	鄭潤奇所部仍留駐梧州
page 7	第三師由桂返粵情形
page 7	駐桂粵軍分的路回粵
page 7	李烈鈞運大砲赴韶
page 7	馬君武不來粵又一說
page 7	令委電報檢查員
page 7	中央兵站參謀　回省
page 7	南寧輪船在肇河撞沉民船
page 7	捷閩輪船幸免沉歿
page 7	投公產兼收省幣及憑單
page 7	禁軍　強押之布告
page 7	衛生局檢疫之現狀
page 7	日諾雅會議
page 7	擬撈勞薛丹拿船
page 7	上海紀念國恥
page 7	俄國慘狀
page 7	俄代表謂日以西伯利亞為高麗第
page 7	瑣聞一束
page 7	派隊督拆沙基舖戶
page 7	引渡汕頭劫犯
page 7	英國所負債額
