page 1	　國議會
page 2	李白通電斥汪誓與此民族敗類不共載天
page 2	浦東我軍反攻克復南匯奉賢Ｘ傷兵數百人運往南市醫治如無空軍助戰必然全軍覆沒
page 2	我軍圍攻離石克復李家灣金羅鎮殘Ｘ向中陽離石城內潰退永濟風陵渡Ｘ楊言將西犯
page 2	美洲團結約翰臣引為快慰
page 2	民主國與獨裁國空軍力量數目字比較從前華盛頓傳出報告實有錯誤預料短期內雙方力量相差不遠
page 2	中國後門開闢軍火源源輸入戰局已入新階段
page 2	美軍火監察委會向國會提出報告書軍火商人曾運軍火往西國赫爾勸勿運軍火前往日本
page 2	比內閣或將局部改組國王返京後即可決定
page 2	倫敦海港管理局與政府商保護沿海建築計劃預算需經費四十萬鎊金政府擔任百份之七十五
page 2	金融界憂慮施行全國動員
page 2	吳鐵城抵桂林
page 2	上海天氣奇寒
page 2	日竟公然要求改組天津租界警察如日不能達到此種邀求將取何種方法現難逆料
page 2	美政府準備向國會要求授權總統得權宜報復用意重在對付日本與德國
page 2	Ｘ機昨襲衡陽投彈多枚我　損失
page 2	我軍猛撲餘杭擊斃Ｘ兵甚多
page 2	我軍襲擊官窯之Ｘ太平場附近之Ｘ向謝岡徹退Ｘ在三水河口馬口一帶增援
page 3	Ｘ新內閣前途滿佈荊棘對內對外困難甚多經濟問題亦難解決
page 3	日陸次加籐逝世
page 3	達拉第完成北菲之行昨返　私邸
page 3	美議員提議中美開闢運河因巴拿瑪運河戰時極易破壞
page 3	捷匈混合委會召開首次會議德政府將促使匈捷和解遵守維也納會議伸裁書
page 3	英財政新動向
page 3	滬公共租界聞有槍聲甚 厲
page 3	Ｘ防我攻包頭構築防禦工事
page 3	詹森已赴巴黎
page 3	瑞士客機失事死傷乘客多人
page 3	荷政府決定在加設公使館
page 3	香霍斯脫號德國新建裝甲艦歸編歐戰後德做此類艦此為第一艘
page 3	德報主張重申收回舊土
page 3	西國民軍自稱各線均佔優勢
page 3	日暫不答復美國牒文後議會復會時始提及　事
page 3	去年除夕日人舉行災靈
page 3	羅馬準備歡迎英首相英電將討論國際問題德政界希望舉行四強會議在會議上提出殖民地要求
page 4	興華國語學校昨日舉行畢業禮
page 4	象棋會籌振難民成績
page 4	　育部准東方中學立案
page 4	澳門商會今日會議討論弛禁糧食出口
page 4	各疫症埠輪船須入禁海
page 4	粉嶺賽馬有期
page 4	救濟傷兵　民各界捐輸甚為踴躍婦女慰勞會　收到大量賑款
page 5	Ｘ再侵紫坭三善　固守沙灣外圍
page 5	西江暫無戰事九江河清之Ｘ日見減少
page 5	閩南形勢轉覺緊張我沿海防軍經已戒備
page 5	廈門Ｘ極張惶
page 5	難民不受Ｘ騙
page 5	Ｘ爭廈市政權
page 5	張發奎余漢謀等昨再會商反攻軍事
page 5	我東北兩路大舉反攻廣州Ｘ軍加築砲壘恐我游擊隊混入因嚴密檢查市民
