page 1	英法在遠東關係的試煉
page 2	日本現正積極準備應付日美緊急風雲
page 2	日向越南提新要求河內日僑開始撤退
page 2	傳越與日成立協定允許日軍假道侵滇
page 2	法外長謂越南孤立不得不對日稍遷就
page 2	謝團長發表經過
page 2	史久棠被狙命危
page 2	滬孤軍被封鎖案尚未獲得解決謝團長表示決為正義犧牲
page 2	日報評論英倫地位數日內即可決定
page 2	滬汽車夫全體罷工巴士公司機械工人實行援助亦同罷工
page 2	桂我軍猛攻扶南日軍
page 2	粵各界舉行一仙運動
page 2	泰王壽辰日皇致電道賀
page 2	海門方面英輪被日砲擊其後又被日軍扣留英當局正調查此案
page 2	美英澳聯防
page 2	澳將再募志願軍出國參戰
page 2	綏東　　萬餘反正晉城一帶劇戰展開
page 2	越日談判難獲結果河內日僑開始撤退日領事館職員則後一步離境
page 3	德機二百餘架大舉襲擊倫敦被英空軍猛力截擊於是引起劇烈空戰
page 3	倫敦東南小鎮被炸
page 3	德機分向各地投彈
page 3	英機炸擊法各港口
page 3	殘暴手段難屈英國
page 3	德向英倫濫施轟炸
page 3	英皇及后巡視災區
page 3	九一八九週年蔣委員長告全國同胞四東北同胞生活如人間地獄要收復失地解放受苦同胞
page 3	斷壁焦垣
page 3	雪恥復仇
page 3	東北失陷
page 3	英人關切我抗戰要求政府開放滇緬路代表民眾達一百廿五萬人
page 3	貿易委員會規定收買禁銷物品辦法定期本年十月一日起實行
page 3	羅馬談判結果產生軸心計劃謂將建設歐洲新秩序德意兩元首或將會面
page 3	德國鋼鐵廠屢被炸擊損失極重大
page 3	羅國原料缺乏情勢嚴重
page 3	印度發現豐富鐵礦
page 3	小林與荷印當局進行談判
page 3	英派員赴美商購大轟炸機
page 3	侵入埃及意軍被英海軍炮擊英軍運用機動戰術在沙漠區困擾敵人
page 3	天文科學家準備觀測日蝕
page 3	新喀里多尼亞脫離貝當政府擁護哥里將軍
page 3	貝當政府宣佈嚴限糧食供給
page 3	德准法國郵政局部恢復只准明信片來往
page 3	羅遜王將赴美
page 3	捷克空軍人員赴英參戰
page 3	辦黑龍江艦隊操演竣事
page 3	赫爾與英澳使節討論聯防問題包括太平洋防禦在內
page 5	中山日軍集中三灶
page 5	我團隊已入駐龍泉
page 5	九一八之夜我軍襲深圳日陣侵鹽田日軍被擊斃我再攻布深圍日軍
page 5	擊破日軍之鐵絲網
page 5	侵入鹽田搜索我軍
page 5	向布深圍日軍攻擊
page 5	北路我大舉出擊日軍　集廣州廣花廣從線軍運忙
page 5	東江穀價復漲
page 5	省府再飭制止沙惠夫力苛索工值行政專員飭縣商訂辦法
page 5	香翰屏偕郎擎天抵韶廣州郎部百餘人被日監視
page 5	粵省當局籌劃安置港澳赴韶義民省振會已招致二百餘人
page 5	出走伕役談南寧近況市民未歸日軍自運米鹽日軍調動忙但人數不多
page 5	韶節建儲會正式成立
page 5	我連日砲擊潮安日陣日砲兵隊長視察陣地被擊斃日艦加緊封鎖兩次
page 5	潮汕各地日軍情況
page 5	揭陽購儲新穀省糧會貸款五十萬元
page 5	新會五區各鄉被洗劫死傷數人焚屋百餘間
page 5	新開新鶴兩路仍有激戰日犯蓮塘大澤木塱均不　中山日軍集中三灶及荷包島收復龍泉傳白蕉附日軍亦退
page 6	所述廣州近況甚詳
page 6	此次炸彈案發生後
page 6	民眾成群徘徊觀望
page 6	此外尚有四處發生
page 6	省幹訓團學員千六百人已分發錄用會計班學員繼續訓練一月二期幹訓班定十一月開學
page 6	粵各機關三十年度施政計劃及進度編訂辦法應與三十年度預算同時編成限本年十一月底呈省府核定
page 6	禁絕煙毒近訊仍議寓禁於征征收藥料外銷稅
page 6	歹徒騷擾稅警
page 6	廣州來客詳談市內連續發生炸彈情形一日之內有五處發現傷亡最多者新華戲院我機飛炸從化各日陣
page 7	遣發秩序尚須改善
page 7	昨日回國義民名單
page 7	東北江導行社赴韶登記近訊
page 7	秋季特別賽馬今開始停賽已久觀者必眾是日九場多短程賽
page 7	橫瀾海盜劫貨艇轟斃榜人四名司舵員亦受傷無法駕舟返港尖沙嘴海水警署派輪開往尋覓
page 7	越南形勢又緊港越貨運停頓但來往旅客均極眾各輪亦無停航準備
page 7	水務局工人請求加薪
page 7	張善子歸國日間可抵港
page 7	銅鐵商會舉行十週紀念
page 7	本港八月份出口貨物銳減較前月減百份之一五入口貨物反略有增加
page 7	東華醫院贈醫處一老婦突倒斃
page 7	美商由日抵港談日糧食燃料極感缺乏人民飲食亦受嚴格限制餐室汽車店須提前收市
page 7	真光女學生演名劇閨怨籌款救濟傷兵難民
page 7	戲劇宣傳團今日招待報界
page 7	粵振委會指導下首批義民昨動程返國男女卅九人旅費全由政府撥付登記者尚有千餘名將陸續出發
page 8	港僑胞熱心愛國勸銷儲券成績優異譚進個人推銷十七萬餘元銅鐵行商會亦決參加儲運
page 8	我國各院校學生徵費表統一招生港分處昨公布
page 8	各院校繳費表
page 8	李右泉將火葬
page 8	經亨利昨離港官紳多到碼頭送行
page 8	英帝航機脫班
page 8	圖劫馮儉生案押候下星期再審
page 8	國醫梁俊奎贈醫
page 8	港澳政府共同防疫嚴厲檢查來港輪客未注射防疫藥劑者不准登陸澳客百餘人昨原輪送回澳門
page 10	本屆足球賽今日揭開戰幕甲組僅南華對蘇軍一場
page 10	籃球消息兩則
page 10	東方會組不成軍明日之戰決棄權
page 10	今日棒球爭霸戰岷甸奴再逢港啤隊下午三時加由決雌雄
page 10	南華週年水運今舉行舢舨賽
page 10	四屆德權鼎聯賽今日兩場戰事
