page 1	歐局之透視
page 2	隨縣城郊日軍完全被我擊潰我軍刻正向城垣猛攻
page 2	邕西北我軍攻入楊美
page 2	舉行常會
page 2	　省民眾踴躍從軍
page 2	湯陰日兵車觸中地雷
page 2	蔣廷黻視察桂各機關
page 2	滬大美晚報稱汪偽組織即將解體因汪已失卻日方歡心又未能獲得華人合作
page 2	張伯苓等致電唁張自忠家屬
page 2	日本大阪暴風雨成災死七人傷若干人
page 2	浙童軍義賣成績優良
page 2	湘建廳獎勵手工造紙
page 2	傳盛京號輪事件已獲圓滿解決該輪已在吳淞起卸軍火定本星期六日返回天津
page 2	法共和國命運經已結束法國將來改制摹仿極權國家
page 2	馬田尼格島形勢無變英美兩國艦隊尚在附近巡查
page 2	滬賭窟職員黃某被擊殆命開槍者人叢中逸去
page 2	桂反汪肅奸簽名運動結束
page 2	復興公倆抽籤
page 2	歐洲局面複雜軸心將受牽制英外次官畢拉氏廣播勉英人必須堅持下去
page 2	越南總督承認貝當政府
page 2	冰島海洋區敷設水雷英方通告船行危險
page 2	史汀生宣誓就職
page 2	蘇聯批准蘇芬商約蘇轄下　芬共和國推舉古士南為主席
page 2	貝當與德軍發生磨擦獲得文字上證據
page 2	德瑞成立商務協定增加兩函　貨數量
page 2	羅國政權又受外力威脅
page 2	英情報部積極推行宣傳戰務使全國人民成有統系組織以　滅敵人所散佈之謠言
page 2	德　中　聲言無意干涉美洲希望美洲各國堅持中立政策
page 2	蘇聯發現新客運航空線
page 2	重光葵訪英外次官勸英國再考盧態度英政府已有訓示致於格萊琪
page 3	地中海海戰之結果
page 3	德意匈三國政要在慕尼黑會議德以嚴厲步驟對付共黨因蘇在巴爾幹舉動影響
page 3	蔣委員長發表肆告全國青年書認識時代堅定信仰確立革命的人生觀
page 3	全黨運動
page 3	自身修養
page 3	持之以恆
page 3	菲總統主張禁止罷工取消八小時制
page 3	赫爾表示上海事件確可就地解決柏克致日覆照仍未發表料其內容難令日方滿意
page 3	愛爾蘭地位始終未明朗化愛爾蘭堅持保守中立拒與英合作共同防禦
page 3	機械專家陳三才被綁拘押滬西此人絕無政治關係
page 3	陝省當局積極推行禁政責成保甲人員實行聯保連坐
page 3	羅斯福要求國會再支鉅額軍費達四十八萬萬四千餘萬金元積極擴充海軍充實軍器配備
page 3	一條疏散光明之路
page 3	德意匈會議為何
page 3	美戰鬥艦建築中有奸細謀破壞
page 3	遺失銀單聲明
page 3	英倫海峽激烈空戰德機被擊落十六架地中海海戰意巡艦一艘被擊中
page 5	江會戰事張弛不定
page 5	小托仍有日艇出現
page 5	日鋼砲隊突開小欖
page 5	韶關貨運停滯商人請求恢復發給轉運證
page 5	中新交界之挺進隊已有整飭紀律辦法各地團隊每有非法行為亟　執法嚴懲以保軍譽
page 5	河南日兵失蹤鄉人多被株連卅餘人被捕迫供
page 5	南海我游擊隊在裏水河面獲日電船佛山戒嚴日偽軍調動頻忙
page 5	潦水暴漲中廣三路覆車日軍傷斃逾百
page 5	惠陽當局積極清奸固防軍政長官會議決定辦法多項
page 5	三水黨部積極推進民運定期設縣農會開展日後農運
page 5	僑民入內地之挑夫難護僑站亟當設法接應
page 5	東江我軍爭取主動地位決定向日偽軍躡尾追擊東路水漲交通梗阻最近種種戰訊彙誌
page 5	日機多架再擾各地
page 5	惠州潦漲交通斷絕
page 5	日偽圖在寶安練兵
page 5	我軍襲擊下南日偽
page 5	深圳日軍竄擾李塱
page 5	深圳日偽大開煙賭
page 5	沙頭塌屋壓斃日軍
page 5	蛇口交通現仍開放
page 5	我游擊隊夜襲會城之戰果日軍又爭向江會增援小托日艇仍有出現圖斷　魚沙之交通日砲兵至小欖有向鶴境擾犯訊
page 6	我攻龍口克復橫潭
page 6	我機揚威協攻新街
page 6	神岡日犯馬江被殲
page 6	禺北偽軍攜械反正與日憲兵衝突死傷廿餘我團隊進襲高塘之戰果
page 6	番禺縣府三遷
page 6	日偽在淪陷區之新陰謀中央決定詳密應付對策第四戰區亦已奉令辦理
