page 1	粵漢路今日通車
page 2	中央統一魯財政宋到青後著手進行駐青日領特加注意
page 2	漢奸包悅卿被刺刺客為前廿九軍中尉黃存道因手術不靈僅擊中包逆足部
page 2	遼寧義軍進攻寬甸擊斃日偽軍官多名
page 2	蔣委員長頒發禁賭特命各種賭博一律禁止
page 2	豐台日軍舉行大操強拆民棚八十餘間無家可歸者數百人
page 2	蔣接見外報記者談開發兩廣問題
page 2	孫院長在國府紀念週中演講和平統一重要欲國家統一必須中央為一有力政府廣西問題中央誠懇希望其和平解決
page 2	中央紀念週蔣作賓報告今年各地豐收皖贛兩省收穫十四成鄂省亦有十成內收部對倉儲管理方法亦已加注意
page 2	超度亡魂幾增新鬼北海盂蘭大會中發生意外興高采烈中園中茶館中忽來槍聲三響茶役遊客受輕傷另一遊客韓某受重傷
page 2	王克敏今日乘輪赴滬
page 2	所得稅十月一日開征
page 2	華北征收新稅中央並無所聞
page 2	張外長派黃郛赴日訪日當局對蓉案有所解釋黃病已愈對此行已允考慮
page 3	鄒琳抵滬談粵財政狀況建設方面較前進步省營各業規模均好
page 3	宋哲元表示一切聽命中央華北辦理國選不受任何干涉
page 3	大赦令審查竣事送立法院修正
page 3	農本局成立期俟吳回京決定
page 3	冀察當局派員赴日觀操
page 3	黃郛患肝病由杭抵滬就醫
page 3	晉省民眾開會追悼陣亡將士閻錫山親蒞場主祭
page 3	達賴轉世耶
page 3	班禪首途返藏據華報消息
page 3	京漢滬漢長途電話均在今日通話每三分鐘收費三元
page 3	吳鼎昌等昨赴金口參觀國營農場
page 3	陝選舉總監督電請解釋疑義
page 3	黔國選總監督曹經沅補宣誓
page 3	鄂兒童年實施會昨補行閉幕禮
page 3	比使奉調回國定期晉京辭行十日由滬乘輪返國
page 3	陝黔辦統稅案決于一日施行但先辦捲煙一項
page 3	世界教育聯會下屆在日舉行日方邀我國參加
page 3	西叛軍攻伊倫城血戰五天不下多拉多州兵災極重
page 3	墨索里尼向民眾演說誇張意國兵力雄厚謂俄頃間可動員八百萬
page 3	王力仁在紀念週報告豫省建設
page 3	須磨在滬事華昨偕太田返京
page 3	中央各機關恢復辦公時間
page 3	察北匪首王英在察企圖大舉當局軍警嚴防活動
page 3	川省公路計劃決先完成七大幹線
page 3	水災義賑會昨日實行結束
page 3	國交討論會舉行未次會議英代表表示悲觀
page 3	蘇俄提早入伍年齡紅軍仍不增加
page 3	蘇俄飛機廠出品過法國法飛行家之談話
page 3	朝鮮風災極慘
page 3	英輪馬麗皇后突破航行速率
page 3	中國網球名手許承基為意選手所敗
page 3	挪政府拒俄要求不允驅逐托氏
page 3	羅國自由黨組織新閣成功
page 3	冀察政委會決定在天津穀稽查處
page 3	楚同楚有
page 3	視察民間疾苦對南昌風災極為關心
page 4	今日通車
page 4	裁調職員
page 4	開談話會
page 4	張瑞貴師長請卹殉職團附
page 4	國民大會選舉總監督昨日新任
page 4	禁煙由今日開始廿九年底一律禁絕
page 4	王應榆分區出巡花縣縣政之停頓
page 4	財廳縮科變制計劃仍在擬訂中今日實行係誤傳
page 4	舊事重提檢驗娼妓之實行瘋疾多由宿娼而來
page 4	中大今日派員接收中中郝魯電鄧楠儀　理
page 4	今日開始推行新生活運動曾市長演講廣州要實行新生活意義
page 4	電力公司商股請緩助發還商辦
page 4	鄂皖閩浙四省剿匪總司令張發奎
page 4	昨卅一日上午八時西關寶華路第五號壽堂藥材店
page 4	新任航政局局長姚伯龍現定今一上午九時
page 4	廣東印花煙酒稅
page 4	建設廳長劉維熾決將本省各糖款改稱為製糖場
page 4	港務局昨卅一日將各種船照承擺事務移交航政局
page 4	淩鴻勛抵省後粵漢路今晚直通快車昨日召開路務會議路局職員分別裁調
page 6	新郵票在印刷中
page 6	初級法庭案彙誌
page 6	藏有偽幣
page 6	阻差辦公
page 6	盜賣藥材
page 6	拾獲魚炮
page 6	盜竊豬肉
page 6	遠東各埠時症報告
page 6	後備警察華隊消息
page 6	繁榮香港之先聲
page 6	高陞戲院粵劇消息
page 6	港濱機延期抵港
page 7	曲江煙草業請廢捲煙牌照費四重抽剝苛細之極
page 7	欖鎮各校聯請駐軍遷移
page 7	小欖駐電之調動訊
page 7	法院清理積案近訊
page 7	民教館辦三種義教
page 7	來省客車忽遭匪劫
page 7	千里鄉槍殺沉屍案
page 7	警衛裁撤警所分設
page 7	三埠省渡全被封用
page 7	海豐速記四
page 7	禁警察入店搜白銀
page 7	三水民從會議聯控廖鶴洲教育費積欠至五個半月邑人詆各校長包收爛賑
page 10	計劃確定
page 10	略加石灰
page 10	六千萬斤
page 10	現有生產
page 10	長興煤礦巡禮四畝墩煤井產量豐富全部敗產值五百萬元
page 10	鐵路和車輪
page 10	礦區的環境
page 10	礦區的商市
page 10	煤礦的歷史
page 10	礦區的警衛
page 10	煤井的種類
page 10	運煤的手續
page 10	工人的代價
page 10	職工的生活
page 10	官商合辦四川糖廠資本總額暫定二百五十萬元廠址將設內江明年即可開工
page 11	特羅茨基之生平
page 11	隴海路招待參觀富麗的新鋼車設備均甚新式為各路之冠車中且有中學生擔任招待
page 11	礦區的教育
