page 2	大利輪船被劫感言
page 3	孫寶琦今日出席參議院表示不辦金佛郎案
page 3	孫閣通過撤消曹汝霖陸宗輿經手借款控案
page 3	廿二日閣議顧維鈞述美使個人建議可否由中央撥稅若干為粵省濬可費但須限制用於軍費
page 3	總稅務司函財政部稱三年內債付息還本愆期一次擬本年補抽並將八九兩次付息還本一併舉行
page 3	挪威有首承認蘇俄說
page 3	曹錕開單交孫寶琦舊歷年關須一千萬方敷支
page 3	曹錕囑孫寶琦為王克敏疏通查辦案孫言本人信用未彰恐無濟
page 3	朱兆莘電稱英工黨領袖組
page 3	閣對華方針恐有變更對蘇俄亦有承認說
page 3	當局對查辦王克敏案決不理彈劾王案因議員目的希望得款過年亦難成立
page 3	張國淦教長及何佩鎔長鄂令在正醞釀中京鄂同鄉電武昌地檢廳拘何到案表示拒絕
page 3	青島海軍索餉譁變院電熊炳琦墊款五萬應付
page 3	資中遂寧川軍分據潼南安岳援川軍在田家虎峰嶺一帶布防滇軍胡若愚由黔邊向江津合江進攻袁祖銘調萬縣軍赴援
page 3	駐常德胡念先旅電吳佩孚蕭耀南請准仍回石首公安原防
page 3	吳佩孚以廈臧未去有礙援粵特派李芳池赴廈與王獻臣張毅商會攻廈門
page 3	湘財司呈准粵鹽改行統稅
page 3	孫傳芳飭縣封船二百板松五百架將親巡上游並聞孫令孟昭月旅進駐浦城孔昭同旅由崇安繞道贛邊赴閩浙交界佈防
page 3	泉屬各民軍乘惠安民變分途進攻洪瀨溪尾千金廟惠安教學兩座被焚英法領事請懲王永彝並索償損失
page 3	雙方相持之東北江戰局
page 3	組織國民政府之審查案
page 3	湘軍軍官述北路戰況沈軍未能再進
page 3	東江聯軍決暫取守勢
page 3	截獲圖劫歧港渡海盜詳情
page 3	江門西訊
