page 1	為審查苛捐雜稅者進一言
page 2	劉蘆隱對報界談話否認桂省組織軍政府謂桂省現無成立軍政府必要
page 2	財廳長宋子良宣佈整理粵省金融政策發行公債一萬萬元補充發行準備粵毫券兌法幣加水不得超過五成委顧翊群任粵省行行長
page 2	日華北武官會議昨在張園正式開幕由橋本影佐傳達該國中央部意旨決定日軍對華北政策之具體方案
page 2	孔部長電宋子良澈底革除念貪污惡習以拯粵民於水火而靳政治之修明
page 2	所謂經濟提攜問題日方迫我從速答復
page 2	殷逆調兵進駐豐台趙雷兩團首先開到
page 2	華北時局嚴重中五省聯防徐永昌昨到平訪宋哲元洽商
page 2	晉閻奉命守土安民
page 2	綏省民團領械抗敵
page 2	植田播送侵華演詞
page 2	九月中旬再有大戰
page 2	日華北領事會議今日在津舉行川樾定廿四夜車赴濟會晤韓復　後即返滬
page 2	陳濟棠出國護照刻由外部簽發
page 2	日侵華策武力外交並進川樾北上策動
page 2	馮玉祥對解決桂事意見 調李白赴西北擔任邊防訓練西南軍隊充實國防
page 3	余銘提議籌組華暹協會促進中暹　化發展中暹經濟
page 3	施使辭職已准
page 3	英美工潮解決
page 3	粵漢路局總車站設武昌賓陽門昨已動工下月底完成
page 3	梁敬　　所得稅尚須審慎研究
page 3	進竄岷縣股匪已被我軍痛擊斃匪偽團長一名俘偽營長永福
page 3	全國檢私總會通過工作綱要內分六項辦理
page 3	廈警捕匪激戰
page 3	吳鐵城赴牯謁林孔報告滬市政務並訪外長有所商談
page 3	又一新颶風昨抵呂宋東北我國將受影響否目前尚不能斷定
page 3	我世運足球隊戰勝塞維脫隊定今日與法車隊比賽
page 3	公務員薪給酬報所得十月一日起征直接稅籌備處籌備已端倪
page 3	宋哲元報告出巡感想
page 3	實部澈查保晉煤窯慘案淹斃工人百名事前絕無防備
page 3	華南鎢礦合併鎢價突漲二先令
page 3	鐵道部決定在株建築機廠
page 3	對西國中立協定丹麥等國亦贊成
page 3	西國酣戰中兩軍互報勝利
page 3	太平洋國交討論會日代表遭受痛駁
page 3	永定河水突漲水標漲至一丈五尺
page 3	院令各單位機關編告本年預算速送主計處參攷
page 3	陝縣水文站電告河水增漲與去年董莊決口時該處流量又已相近
page 3	日俄漁業交涉停頓屢次發生糾紛
page 3	托洛斯基黨羽承認謀危政府
page 3	所得稅暫行細則草案
page 3	匈國攝政赴奧引起各方注意
page 3	日童中暑倒地日軍又派員騷擾
page 4	麥牙游泳團全隊昨已抵省今日與粵秀會對抗
page 4	今日壘球比賽首場日青對義勇軍次場華僑對東方隊
page 4	港滬埠際網球賽滬方已充派隊來港舉行滬方實力較佳有勝利希望
page 4	精武會會友搏擊賽戰訊
page 4	港澳乒乓友誼賽淩風社勝公青隊
page 4	港外匯市仍呆滯
page 4	英美匯兌轉趨縮
page 4	省法幣市價盤旋
page 4	滬外匯市情穩定
page 4	昨日廣州西紙市
page 4	八九金起後略跌
page 4	各行股票之市情
page 4	大紅馬徵求著法黃漢秋奪得冠軍芬七局三十五變擬得詳盡陳　祥與黃漢秋較不逞多讓止截後寄來不能與黃爭高下謝禹等十一人各獎本報一月
page 5	十種捐稅裁廢後庫收減少之數目每月不過數萬元裁廢筵席捐一案尚須有待
page 5	四路軍旅部番號又令照前定辦理
page 5	省主席與民廳長積極澄清吏治各縣長一律甄別
page 5	廣東禁賭單行條例昨省務會議已通過禁賭會委員七人已定決依期九一實行禁絕禁　依照中央條例辦理
page 5	社會局局務會議職員更動昨訊
page 5	沈載和再請辭職聞有批准意
page 5	決不輕於更動
page 5	戰雲盪漾中忽現和平曙光李白昨派參議賚函謁蔣謂桂軍自桂邊撤退十里蔣電各師長查復真相軍當局否認南路有局部戰事馮玉祥已定廿五來粵訊
page 6	毒化政策
page 6	走私政策
page 6	軍事要訊彙誌四路軍費三百萬
page 6	蔣鼎文昨赴黃埔
page 6	胡宗南抵省謁蔣
page 6	蔣委員長讌將領
page 6	孫元良昨赴西江
page 6	省　印花不能登記調換
page 6	同道相厄必至兩敗俱傷順德兩拳師停止比武桃村墟茶樓鬥武占元閣杯酒講和
page 6	請撤減捐稅續誌八和工會灰石礦商
