page 1	德西領袖會談之後
page 2	希特勒邀約賴伐爾參加四人會議擇定在法某地舉行企圖誘法向英宣戰
page 2	日軍家屬奉令撤離長江區域
page 2	崛內發出無稽謠言不值識者一哂
page 2	墨國政府突禁水銀運日日本水銀唯一仰給於墨墨倘繼續禁運日必困難
page 2	英議員要求禁油售口
page 2	傳汪有病糖尿病並未　劇
page 2	羅斯福開始發表選舉運動演說重申對外不參戰政策強化國防以維護和平
page 2	粵吸收僑資開墾荒地積極增進農產
page 2	日擬在澳洲設公使館
page 2	德向維士政府壓迫提出要求條件貝當內閣劇烈辯論結果多數表示反對
page 2	歐局將有重要變化德西二國領袖會談希特勒又迫法國圖奪法艦隊
page 3	鞏固美洲諸國應付世界風雲
page 3	美仍有軍需品供給日本輿論界一致抨擊
page 3	駐南京日專使阿部返日
page 3	英輪蘇格蘭皇號在北美洲沉沒科係被德潛艇擊沉
page 3	日四相緊急會議決定應付英美政策表面採取緩和暗中積極準備
page 3	日軍進退傍徨又放和平空氣日海軍派南進心切亟盼拔出在華泥足
page 3	二千猶太人在地中海飄流欲駛到巴力甚坦但彼等均無護照
page 3	皖南北日軍西犯均受重創富春江南岸日軍肅清
page 3	滇緬路運輸通暢第　隊運輸車抵昌後　臘戍
page 3	傷兵之母逝世
page 3	日又放和平空氣
page 3	對日軟化不容　視
page 3	羅斯福之競選演說
page 3	邱吉爾赴蘇格蘭東部視察海疆防禦
page 3	文藝獎助金管委會抗戰文藝作口法　分三組舉行
page 3	保如容許德軍侵入土決採取反抗步驟或　軍隊開入保羅境界佈置防禦陣線保障土國
page 3	滬美海軍家屬限期撤離返國
page 3	英在辛德爾希舉行東方屬土會議荷印亦派四代表作旁聽
page 3	在多瑙河諸國希特拉的魔手
page 3	荷印報界宴吳部長
page 3	蘇聯大軍集中滿邊
page 3	日大使建用抵莫斯科傳駐日某德專使赴莫斯科有活動
page 3	菲願與美合作維護遠東權益
page 3	美驅逐機兩隊現正調往菲律濱諾斯宣稱決保美國領域並助美洲各國擴充軍備
page 5	粵省整頓緝私注重健全機構人事掃除過去不良惡習
page 5	葉南山昨抵韶
page 5	華南日海陸軍首腦被調宇垣負責辦海軍交代高須返日報告糾紛經過
page 5	增城日軍秘密增援博增路我砲兵猛轟日陣
page 5	日兵千餘運粵
page 5	粵當局促進工農生產籌設製紙廠及農業示範場設農業工作站增加貸款部
page 5	評價方法
page 5	評價種類
page 5	廣東評價會改組成立評價種類分衣食住行方面評定後公布週知嚴防操縱
page 5	粵貸鉅款作為售糧基金
page 5	虎門維持會長王某被剌斃命
page 5	三水東區樂平墟鄉人之生活是廣佛蘆運輸的孔道各項生意成畸形發展
page 5	日佔南堤舖戶作倉庫連日運到大批糧械屯貯
page 5	粵南我掃蕩小董克復合　攻入鎮南殲日凡百俘日兵曹游擊隊縱橫十萬大山屢殲頑日
page 6	睦州連日發生砲戰
page 6	海防會已停止辦公
page 6	粵振會救濟東江婦孺撥款購置義童棉衣
page 6	粵府公務員實施軍訓下月一日開始
page 6	優良特性
page 6	增加糧食生產省府通令蕃殖雪粘該稻種有堅強禦寒性能與水急衡不畏亢旱
page 6	鶴山獲日間諜能操純熟土音
page 6	蕃殖方法
page 6	播種收割
page 6	四邑強迫冬耕
page 6	冬耕督導實施辦法
page 6	台山擴大冬耕運動
page 6	惠陽鹽署公益費已改征
page 6	粵籌設國術館
page 6	彭霖生部開抵中山協同袁帶部隊採取攻勢潘幼齡返順德發　廣泛游擊戰古井我軍炮燬新村日新築工事
page 7	廠商聯會籌辦第四屆國貨展覽會籌備委員昨已選出將向港府借地舉行
page 7	深圳農民會開跳舞會籌款下月廿三日在半島酒店
page 7	日領承認日僑撤退但謂僅屬自動疏散非奉政府命令而行
page 7	保衛團籌委會舉出執委九名
page 7	白雲故鄉下月在港公映
page 7	是年入口米石銳減去今兩年各月份之比較
page 7	蔡廷鍇昨抵港
page 7	澳洲打比新馬最後一批今日　投
page 7	三賊圖劫住戶事主機警厲聲呼救賊知事敗相率逃遁
page 7	海盜截劫貨艇艇主幸獲脫險
page 7	蘇屋村械劫案兩疑犯昨提堂
page 7	疏散顧問委會定廿六日會議
page 7	破獲兩字膽廠三個賭徒入獄
page 7	港府移民計劃志在必行下月一日先成立辦事處傳十二月一日起限制華人入境旅客須預向輪船公司領登陸證
page 8	駱克道劫案昨日續審主犯帶警拘捕同黨傭婦供述被劫經過
page 8	傭婦黃二
page 8	皮袍何在
page 8	李石作供
page 8	教部令各大學注重新生訓練
page 8	童軍定期露營代督將親往檢閱
page 8	港灣貨運稀疏因日軍諸多留難
page 8	貨商困難
page 8	行旅痛苦
page 8	黃映然上訴案押候三十日再審
page 8	藏毒藥少女罪名成立押候下月刑名案開審時宣判
page 8	聯　公會昨招待新聞界
page 8	試放空襲警報
page 8	粵中醫學校學員組同學會
page 8	兩個瘋人潛逃
page 8	勒索案昨提堂
page 8	同時失蹤之四少女昨已在大觀酒店尋獲年稚而好修飾電髮匠懷疑報警行李中搜出　具自認出尋工作投店後頻購食物錢在撲滿取出
page 10	華雄會決遵照國體會之議決促進技藝發展會務增聘王棠等為顧問
page 10	聖約瑟整軍本週迎戰米隊陣容昨已正式排定
page 10	吳李蹤蹟未見東方會謂　日定南來
page 10	女學籃將續辦水準太差不宜停止
page 10	學界籃球賽細則日內公佈
