page 1	英法軍事同盟
page 2	我軍收復朱陳
page 2	敵援軍受挫折
page 2	于部堅守鸞墩
page 2	膠濟路被我切斷
page 2	徐州秩序極佳
page 2	浙北我軍繼續挺進威脅嘉興縣城滬杭路一度通車後又被我拆毀我游擊隊在蘇州河出現擊敵輪漢奸高鵬志被扣押
page 2	漢口十四團體歡迎國際藝人威爾金笙謂中國像一有為青年伊萬駟盼世界愛和平人士助我
page 2	平綏線我軍活躍張垣宣化敵恐慌
page 2	北平偽府企圖吸收法幣擬在　合分行
page 2	政治部發表慰勞前線將士書由於他們前仆後繼浴血抗戰結果做成被動變為主動堅守變為反攻
page 2	李思浩吳光新昨日乘機來港
page 2	敵援軍首次受挫紅瓦屋我軍獲勝我軍克復臨沂西南之朱陳津浦路正面我軍佔歇腳山
page 3	台兒莊更大的勝利
page 3	在勝利中結束戰爭
page 3	敵人犧牲了一千人
page 3	一個彈大的湯軍團
page 3	以為勝利已經開始
page 3	強大兵團東西縱橫
page 3	第一會戰經過看來
page 3	國聯行政院下月九日常會阿比西尼亞問題當成辯論焦點國聯將給阿王贍養金以謀解決
page 3	滬美法院判決整頓招商局糾紛案維廉罕特公司得直
page 3	法意談判進行順利
page 3	蘇俄否認退出國聯
page 3	英愛協定後日簽字
page 3	英首相張伯倫計劃訂立四強公約日內與德談判成立後請蘇聯加入法意談判進行順利已達積極階段蘇聯表示信賴國聯盼採堅決態度
page 3	小協商各國決定與意國改進關係並電法總理請承認意併阿國
page 3	菲記者團昨抵長沙各團體聯合公宴
page 3	英向美建議太平洋上屬地互相利用並兩國合辦橫貫太平洋航空線
page 3	王冠武旅長又奏捷
page 3	瀋陽敵機百架被焚燬
page 3	東京報章登載寧偽府下月接收滬海關開征火柴酒精等統稅
page 3	滬字林西報觀察山東日軍有退卻之勢杉山來華後報告純屬欺人自欺
page 3	荷蘭國社黨集會宣傳參議員陸曼指為叛國行為應予遏止
page 3	甘地自謂感覺身體日弱將努力營救政治犯
page 3	漢口大公報社評魯南二次會戰的認識國人這關切過於台兒莊勝利之前夕此戰勝負決於山地戰能否牽制敵軍我軍應忍耐俟敵疲極才能一舉勝之後方人應該積極多做支撐抗戰工作
page 4	南南壓倒九華
page 4	今日特別銀牌決賽南華兄弟會於香港會
page 4	港外匯市疲懶
page 4	英美匯兌略縮英對法暴漲
page 4	德權鼎小球賽昨日戰績及今日秩序
page 4	昨晚普籃賽記者晨光均獲勝
page 4	八九金價微升
page 4	省毫券價仍降舊中桂紙亦跌
page 4	廣州金融市情
page 4	昨尋常杯甲組賽南華兄弟一勝一敗哥哥以五比二大破九華會弟弟輕敵一比二敗於東方他日戰士葛隊務努力作戰否則冠軍好夢煙消雲散矣
page 5	警局會同根絕仇貨會破獲私梟躉銷仇貨機關搜獲人造絲及拘犯人一名
page 5	官商合謀破案
page 5	私梟為虎作倀
page 5	敵機昨又兩次來襲一度圖窺市空不逞狂向黃埔粵路投彈在市橋以機槍下射
page 5	余漢謀香翰屏昨發佈告四路軍前線抗敵將士書
page 5	私梟運貨途逕
page 5	推銷公債近訊
page 5	粵閩海敵艦最近行蹤調查
page 5	糧委會開始發給免稅洋米轉運證已有一部份洋米入口
page 5	胡朝俊向省府建議擴大全省縣市兵役組織擴組兵役科辦理營管區事權楊永仁赴瓊就任吳文獻返省
page 5	壯丁隊罰鹽梟鄉所派員詳查
page 5	居正來粵續訊省市黨部改組訊
page 5	警備部公佈敵　三灶大小淋民眾慘狀廬舍為墟糧食盡焚漁船小艇均無倖免
page 6	汕市商場要聞近誌
page 6	國防債款限期募足
page 6	總檢仇貨限期沽清
page 6	米商趕辦免稅洋米
page 6	商人請求停辦義警
page 6	廣西之行三
page 6	廣西行政制度之特點
page 6	張群抵粵任務
page 6	廣州行商研究請改善轉口稅續詳
page 6	廣東基督教組團出發救傷
page 6	敵機在各屬肆虐又誌在郭塘槍擊農民在寶安殃及荔樹
page 6	禁止擅組武裝
page 6	省工抗會開二次代表會
page 6	駐華英大使明日由漢來粵
page 6	寶安竟有串敵走私者當局已設法嚴防
page 6	新婦突被謀害
page 6	載穀米艇沉沒
page 6	惠陽鑿井生葬三人
page 6	越南通訊在抗戰時期改選後的越南南南圻中華總商會
page 7	華英人郵徵費不同原因
page 7	大霧山南築蓄水池
page 7	港府籌劃增建水塘全部工程需費三百餘萬元
page 7	計劃貯水供給九龍
page 7	增設十八寸渡海喉
page 7	我國抗戰不祇求民族生存且為保障世界和平婦女會贈旗前線將士薛岳將軍昨發函致謝
page 7	旺角發生竊案
page 7	楊永仁昨抵港
page 7	張群今晨抵港
page 7	堅尼地道設抽水房
page 7	載運危險貨物輪船停靠地點擴大擴大原有東西北三區外更增闢吐魯港為停靠區
page 8	橋胞踴躍捐贈雨具
page 8	馮永芳等惠及難童
page 8	擦鞋團仍繼續努力
page 8	修正草案
page 8	修正牛乳消毒則例擬明年一月一日施行
page 8	學賑會舉行聯誼會
page 8	港大學生籌賑成績
page 8	請發牌照
page 8	先來一個旅際比賽
page 8	比賽兩次方定冠軍
page 8	參加童軍共十九旅
page 8	本港童軍技術比賽深水　第八旅獲初賽冠軍
page 8	摩托車會昨歡迎服務團並舉行贈旗禮
page 8	英屬電報減費明日開始實行
page 8	分緩比賽繼之開始
page 8	黃哀鴻畫展訊
page 8	東華醫院昨日賣花籌得五千餘元各界踴躍捐款保育難童旅　僑胞捐鉅款購雨具
page 9	戰時糧食生產節約運動與抗戰之勝利
page 9	戰時糧食生產與墾荒
page 9	全民抗戰中吾人應一致推行糧食增產與節約
page 9	戰時糧食生產與糧食節約的要謗
page 9	廣東增加糧食生產之概況
page 10	杜其章在越南鬻字賑災成績
page 10	貨車傷斃兩人
page 10	劫案疑犯提堂
page 10	巴士撞毀警燈
page 10	西河堂同人聚會
page 10	領島女中旅行訊
page 10	螟蛉子竟毆母
page 10	東院選首總理今日下午舉行
page 10	港政府委任令
page 10	市虎噬傷老翁
page 10	會寧同鄉會近訊
page 10	英巡艦伯明漢昨抵港艦長登陸並謁港督及海軍司令
page 11	戰役的始末
page 11	為什麼敵軍發動掃蕩計劃
page 11	三首先佯攻寧國牽制我軍
page 11	四台灣軍登場
page 11	江南劃時期的勝利上
