page 2	覺悟論的大棒喝粵人的覺悟若何武人的覺悟若何
page 3	溫樹德葉舉抵京
page 3	吳佩孚保鄧錫侯田頌堯等六人為川鎮守使
page 3	陸宗宇周遷勵赴財部請領政府給林俊廷之百萬印花票財部恐陸周胃林代表私領偷賣不肯發
page 3	閣議對海軍辦法令斥幹政查辦主動人物籌撥欠餉
page 3	巫士華自認粵政府代表謁黎元洪
page 3	王寵惠電京孫文代表提出三條壹撤銷閩粵督理令二撤川閩援軍三對等和議
page 3	京傳張作霖主張旅大係奉境應由張單獨交涉
page 3	直奪形勢緊張奉軍集中綏中向鐵門方面佈置者有三個混成旅歸李景林統率集中朝陽向承德方面佈置者有四個混成旅歸張學良統率另在錦州有兩旅保洛應付計劃取守勢曹錕自任總司令馮玉祥任右司令吳佩孚任左司令喜峰駐軍一師熱河兩旅又以兩旅駐分水嶺兩旅掩護承德以彭壽莘師守榆關奉方計劃張作霖坐鎮瀋陽張學良為總司令李景林總指揮放棄榆關專在熱河進行吳俊陞孫烈臣不贊成即進兵與張學良李景林爭意見另訊馮玉祥祇允護衛京師不參戰
page 3	參議員宋汝梅眾議員杜華提議開參眾聯席會議議黎元洪前咨兩院辭職文又天津派擬限國會於任期內解決黎元洪任期問題否則解散國會援黎派則提議國會專制憲不問他事藉圖抵制一部分民
page 3	黨議員則贊成解散以便赴粵開會命運轉可延長
page 3	張紹曾因參議院通過不信任案分頭疏通眾議員使此案不成立
page 3	黎元洪勸顧維鈞就外長職沈瑞麟促顧到部顧無表示
page 3	擁閣派議員決如倒閣即包圍東廠出隊與之對壘
page 3	張紹曾決下申斥駐滬海軍幹政令
page 3	陸軍部員索薪限一星期籌發否則罷工
page 3	農長李根源決自動取消禁棉出口
page 3	楊森保鄧錫侯任成都鎮守使
page 3	被毆議員張監工雲起訴檢廳不受理
page 3	楊森攻陷重慶但懋辛將司令部軍需焚燬率衛隊逃馬湖
page 3	並閣決派員赴滬調查各艦變態原因勸勿輕舉由財部認按月付餉
page 3	張昇雲發坐腸炎大小便不通性命危險
page 3	高淩霨銷假十二日出席閣議
page 3	閩訊孫傳芳十二日抵省駐總司令部王永泉有將率部他往說
page 3	陸徵祥請假回國已准
page 3	直系言滬艦與奉浙早有接洽餉由奉天擔任但川局定後上遊艦隊可移駐下遊防之
page 3	津保決放鬆張閣免張黎聯合對抗但一方仍提不信任案壓張逼其贊助選曹錕為總統故張決赴保協商吳佩孚軍事計劃曹錕一概允從故吳亦允贊成
page 3	滬艦發餉兩月係盧永祥墊付盧調高昌廟炮隊赴防衢州
page 3	連日黃沙方面之震動情形係因滇軍繳械事
page 3	韶關會議之傳聞
page 3	軍隊爭護運鹽船
page 3	姚雨平駐汕辦事處人員星散
page 3	李烈鈞撤換潮屬法官續聞
page 3	港商借款成立消息
page 3	帥府擬添設　部
page 3	陳永善近狀
page 3	孫科赴澳之西訊
page 3	徐紹禎在港之　酢
page 3	管店捕盜獲獎
page 3	前日雨量
page 3	臬署錢債案續誌
